,State,Program,Year,Payment,Farm Count,Payee Count
65,California               ,DIRECT PAYMENT - WHEAT                       ,2014,18874.0,11,11
66,California               ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,3414611.88,69,74
67,California               ,EMERGENCY CONSERVATION PROGRAM               ,2014,842745.0,80,79
68,California               ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,105366.0,2,2
69,California               ,GRASSLANDS RESERVE PROGRAM                   ,2014,852305.0,23,24
70,California               ,"INCOME LOSS - MILK, PART 2                   ",2014,39949.48,5,5
71,California               ,LIVESTOCK FORAGE PROGRAM                     ,2014,104496090.44,2029,2332
72,California               ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,583129.0,14,16
73,California               ,NON-INSURED ASSISTANCE FROST FREE            ,2014,58368.0,3,3
74,California               ,NON-INSURED ASSISTANCE PROG AUTHORIZED       ,2014,45235.0,2,2
75,California               ,NON-INSURED ASSISTANCE PROGRAM               ,2014,20312903.87,922,1026
76,California               ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,1129460.23,41,46
77,California               ,TREE ASSISTANCE PROGRAM                      ,2014,251876.0,23,23
78,Colorado                 ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,3348512.0,100,138
79,Colorado                 ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,123724.0,11,15
80,Colorado                 ,BIOMASS CROP ASSIST COLLECTION MATCH PAY     ,2014,60336.0,1,1
81,Colorado                 ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,66979406.94,5141,6523
82,Colorado                 ,DCP - DIRECT                                 ,2014,2365434.4,608,677
83,Colorado                 ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,554192.0,33,41
84,Colorado                 ,EMERGENCY CONSERVATION PROGRAM               ,2014,30694.0,3,3
85,Colorado                 ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,1648293.32,114,116
86,Colorado                 ,EMERGENCY FOREST RESTORATION STAFFORD        ,2014,199604.0,12,12
87,Colorado                 ,GRASSLANDS RESERVE PROGRAM                   ,2014,333662.0,19,20
88,Colorado                 ,HAY GRAZING                                  ,2014,114.8,1,1
89,Colorado                 ,LIVESTOCK FORAGE PROGRAM                     ,2014,138441194.95,2721,3121
90,Colorado                 ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,89461.0,3,3
91,Colorado                 ,NON-INSURED ASSISTANCE FROST FREE            ,2014,203722.0,23,23
92,Colorado                 ,NON-INSURED ASSISTANCE PROG AUTHORIZED       ,2014,4678.0,1,1
93,Colorado                 ,NON-INSURED ASSISTANCE PROGRAM               ,2014,15806847.72,1294,1412
94,Colorado                 ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,1208308.0,43,51
95,Colorado                 ,TREE ASSISTANCE PROGRAM                      ,2014,98759.0,2,2
96,Connecticut              ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,4057.0,4,4
97,Connecticut              ,DCP - DIRECT                                 ,2014,14334.0,18,18
98,Connecticut              ,ECP SANDY STAFFORD COST SHARE                ,2014,2781.0,1,1
99,Connecticut              ,EFRP SANDY STAFFORD COST SHARE               ,2014,74321.0,6,6
100,Connecticut              ,GRASSLANDS RESERVE PROGRAM                   ,2014,27980.0,38,38
101,Connecticut              ,"INCOME LOSS - MILK, PART 2                   ",2014,821.72,1,1
102,Connecticut              ,NON-INSURED ASSISTANCE PROG AUTHORIZED       ,2014,98093.0,3,3
103,Connecticut              ,NON-INSURED ASSISTANCE PROGRAM               ,2014,330575.0,17,18
104,Connecticut              ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,1023931.0,9,12
105,Connecticut              ,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS      ,2014,61363.02,49,51
106,Connecticut              ,TREE ASSISTANCE PROGRAM                      ,2014,2448.0,1,1
107,Delaware                 ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,14566.0,8,10
108,Delaware                 ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,650622.38,250,267
109,Delaware                 ,DCP - DIRECT                                 ,2014,68601.0,20,19
110,Delaware                 ,GRASSLANDS RESERVE PROGRAM                   ,2014,1870.0,2,2
111,Delaware                 ,NON-INSURED ASSISTANCE PROGRAM               ,2014,270666.0,14,14
112,Delaware                 ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,50975.0,9,9
113,Florida                  ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,2988175.84,576,629
114,Florida                  ,CRP - EMERGENCY FORESTRY ANNUAL RENTAL       ,2014,102663.0,21,22
115,Florida                  ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,1900413.97,851,890
116,Florida                  ,DCP - DIRECT                                 ,2014,228134.69,88,89
117,Florida                  ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,3146076.0,123,128
118,Florida                  ,GRASSLANDS RESERVE PROGRAM                   ,2014,1137628.0,5,5
119,Florida                  ,INDEMNITY PAYMENT - DAIRY                    ,2014,12170.07,1,1
120,Florida                  ,LIVESTOCK FORAGE PROGRAM                     ,2014,42988781.56,2756,2898
121,Florida                  ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,265752.0,30,30
122,Florida                  ,NON-INSURED ASSISTANCE FROST FREE            ,2014,165888.0,4,5
123,Florida                  ,NON-INSURED ASSISTANCE PROG AUTHORIZED       ,2014,32094.0,2,2
124,Florida                  ,NON-INSURED ASSISTANCE PROGRAM               ,2014,3445822.5,129,133
125,Florida                  ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,273936.75,17,17
126,Florida                  ,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS      ,2014,61520.01,24,29
127,Florida                  ,TREE ASSISTANCE PROGRAM                      ,2014,946346.0,18,18
128,Florida                  ,TREE ASSISTANCE PROGRAM - RECOVERY ACT       ,2014,3890.0,1,1
129,Georgia                  ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,48304061.98,7385,8142
130,Georgia                  ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,15384493.07,5532,6086
131,Georgia                  ,DCP - COUNTER CYCLICAL                       ,2014,3924.0,2,2
132,Georgia                  ,DCP - DIRECT                                 ,2014,473148.83,165,169
133,Georgia                  ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,1635672.0,43,47
134,Georgia                  ,EMERGENCY CONSERVATION PROGRAM               ,2014,1521427.0,124,129
135,Georgia                  ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,26487.0,4,4
136,Georgia                  ,EMERGENCY FOREST RESTORATION STAFFORD        ,2014,68035.0,22,23
137,Georgia                  ,EMERGENCY FORESTRY RESTORATION PROGRAM       ,2014,14514.0,6,6
138,Georgia                  ,GRASSLANDS RESERVE PROGRAM                   ,2014,128760.0,143,144
139,Georgia                  ,"INCOME LOSS - MILK, PART 2                   ",2014,1205.5700000000002,4,2
140,Georgia                  ,INDEMNITY PAYMENT - DAIRY                    ,2014,5969.55,1,1
141,Georgia                  ,LIVESTOCK FORAGE DISASTER PROGRAM            ,2014,1.0,1,1
142,Georgia                  ,LIVESTOCK FORAGE PROGRAM                     ,2014,73863267.21,6309,6556
143,Georgia                  ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,250487.0,46,48
144,Georgia                  ,NON-INSURED ASSISTANCE PROGRAM               ,2014,1910142.97,220,228
145,Georgia                  ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,112944.0,7,7
146,Georgia                  ,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS      ,2014,16675.559999999998,10,12
147,Georgia                  ,TREE ASSISTANCE PROGRAM                      ,2014,67607.0,3,5
148,Hawaii                   ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,38862.0,12,12
149,Hawaii                   ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,46630.0,1,1
150,Hawaii                   ,EMERGENCY CONSERVATION PROGRAM               ,2014,594696.0,22,22
151,Hawaii                   ,GEOGRAPHIC DISADVANTAGED PROGRAM             ,2014,833663.53,353,373
152,Hawaii                   ,GRASSLANDS RESERVE PROGRAM                   ,2014,166976.0,8,8
153,Hawaii                   ,LIVESTOCK FORAGE PROGRAM                     ,2014,15996661.0,296,323
154,Hawaii                   ,NON-INSURED ASSISTANCE PROGRAM               ,2014,1444249.0,81,82
155,Hawaii                   ,TREE ASSISTANCE PROGRAM                      ,2014,2121.0,1,1
156,Idaho                    ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,8212.0,7,9
157,Idaho                    ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,15547.0,8,9
158,Idaho                    ,BIOMASS CROP ASSIST COLLECTION MATCH PAY     ,2014,93664.0,2,2
159,Idaho                    ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,30697773.85,2431,2835
160,Idaho                    ,DCP - DIRECT                                 ,2014,1387035.64,233,244
161,Idaho                    ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,1222956.0,38,37
162,Idaho                    ,EMERGENCY CONSERVATION PROGRAM               ,2014,243336.0,30,30
163,Idaho                    ,GRASSLANDS RESERVE PROGRAM                   ,2014,7029544.0,5,6
164,Idaho                    ,LIVESTOCK FORAGE PROGRAM                     ,2014,8906417.58,298,314
165,Idaho                    ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,358028.0,15,15
166,Idaho                    ,NON-INSURED ASSISTANCE FROST FREE            ,2014,15375.0,1,1
167,Idaho                    ,NON-INSURED ASSISTANCE PROGRAM               ,2014,1454496.0,184,203
168,Idaho                    ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,6976.0,4,4
169,Idaho                    ,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS      ,2014,12000.0,1,1
170,Idaho                    ,TREE ASSISTANCE PROGRAM                      ,2014,50166.0,1,1
171,Illinois                 ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,39015.0,16,18
172,Illinois                 ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,744741.79,235,293
173,Illinois                 ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,126917927.7,36835,44435
174,Illinois                 ,DCP - DIRECT                                 ,2014,5102807.07,1602,1858
175,Illinois                 ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,201591.0,40,42
176,Illinois                 ,EMERGENCY CONSERVATION PROGRAM               ,2014,27527.0,3,2
177,Illinois                 ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,147048.0,16,16
178,Illinois                 ,GRASSLANDS RESERVE PROGRAM                   ,2014,180079.0,27,33
179,Illinois                 ,INDEMNITY PAYMENT - DAIRY                    ,2014,55244.59,19,20
180,Illinois                 ,LIVESTOCK FORAGE PROGRAM                     ,2014,16109330.0,4497,4751
181,Illinois                 ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,159350.0,19,19
182,Illinois                 ,NON-INSURED ASSISTANCE FROST FREE            ,2014,1249.0,1,1
183,Illinois                 ,NON-INSURED ASSISTANCE PROGRAM               ,2014,65610.0,11,11
184,Illinois                 ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,4393899.59,180,227
185,Indiana                  ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,1080.0,3,4
186,Indiana                  ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,54087.0,25,26
187,Indiana                  ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,31577872.01,17454,19205
188,Indiana                  ,DCP - DIRECT                                 ,2014,1205963.31,448,476
189,Indiana                  ,DIRECT PAYMENT - SOYBEANS                    ,2014,30.0,1,1
190,Indiana                  ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,32031.0,34,34
191,Indiana                  ,GRASSLANDS RESERVE PROGRAM                   ,2014,51689.0,45,45
192,Indiana                  ,"INCOME LOSS - MILK, PART 2                   ",2014,22.82,2,2
193,Indiana                  ,LIVESTOCK FORAGE PROGRAM                     ,2014,27862133.03,6408,6573
194,Indiana                  ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,1176404.0,204,211
195,Indiana                  ,NON-INSURED ASSISTANCE FROST FREE            ,2014,549086.9400000001,24,24
196,Indiana                  ,NON-INSURED ASSISTANCE PROGRAM               ,2014,360449.0,22,24
197,Indiana                  ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,129869.0,10,10
198,Indiana                  ,TREE ASSISTANCE PROGRAM                      ,2014,5713.0,4,4
199,Iowa                     ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,42524610.86,3047,4069
200,Iowa                     ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,279739.91,47,70
201,Iowa                     ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,218560689.9,42582,50179
202,Iowa                     ,DCP - DIRECT                                 ,2014,2173766.83,551,597
203,Iowa                     ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,499960.0,28,28
204,Iowa                     ,EMERGENCY CONSERVATION PROGRAM               ,2014,197232.0,21,21
205,Iowa                     ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,1208963.0,240,247
206,Iowa                     ,EMERGENCY FORESTRY RESTORATION PROGRAM       ,2014,2151.0,1,1
207,Iowa                     ,GRASSLANDS RESERVE PROGRAM                   ,2014,886883.0,124,129
208,Iowa                     ,"HAY GRAZING, MANAGED                         ",2014,2282.0,4,4
209,Iowa                     ,INDEMNITY PAYMENT - DAIRY                    ,2014,750.85,1,1
210,Iowa                     ,LIVESTOCK FORAGE PROGRAM                     ,2014,91090078.5,14171,14775
211,Iowa                     ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,3331174.0,211,217
212,Iowa                     ,NON-INSURED ASSISTANCE FROST FREE            ,2014,136259.77,12,12
213,Iowa                     ,NON-INSURED ASSISTANCE PROGRAM               ,2014,163751.0,13,13
214,Iowa                     ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,377054.0,17,18
215,Iowa                     ,TREE ASSISTANCE PROGRAM                      ,2014,9080.0,3,3
216,Kansas                   ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,7175800.26,552,641
217,Kansas                   ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,43580.0,25,25
218,Kansas                   ,BIOMASS CROP ASSISTANCE - ANNUAL RENTAL      ,2014,263451.0,64,68
219,Kansas                   ,BIOMASS CROP ASSISTANCE - COST-SHARE         ,2014,5133.0,1,1
220,Kansas                   ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,264108.0,264,305
221,Kansas                   ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,94452453.11,21626,26337
222,Kansas                   ,DCP - DIRECT                                 ,2014,4088058.32,1818,2004
223,Kansas                   ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,68645.0,16,16
224,Kansas                   ,EMERGENCY CONSERVATION PROGRAM               ,2014,481675.0,89,91
225,Kansas                   ,GRASSLANDS RESERVE PROGRAM                   ,2014,1450206.0,51,54
226,Kansas                   ,HAY GRAZING                                  ,2014,6093.25,25,26
227,Kansas                   ,"HAY GRAZING, MANAGED                         ",2014,1656.0,7,7
228,Kansas                   ,"INCOME LOSS - MILK, PART 2                   ",2014,27620.989999999998,4,4
229,Kansas                   ,LIVESTOCK FORAGE PROGRAM                     ,2014,477631398.82,18520,20171
230,Kansas                   ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,651343.0,56,58
231,Kansas                   ,NON-INSURED ASSISTANCE PROGRAM               ,2014,4397070.0,841,922
232,Kansas                   ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,1751124.68,97,105
233,Kentucky                 ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,224524.0,27,28
234,Kentucky                 ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,21973.0,14,16
235,Kentucky                 ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,2093.0,3,3
236,Kentucky                 ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,36068445.96,7357,7808
237,Kentucky                 ,DAIRY ECONOMIC LOSS ASSISTANCE PROGRAM       ,2014,284.99,2,2
238,Kentucky                 ,DCP - DIRECT                                 ,2014,385962.65,437,447
239,Kentucky                 ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,48436.0,24,24
240,Kentucky                 ,EMERGENCY CONSERVATION PROGRAM               ,2014,74156.0,8,8
241,Kentucky                 ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,128911.0,8,8
242,Kentucky                 ,EMERGENCY FORESTRY RESTORATION PROGRAM       ,2014,27796.0,1,1
243,Kentucky                 ,GRASSLANDS RESERVE PROGRAM                   ,2014,92659.0,21,22
244,Kentucky                 ,LIVESTOCK FORAGE PROGRAM                     ,2014,19843595.71,4034,4142
245,Kentucky                 ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,5622525.0,821,822
246,Kentucky                 ,NON-INSURED ASSISTANCE PROG AUTHORIZED       ,2014,10992.0,1,1
247,Kentucky                 ,NON-INSURED ASSISTANCE PROGRAM               ,2014,167214.0,39,38
248,Kentucky                 ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,179939.0,6,6
249,Kentucky                 ,TREE ASSISTANCE PROGRAM                      ,2014,76693.0,5,6
250,Louisiana                ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,4565.0,1,1
251,Louisiana                ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,34210012.78,4142,4894
252,Louisiana                ,CRP - EMERGENCY FORESTRY ANNUAL RENTAL       ,2014,124300.0,41,48
253,Louisiana                ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,21004927.42,3206,3640
254,Louisiana                ,DCP - COUNTER CYCLICAL                       ,2014,5466.0,1,1
255,Louisiana                ,DCP - DIRECT                                 ,2014,1664783.75,508,535
256,Louisiana                ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,261562.0,13,14
257,Louisiana                ,EMERGENCY CONSERVATION PROGRAM               ,2014,2500.0,1,1
258,Louisiana                ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,91485.0,3,3
259,Louisiana                ,GRASSLANDS RESERVE PROGRAM                   ,2014,76497.0,52,52
260,Louisiana                ,"INCOME LOSS - MILK, PART 2                   ",2014,23.18,1,1
261,Louisiana                ,LIVESTOCK FORAGE PROGRAM                     ,2014,15011304.73,999,1091
262,Louisiana                ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,1126674.0,30,30
263,Louisiana                ,NON-INSURED ASSISTANCE PROGRAM               ,2014,159593.0,27,30
264,Louisiana                ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,145422.0,4,5
265,Louisiana                ,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS      ,2014,1063889.76,482,790
266,Maine                    ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,4062.0,2,2
267,Maine                    ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,399889.0,230,279
268,Maine                    ,DCP - DIRECT                                 ,2014,4179.0,15,15
269,Maine                    ,EMERGENCY CONSERVATION PROGRAM               ,2014,218111.0,6,6
270,Maine                    ,GRASSLANDS RESERVE PROGRAM                   ,2014,12917.0,33,34
271,Maine                    ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,10771.0,1,1
272,Maine                    ,NON-INSURED ASSISTANCE PROGRAM               ,2014,44502.0,10,11
273,Maine                    ,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS      ,2014,3105283.9,1606,2347
274,Maryland                 ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,1901.0,1,1
275,Maryland                 ,AVERAGE CROP REVENUE ELECTION-DIRECT         ,2014,23745.0,2,2
276,Maryland                 ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,3212.0,2,2
277,Maryland                 ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,10602453.6,2832,2984
278,Maryland                 ,DCP - DIRECT                                 ,2014,136311.53,64,65
279,Maryland                 ,GRASSLANDS RESERVE PROGRAM                   ,2014,30553.0,39,39
280,Maryland                 ,"INCOME LOSS - MILK, PART 2                   ",2014,3189.76,2,2
281,Maryland                 ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,5476.0,1,1
282,Maryland                 ,NON-INSURED ASSISTANCE PROGRAM               ,2014,268322.0,12,12
283,Maryland                 ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,88319.0,4,4
284,Maryland                 ,TREE ASSISTANCE PROGRAM                      ,2014,2019.0,1,1
285,Massachusetts            ,AVERAGE CROP REVENUE ELECTION-ACRE           ,2014,69475.0,19,20
286,Massachusetts            ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,2052.0,3,3
287,Massachusetts            ,DCP - DIRECT                                 ,2014,2648.0,4,4
288,Massachusetts            ,ECP SANDY STAFFORD COST SHARE                ,2014,19645.0,3,3
289,Massachusetts            ,EFRP SANDY STAFFORD COST SHARE               ,2014,3500.0,2,2
290,Massachusetts            ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,398259.0,4,5
291,Massachusetts            ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,4725.0,1,1
292,Massachusetts            ,EMERGENCY FOREST RESTORATION STAFFORD        ,2014,67773.0,2,2
293,Massachusetts            ,GRASSLANDS RESERVE PROGRAM                   ,2014,25806.0,50,50
