state,fiscal_year,accounting_program_description,amount
Alabama,2011,TREE ASSISTANCE PROGRAM,33059.0
Alabama,2012,AVERAGE CROP REVENUE ELECTION-DIRECT,26848.0
Alabama,2012,DCP - COUNTER CYCLICAL,1394651.6099999999
Alabama,2012,DCP - DIRECT,33691807.88
Alabama,2012,LIVESTOCK FORAGE DISASTER PROGRAM,2389569.6799999997
Alabama,2012,LIVESTOCK INDEMNITY PROGRAM,67920.0
Alabama,2012,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,1850848.59
Alabama,2013,DCP - DIRECT,200766.08000000002
Alabama,2013,"INCOME LOSS - MILK, PART 2",263215.30000000005
Alabama,2013,INDEMNITY PAYMENT - DAIRY,17457.96
Alabama,2013,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,9899381.0
Alabama,2014,AVERAGE CROP REVENUE ELECTION-DIRECT,8146.0
Alabama,2014,DCP - COUNTER CYCLICAL,4666.0
Alabama,2014,DCP - DIRECT,36175743.55
Alabama,2014,"INCOME LOSS - MILK, PART 2",56744.409999999996
Alabama,2014,INDEMNITY PAYMENT - DAIRY,11602.2
Alabama,2014,LIVESTOCK FORAGE PROGRAM,37989631.67
Alabama,2014,LIVESTOCK INDEMNITY PROGRAM,329278.0
Alabama,2014,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,458037.0
Alabama,2014,TREE ASSISTANCE PROGRAM,23558.0
Alabama,2015,COTTON TRANSITION ASSISTANCE PROGRAM,21592814.82
Alabama,2015,DCP - COUNTER CYCLICAL,338.0
Alabama,2015,DCP - DIRECT,65323.16
Alabama,2015,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),175564.0
Alabama,2015,"INCOME LOSS - MILK, PART 2",63.86
Alabama,2015,LIVESTOCK FORAGE PROGRAM,17150302.0
Alabama,2015,LIVESTOCK INDEMNITY PROGRAM,289734.0
Alabama,2015,TREE ASSISTANCE PROGRAM,99493.0
Alabama,2016,AGRICULTURAL RISK COVERAGE PROG - COUNTY,5158765.17
Alabama,2016,COTTON TRANSITION ASSISTANCE PROGRAM,40757.0
Alabama,2016,DCP - DIRECT,31388.0
Alabama,2016,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),133811.0
Alabama,2016,LIVESTOCK FORAGE PROGRAM,1532809.0
Alabama,2016,LIVESTOCK INDEMNITY PROGRAM,217586.0
Alabama,2016,MARGIN PROTECTION PROGRAM - DAIRY,5001.0
Alabama,2016,PRICE LOSS COVERAGE PROGRAM,37773880.48
Alabama,2016,TREE ASSISTANCE PROGRAM,15985.0
Alabama,2017,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,9673.0
Alabama,2017,AGRICULTURAL RISK COVERAGE PROG - COUNTY,13065362.6
Alabama,2017,COTTON TRANSITION ASSISTANCE PROGRAM,49986.61
Alabama,2017,DCP - DIRECT,59007.39
Alabama,2017,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),7958.0
Alabama,2017,LIVESTOCK FORAGE PROGRAM,60750431.05
Alabama,2017,LIVESTOCK INDEMNITY PROGRAM,163375.0
Alabama,2017,PRICE LOSS COVERAGE PROGRAM,64143985.93000001
Alabama,2017,TREE ASSISTANCE PROGRAM,1962.0
Alabama,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,227480.0
Alabama,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,21169658.64
Alabama,2018,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),37715.0
Alabama,2018,LIVESTOCK FORAGE PROGRAM,9571734.020000001
Alabama,2018,LIVESTOCK FORAGE PROGRAM,33864137.629999995
Alabama,2018,LIVESTOCK INDEMNITY PROGRAM,52858.0
Alabama,2018,LIVESTOCK INDEMNITY PROGRAM,74213.0
Alabama,2018,MARGIN PROTECTION PROGRAM - DAIRY,349099.0
Alabama,2018,PRICE LOSS COVERAGE PROGRAM,820164.0
Alabama,2018,PRICE LOSS COVERAGE PROGRAM,64201636.7
Alabama,2018,TREE ASSISTANCE PROGRAM,9586.0
Alabama,2018,TREE ASSISTANCE PROGRAM,366.0
Alabama,2019,AGRICULTURAL RISK COVERAGE PROG - COUNTY,2479610.14
Alabama,2019,DAIRY MARGIN COVERAGE PROGRAM,230658.84
Alabama,2019,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),512.0
Alabama,2019,LIVESTOCK FORAGE PROGRAM,285537.0
Alabama,2019,LIVESTOCK INDEMNITY PROGRAM,88370.0
Alabama,2019,MARGIN PROTECTION  - DAIRY,1602.0
Alabama,2019,MARGIN PROTECTION PROGRAM - DAIRY,22777.0
Alabama,2019,PRICE LOSS COVERAGE PROGRAM,36640059.34
Alabama,2020,AGRICULTURAL RISK COVERAGE PROG - COUNTY,1313838.0
Alabama,2020,DAIRY MARGIN COVERAGE,31585.050000000003
Alabama,2020,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),27667.0
Alabama,2020,LIVESTOCK FORAGE PROGRAM,10120089.049999999
Alabama,2020,LIVESTOCK INDEMNITY PROGRAM,36801.0
Alabama,2020,PRICE LOSS COVERAGE PROGRAM,54378865.03999999
Alabama,2021,AGRICULTURAL RISK COVERAGE PROG - COUNTY,3587444.1899999995
Alabama,2021,DAIRY MARGIN COVERAGE,447948.7799999999
Alabama,2021,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),12238.0
Alabama,2021,LIVESTOCK FORAGE PROGRAM,119144.0
Alabama,2021,LIVESTOCK INDEMNITY PROGRAM,65345.0
Alabama,2021,PRICE LOSS COVERAGE PROGRAM,88469186.88
Alabama,2021,TREE ASSISTANCE PROGRAM,1671.22
Alabama,2022,AGRICULTURAL RISK COVERAGE PROG - COUNTY,660092.0
Alabama,2022,DAIRY MARGIN COVERAGE,199276.68999999997
Alabama,2022,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),3456.0
Alabama,2022,LIVESTOCK FORAGE PROGRAM,1729.3899999999999
Alabama,2022,LIVESTOCK INDEMNITY PROGRAM,25584.0
Alabama,2022,PRICE LOSS COVERAGE PROGRAM,62771512.41000001
Alabama,2022,TREE ASSISTANCE PROGRAM,9623.31
Alaska,2005,EWE LAMB REPLACEMENT OR RETENTION,288.0
Alaska,2006,"INCOME LOSS - MILK, PART 2",35340.049999999996
Alaska,2007,"INCOME LOSS - MILK, PART 2",15979.029999999999
Alaska,2008,DIRECT AND COUNTER CYCLICAL PROG,11360.0
Alaska,2008,"INCOME LOSS - MILK, PART 2",560.39
Alaska,2008,LOAN DEFICIENCY,53.0
Alaska,2009,DIRECT AND COUNTER CYCLICAL PROG,77771.0
Alaska,2009,MILK INCOME LOSS CONTRACT II,40325.189999999995
Alaska,2010,DCP PROGRAM - DIRECT PAYMENTS,96338.0
Alaska,2010,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",6084.0
Alaska,2010,MILK INCOME LOSS CONTRACT II,17314.1
Alaska,2010,SUPL REVENUE ASSISTANCE RECOVERY ACT,103032.0
Alaska,2011,DCP - DIRECT,29078.0
Alaska,2011,DCP PROGRAM - DIRECT PAYMENTS,49535.0
Alaska,2011,GEOGRAPHIC DISADVANTAGED PROGRAM,385259.0900000002
Alaska,2011,SUPL REVENUE ASSISTANCE - RECOVERY ACT,26070.0
Alaska,2011,SUPL REVENUE ASSISTANCE RECOVERY ACT,15487.0
Alaska,2011,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,64303.0
Alaska,2012,DCP - DIRECT,93832.0
Alaska,2012,GEOGRAPHIC DISADVANTAGED PROGRAM,2097.95
Alaska,2013,DCP - DIRECT,2804.0
Alaska,2013,GEOGRAPHIC DISADVANTAGED PROGRAM,390765.70999999973
Alaska,2013,"INCOME LOSS - MILK, PART 2",10562.6
Alaska,2013,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,9613.0
Alaska,2014,DCP - DIRECT,95262.0
Alaska,2014,GEOGRAPHIC DISADVANTAGED PROGRAM,263125.25000000006
Alaska,2014,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,17415.0
Alaska,2015,LIVESTOCK INDEMNITY PROGRAM,216448.0
Alaska,2016,GEOGRAPHIC DISADVANTAGED PROGRAM,303021.7200000001
Alaska,2017,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,1694.0
Alaska,2017,GEOGRAPHIC DISADVANTAGED PROGRAM,332370.97
Alaska,2017,PRICE LOSS COVERAGE PROGRAM,12283.0
Alaska,2018,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,2712.0
Alaska,2018,GEOGRAPHIC DISADVANTAGED PROGRAM,308486.3399999998
Alaska,2018,PRICE LOSS COVERAGE PROGRAM,15983.0
Alaska,2019,DAIRY MARGIN COVERAGE PROGRAM,9895.720000000001
Alaska,2019,GEOGRAPHIC DISADVANTAGED PROGRAM,374702.61000000004
Alaska,2019,PRICE LOSS COVERAGE PROGRAM,201322.0
Alaska,2020,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,8314.0
Alaska,2020,DAIRY MARGIN COVERAGE,12141.95
Alaska,2020,GEOGRAPHIC DISADVANTAGED PROGRAM,335793.7399999998
Alaska,2020,PRICE LOSS COVERAGE PROGRAM,135972.0
Alaska,2021,DAIRY MARGIN COVERAGE,33286.49
Alaska,2021,GEOGRAPHIC DISADVANTAGED PROGRAM,2254.4700000000003
Alaska,2021,LIVESTOCK INDEMNITY PROGRAM,14388.0
Alaska,2021,PRICE LOSS COVERAGE PROGRAM,123562.0
Alaska,2022,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,7782.0
Alaska,2022,DAIRY MARGIN COVERAGE,15266.669999999998
Alaska,2022,PRICE LOSS COVERAGE PROGRAM,101117.0
Arizona,2005,EWE LAMB REPLACEMENT OR RETENTION,149944.48
Arizona,2005,LIVESTOCK ASSISTANCE PROGRAM,1185025.0
Arizona,2006,EWE LAMB REPLACEMENT OR RETENTION,54.0
Arizona,2006,"INCOME LOSS - MILK, PART 2",2133141.82
Arizona,2006,LIVESTOCK ASSISTANCE PROGRAM,3371171.4699999983
Arizona,2007,"INCOME LOSS - MILK, PART 2",732386.1400000001
Arizona,2008,05 - 07 LIVESTOCK INDEMNITY PROGRAM,1384.0
Arizona,2008,DIRECT AND COUNTER CYCLICAL PROG,21808412.0
Arizona,2008,"INCOME LOSS - MILK, PART 2",10363.2
Arizona,2008,LOAN DEFICIENCY,107442.98
Arizona,2009,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,28484.0
Arizona,2009,DCP PROGRAM - DIRECT PAYMENTS,7115.0
Arizona,2009,DIRECT AND COUNTER CYCLICAL PROG,66834103.0
Arizona,2009,LOAN DEFICIENCY,860074.4099999996
Arizona,2009,MILK INCOME LOSS CONTRACT II,4729005.36
Arizona,2010,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,4585304.63
Arizona,2010,DCP PROGRAM - DIRECT PAYMENTS,40307732.449999996
Arizona,2010,DIRECT AND COUNTER CYCLICAL PROG,33340220.23
Arizona,2010,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",334128.5
Arizona,2010,LIVESTOCK FORAGE DISASTER  PROGRAM,3978888.4399999995
Arizona,2010,LIVESTOCK INDEMNITY PROGRAM,3197.0
Arizona,2010,LOAN DEFICIENCY,5375855.9
Arizona,2010,MILK INCOME LOSS CONTRACT II,1167258.9999999998
Arizona,2011,DCP - COUNTER CYCLICAL,16801.0
Arizona,2011,DCP - DIRECT,6850153.890000001
Arizona,2011,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,3038535.0
Arizona,2011,DCP PROGRAM - DIRECT PAYMENTS,25304501.0
Arizona,2011,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),162892.0
Arizona,2011,LIVESTOCK FORAGE DISASTER  PROGRAM,426480.72
Arizona,2011,LIVESTOCK FORAGE DISASTER PROGRAM,3953503.6900000004
Arizona,2011,LOAN DEFICIENCY,386328.41
Arizona,2011,MILK INCOME LOSS CONTRACT II,60633.13
Arizona,2011,SUPL REVENUE ASSISTANCE - RECOVERY ACT,99937.0
Arizona,2011,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,216988.0
Arizona,2012,DCP - COUNTER CYCLICAL,2386.0
Arizona,2012,DCP - DIRECT,23982186.08
Arizona,2012,LIVESTOCK FORAGE DISASTER PROGRAM,1260751.73
Arizona,2012,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,28942.0
Arizona,2012,TREE ASSISTANCE PROGRAM,22880.0
Arizona,2013,DCP - COUNTER CYCLICAL,4866.74
Arizona,2013,DCP - DIRECT,411872.0
Arizona,2013,"INCOME LOSS - MILK, PART 2",1453878.67
Arizona,2013,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,643945.0
Arizona,2014,DCP - COUNTER CYCLICAL,654.0
Arizona,2014,DCP - DIRECT,26874496.349999998
Arizona,2014,"INCOME LOSS - MILK, PART 2",61459.81999999999
Arizona,2014,LIVESTOCK FORAGE DISASTER PROGRAM,891.0
Arizona,2014,LIVESTOCK FORAGE PROGRAM,16985033.0
Arizona,2014,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,26000.0
Arizona,2015,COTTON TRANSITION ASSISTANCE PROGRAM,22568994.04
Arizona,2015,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1619902.0
Arizona,2015,LIVESTOCK FORAGE DISASTER PROGRAM,10719.0
Arizona,2015,LIVESTOCK FORAGE PROGRAM,29074109.279999997
Arizona,2015,LIVESTOCK INDEMNITY PROGRAM,1772.0
Arizona,2016,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,17470.0
Arizona,2016,AGRICULTURAL RISK COVERAGE PROG - COUNTY,7628.0
Arizona,2016,COTTON TRANSITION ASSISTANCE PROGRAM,42481.72
Arizona,2016,DCP - DIRECT,4992.49
Arizona,2016,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),726213.0
Arizona,2016,LIVESTOCK FORAGE PROGRAM,3891330.6799999997
Arizona,2016,PRICE LOSS COVERAGE PROGRAM,43973.0
Arizona,2017,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,15772.0
Arizona,2017,AGRICULTURAL RISK COVERAGE PROG - COUNTY,123186.0
Arizona,2017,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),414038.0
Arizona,2017,LIVESTOCK FORAGE PROGRAM,555648.0
Arizona,2017,LIVESTOCK INDEMNITY PROGRAM,1526.0
Arizona,2017,PRICE LOSS COVERAGE PROGRAM,8657520.89
Arizona,2018,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,24975.0
Arizona,2018,AGRICULTURAL RISK COVERAGE PROG - COUNTY,90017.0
Arizona,2018,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),876300.0
Arizona,2018,LIVESTOCK FORAGE PROGRAM,7682601.790000001
Arizona,2018,LIVESTOCK FORAGE PROGRAM,128418.0
Arizona,2018,MARGIN PROTECTION PROGRAM - DAIRY,204189.0
Arizona,2018,PRICE LOSS COVERAGE PROGRAM,338859.0
Arizona,2018,PRICE LOSS COVERAGE PROGRAM,18290121.0
Arizona,2019,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,7144.0
Arizona,2019,AGRICULTURAL RISK COVERAGE PROG - COUNTY,8064.0
Arizona,2019,DAIRY MARGIN COVERAGE PROGRAM,1612684.9299999997
Arizona,2019,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1135517.0
Arizona,2019,LIVESTOCK FORAGE PROGRAM,5246155.81
Arizona,2019,MARGIN PROTECTION  - DAIRY,12031.0
Arizona,2019,MARGIN PROTECTION PROGRAM - DAIRY,20228.0
Arizona,2019,PRICE LOSS COVERAGE PROGRAM,11643132.0
Arizona,2020,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,2487.0
Arizona,2020,AGRICULTURAL RISK COVERAGE PROG - COUNTY,28212.0
Arizona,2020,DAIRY MARGIN COVERAGE,654583.1299999999
Arizona,2020,DAIRY MARGIN COVERAGE PROGRAM,12766.29
Arizona,2020,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),389998.0
Arizona,2020,LIVESTOCK FORAGE PROGRAM,5137462.749999999
Arizona,2020,PRICE LOSS COVERAGE PROGRAM,17892778.59
Arizona,2021,AGRICULTURAL RISK COVERAGE PROG - COUNTY,61206.0
Arizona,2021,DAIRY MARGIN COVERAGE,4547729.620000008
Arizona,2021,DAIRY MARGIN COVERAGE PROGRAM,0.03
Arizona,2021,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1601320.63
Arizona,2021,LIVESTOCK FORAGE PROGRAM,18186883.93
Arizona,2021,PRICE LOSS COVERAGE PROGRAM,42237835.21
Arizona,2022,AGRICULTURAL RISK COVERAGE PROG - COUNTY,12396.0
Arizona,2022,DAIRY MARGIN COVERAGE,1644185.3400000017
Arizona,2022,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),377048.0
Arizona,2022,LIVESTOCK FORAGE PROGRAM,1373835.04
Arizona,2022,LIVESTOCK INDEMNITY PROGRAM,21936.0
Arizona,2022,PRICE LOSS COVERAGE PROGRAM,21148835.28
Arkansas,2005,EWE LAMB REPLACEMENT OR RETENTION,35988.0
Arkansas,2005,LIVESTOCK ASSISTANCE PROGRAM,5129247.0
Arkansas,2006,"INCOME LOSS - MILK, PART 2",1007687.1700000002
Arkansas,2006,LIVESTOCK ASSISTANCE PROGRAM,4942272.289999996
Arkansas,2007,"INCOME LOSS - MILK, PART 2",407405.78
Arkansas,2008,05 - 07 LIVESTOCK INDEMNITY PROGRAM,70139.0
Arkansas,2008,DIRECT AND COUNTER CYCLICAL PROG,67357874.0
Arkansas,2008,"INCOME LOSS - MILK, PART 2",61.85
Arkansas,2008,LOAN DEFICIENCY,227.55
Arkansas,2009,DAIRY INDEMNITY PROGRAM,6729.43
Arkansas,2009,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,3598.0
Arkansas,2009,DCP PROGRAM - DIRECT PAYMENTS,5663.0
Arkansas,2009,DIRECT AND COUNTER CYCLICAL PROG,253306501.0
Arkansas,2009,LIVESTOCK INDEMNITY PROGRAM,4985.08
Arkansas,2009,LOAN DEFICIENCY,9555301.500000006
Arkansas,2009,MILK INCOME LOSS CONTRACT II,1545539.580000001
Arkansas,2010,ACRE DIRECT PAYMENTS,5840.26
Arkansas,2010,DAIRY INDEMNITY PROGRAM,11004.130000000001
Arkansas,2010,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,5789951.2
Arkansas,2010,DCP PROGRAM - DIRECT PAYMENTS,294030158.8399999
Arkansas,2010,DIRECT AND COUNTER CYCLICAL PROG,57012630.46999999
Arkansas,2010,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",123208.0
Arkansas,2010,LIVESTOCK COMPENSATION PROGRAM AUTHORIZE,5885.42
Arkansas,2010,LIVESTOCK INDEMNITY PAYMENTS,126698.8
Arkansas,2010,LIVESTOCK INDEMNITY PROGRAM,716817.44
Arkansas,2010,LIVESTOCK INDEMNITY PROGRAM AUTHORIZED,657440.1799999999
Arkansas,2010,LOAN DEFICIENCY,168199.85
Arkansas,2010,MILK INCOME LOSS CONTRACT II,334982.54
Arkansas,2010,SUPL REVENUE ASSISTANCE RECOVERY ACT,2200957.0
Arkansas,2010,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,1586570.0
Arkansas,2010,TREE ASSISTANCE PROGRAM,61233.0
Arkansas,2011,ACRE DIRECT PAYMENTS,3722.0
Arkansas,2011,ACRE PAYMENTS,21782.0
Arkansas,2011,AVERAGE CROP REVENUE ELECTION-DIRECT,1052.0
Arkansas,2011,COUNTER CYCLICAL PAYMENT - UPLAND COTTON,1142.0
Arkansas,2011,DCP - COUNTER CYCLICAL,102581.0
Arkansas,2011,DCP - DIRECT,52008532.85
Arkansas,2011,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,5503470.0
Arkansas,2011,DCP PROGRAM - DIRECT PAYMENTS,188531593.9
Arkansas,2011,DIRECT AND COUNTER CYCLICAL PROG,25859.12
Arkansas,2011,DIRECT PAYMENT - RICE,19074.0
Arkansas,2011,DIRECT PAYMENT - SORGHUM,9.0
Arkansas,2011,DIRECT PAYMENT - SOYBEANS,38.0
Arkansas,2011,DIRECT PAYMENT - UPLAND COTTON,4890.0
Arkansas,2011,DIRECT PAYMENT - WHEAT,36.0
Arkansas,2011,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),172247.0
Arkansas,2011,LIVESTOCK FORAGE DISASTER  PROGRAM,131371.97999999998
Arkansas,2011,LIVESTOCK FORAGE DISASTER PROGRAM,4559198.0
Arkansas,2011,LIVESTOCK INDEMNITY PAYMENTS,66671.0
Arkansas,2011,LIVESTOCK INDEMNITY PROGRAM,501318.0
Arkansas,2011,LIVESTOCK INDEMNITY PROGRAM AUTHORIZED,475747.0
Arkansas,2011,LOAN DEFICIENCY,200.1
Arkansas,2011,MILK INCOME LOSS CONTRACT II,751.81
Arkansas,2011,SUPL REVENUE ASSISTANCE - RECOVERY ACT,17381.0
Arkansas,2011,SUPL REVENUE ASSISTANCE RECOVERY ACT,649299.0
Arkansas,2011,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,2776730.0
Arkansas,2011,TREE ASSISTANCE PROGRAM,20216.0
Arkansas,2012,AVERAGE CROP REVENUE ELECTION-DIRECT,3722.0
Arkansas,2012,DCP - COUNTER CYCLICAL,66885.0
Arkansas,2012,DCP - DIRECT,185668554.01
Arkansas,2012,LIVESTOCK FORAGE DISASTER PROGRAM,2813419.0
Arkansas,2012,LIVESTOCK INDEMNITY PROGRAM,230100.0
Arkansas,2012,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,749392.0
Arkansas,2012,TREE ASSISTANCE PROGRAM,31583.0
Arkansas,2013,AVERAGE CROP REVENUE ELECTION-DIRECT,491.0
Arkansas,2013,DCP - COUNTER CYCLICAL,1792.98
Arkansas,2013,DCP - DIRECT,2798568.5
Arkansas,2013,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),95621.0
Arkansas,2013,"INCOME LOSS - MILK, PART 2",333205.6499999999
Arkansas,2013,INDEMNITY PAYMENT - DAIRY,38880.49
Arkansas,2013,LIVESTOCK INDEMNITY PROGRAM,2.0
Arkansas,2013,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,6375789.0
Arkansas,2013,TREE ASSISTANCE PROGRAM,5468.0
Arkansas,2014,AVERAGE CROP REVENUE ELECTION-DIRECT,308.0
Arkansas,2014,DCP - COUNTER CYCLICAL,151.0
Arkansas,2014,DCP - DIRECT,214073604.04000002
Arkansas,2014,"INCOME LOSS - MILK, PART 2",333.15
Arkansas,2014,INDEMNITY PAYMENT - DAIRY,69764.56
Arkansas,2014,LIVESTOCK FORAGE DISASTER PROGRAM,56569.0
Arkansas,2014,LIVESTOCK FORAGE PROGRAM,135914281.07999998
Arkansas,2014,LIVESTOCK INDEMNITY PROGRAM,683151.34
Arkansas,2014,TREE ASSISTANCE PROGRAM,6333.0
Arkansas,2015,AVERAGE CROP REVENUE ELECTION-DIRECT,113.0
Arkansas,2015,COTTON TRANSITION ASSISTANCE PROGRAM,32758990.99
Arkansas,2015,DCP - COUNTER CYCLICAL,248.0
Arkansas,2015,DCP - DIRECT,371529.21
Arkansas,2015,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),964020.0
Arkansas,2015,"INCOME LOSS - MILK, PART 2",165.41
Arkansas,2015,LIVESTOCK FORAGE DISASTER PROGRAM,78853.0
Arkansas,2015,LIVESTOCK FORAGE PROGRAM,33241012.23
Arkansas,2015,LIVESTOCK INDEMNITY PROGRAM,1741496.0
Arkansas,2015,TREE ASSISTANCE PROGRAM,10907.0
Arkansas,2016,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,2400.0
Arkansas,2016,AGRICULTURAL RISK COVERAGE PROG - COUNTY,17096646.75
Arkansas,2016,COTTON TRANSITION ASSISTANCE PROGRAM,475034.39
Arkansas,2016,DCP - COUNTER CYCLICAL,14.0
Arkansas,2016,DCP - DIRECT,172095.74
Arkansas,2016,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),664316.0
Arkansas,2016,INDEMNITY PAYMENT - DAIRY,6307.16
Arkansas,2016,LIVESTOCK FORAGE PROGRAM,19453909.5
Arkansas,2016,LIVESTOCK INDEMNITY PROGRAM,867180.0
Arkansas,2016,MARGIN PROTECTION PROGRAM - DAIRY,3868.0
Arkansas,2016,PRICE LOSS COVERAGE PROGRAM,198005764.40999997
