state,fiscal_year,accounting_program_code,accounting_program_description,amount,category
Alabama,2019,2868,MARKET FACILITATION PROGRAM - DAHG,149597,MFP
Alabama,2019,2877,TMP/MFP 2019 NON SPECIALTY CROPS,44181268.19,MFP
Alabama,2019,2878,TMP/MFP 2019 SPECIALITY CROPS,110708.76,MFP
Alabama,2019,2879,TMP/MFP 2019 LIVESTOCK,71359,MFP
Alabama,2019,2880,TMP/MFP 2019 NON-SPECIALITY CROPS-A,17453.66,MFP
Alabama,2019,3070,GRASSLANDS RESERVE PROGRAM,55455,Ad Hoc
Alabama,2019,3340,EMERGENCY FORESTRY RESTORATION PROGRAM,247358,Ad Hoc
Alabama,2019,4040,EMERGENCY CONSERVATION PROGRAM,33876,Ad Hoc
Alabama,2019,4042,EMERGENCY CONSERVATION PROGRAM FY17,73094,Ad Hoc
Alabama,2019,4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,143899,Ad Hoc
Alabama,2019,4056,ECP COST SHARE FY 2018,2972,Ad Hoc
Alabama,2019,6150,CCC ORGANIC COST SHARE - CROPS,2086.25,Ad Hoc
Alabama,2019,6150,CCC ORGANIC COST SHARE - LIVESTOCK,1438.25,Ad Hoc
Alabama,2019,6150,CCC ORGANIC COST SHARE - WILD CROPS,688.25,Ad Hoc
Alabama,2019,8025,MARGIN PROTECTION PROGRAM - DAIRY,22777,DMC
Alabama,2019,8030,MARGIN PROTECTION  - DAIRY,1602,DMC
Alabama,2019,8053,DAIRY MARGIN COVERAGE PROGRAM,230658.84,DMC
Alabama,2020,2775,NON-INSURED ASSISTANCE PROGRAM,2850148.37,NAP
Alabama,2020,2832,LIVESTOCK INDEMNITY PROGRAM,36801,LIP
Alabama,2020,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),27667,ELAP
Alabama,2020,2835,LIVESTOCK FORAGE PROGRAM,10120089.05,LFP
Alabama,2020,2837,PRICE LOSS COVERAGE PROGRAM,54378865.04,PLC
Alabama,2020,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,1313838,ARC-CO
Alabama,2020,2864,WILDFIRES AND HURRICANES INDEMNITY PROG,275747,Ad Hoc
Alabama,2020,2867,MARKET FACILITATION PROGRAM - CROPS,103476,MFP
Alabama,2020,2875,DIS/WH2 2019 WFHURRINDEMP,4072269,Ad Hoc
Alabama,2020,2877,TMP/MFP 2019 NON SPECIALTY CROPS,76933974.85,MFP
Alabama,2020,2878,TMP/MFP 2019 SPECIALITY CROPS,464464.81,MFP
Alabama,2020,2879,TMP/MFP 2019 LIVESTOCK,136529.49,MFP
Alabama,2020,2880,TMP/MFP 2019 NON-SPECIALITY CROPS-A,124367.94,MFP
Alabama,2020,2886,WHIP 791,414352,Ad Hoc
Alabama,2020,2888,WHIP PLUS 3 ASSISTANCE,8915356.95,Ad Hoc
Alabama,2020,2920,NAP REGULAR WEB-BASED,32241,NAP
Alabama,2020,3070,GRASSLANDS RESERVE PROGRAM,35046,Ad Hoc
Alabama,2020,3340,EMERGENCY FORESTRY RESTORATION PROGRAM,150623,Ad Hoc
Alabama,2020,3357,ERP/HMC COST SHARE FY19,40405,Ad Hoc
Alabama,2020,4040,EMERGENCY CONSERVATION PROGRAM,247205,Ad Hoc
Alabama,2020,4042,EMERGENCY CONSERVATION PROGRAM FY17,236191,Ad Hoc
Alabama,2020,4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,350744.13,Ad Hoc
Alabama,2020,4056,ECP COST SHARE FY 2018,938,Ad Hoc
Alabama,2020,4058,ECP/HMC COST SHARE FY19,9527,Ad Hoc
Alabama,2020,4920,CFAPCARES,33102244.22,CFAP
Alabama,2020,4925,CFAPCCCCA,61234130.82,CFAP
Alabama,2020,4926,CFAPCCA2,10143779.05,CFAP
Alabama,2020,8053,DAIRY MARGIN COVERAGE,31585.05,DMC
Alabama,2021,2775,NON-INSURED ASSISTANCE PROGRAM,29899,NAP
Alabama,2021,2832,LIVESTOCK INDEMNITY PROGRAM,65345,LIP
Alabama,2021,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),12238,ELAP
Alabama,2021,2835,LIVESTOCK FORAGE PROGRAM,119144,LFP
Alabama,2021,2837,PRICE LOSS COVERAGE PROGRAM,88469186.88,PLC
Alabama,2021,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,3587444.19,ARC-CO
Alabama,2021,2867,MARKET FACILITATION PROGRAM - CROPS,7928,MFP
Alabama,2021,2872,TREE ASSISTANCE PROGRAM,1671.22,TAP
Alabama,2021,2875,DIS/WH2 2019 WFHURRINDEMP,8630,Ad Hoc
Alabama,2021,2877,TMP/MFP 2019 NON SPECIALTY CROPS,87689.9,MFP
Alabama,2021,2879,TMP/MFP 2019 LIVESTOCK,1398.4,MFP
Alabama,2021,2886,WHIP 791,167105,Ad Hoc
Alabama,2021,2888,WHIP PLUS 3 ASSISTANCE,11371778.79,Ad Hoc
Alabama,2021,2907,SEAFOOD TRADE RELIEF PROGRAM,23243.36,Ad Hoc
Alabama,2021,2908,QUALITY LOSS ADJUSTMENT PROGRAM,3400344.05,Ad Hoc
Alabama,2021,2920,NAP REGULAR WEB-BASED,17765,NAP
Alabama,2021,3070,GRASSLANDS RESERVE PROGRAM,20537,Ad Hoc
Alabama,2021,3340,EMERGENCY FORESTRY RESTORATION PROGRAM,26723,Ad Hoc
Alabama,2021,3344,EMERGENCY FOREST RESTORATION STAFFORD,51137,Ad Hoc
Alabama,2021,3357,ERP/HMC COST SHARE FY19,99390,Ad Hoc
Alabama,2021,3364,EFPSTACSOF,53159,Ad Hoc
Alabama,2021,3365,ERFMCFSOF,5476,Ad Hoc
Alabama,2021,4040,EMERGENCY CONSERVATION PROGRAM,1219,Ad Hoc
Alabama,2021,4042,EMERGENCY CONSERVATION PROGRAM FY17,31612,Ad Hoc
Alabama,2021,4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,241801,Ad Hoc
Alabama,2021,4058,ECP/HMC COST SHARE FY19,118496,Ad Hoc
Alabama,2021,4060,ECPCOF,2838799.04,Ad Hoc
Alabama,2021,4061,WECPCOF,162792,Ad Hoc
Alabama,2021,4920,CFAPCARES,250039.18,CFAP
Alabama,2021,4923,CFAP3 - LTU,20555556.86,CFAP
Alabama,2021,4924,CFAP3 - TUP,25720425.77,CFAP
Alabama,2021,4925,CFAPCCCCA,629634.66,CFAP
Alabama,2021,4926,CFAPCCA2,88256331.99,CFAP
Alabama,2021,6150,CCC ORGANIC COST SHARE - CROPS,1353.17,Ad Hoc
Alabama,2021,6150,CCC ORGANIC COST SHARE - LIVESTOCK,853.17,Ad Hoc
Alabama,2021,6152,CCC ORGANIC COST SHARE FEES - HANDLING,853.17,Ad Hoc
Alabama,2021,8053,DAIRY MARGIN COVERAGE,447948.78,DMC
Alabama,2021,8286,PANDEMIC ASST-TIMBER HARVESTERS/HAULERS,256000,Ad Hoc
Alabama,2021,8287,PANDEMIC LIVESTOCK INDEMNITY PROGRAM,182642.89,Ad Hoc
Alabama,2022,2775,NON-INSURED ASSISTANCE PROGRAM,66059,NAP
Alabama,2022,2832,LIVESTOCK INDEMNITY PROGRAM,25584,LIP
Alabama,2022,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),3456,ELAP
Alabama,2022,2835,LIVESTOCK FORAGE PROGRAM,1729.39,LFP
Alabama,2022,2837,PRICE LOSS COVERAGE PROGRAM,62771512.41,PLC
Alabama,2022,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,660092,ARC-CO
Alabama,2022,2872,TREE ASSISTANCE PROGRAM,9623.31,TAP
Alabama,2022,2875,DIS/WH2 2019 WFHURRINDEMP,44027.25,Ad Hoc
Alabama,2022,2888,WHIP PLUS 3 ASSISTANCE,948438.79,Ad Hoc
Alabama,2022,2908,QUALITY LOSS ADJUSTMENT PROGRAM,2582.99,Ad Hoc
Alabama,2022,2920,NAP REGULAR WEB-BASED,3497,NAP
Alabama,2022,3070,GRASSLANDS RESERVE PROGRAM,4330,Ad Hoc
Alabama,2022,3344,EMERGENCY FOREST RESTORATION STAFFORD,6635,Ad Hoc
Alabama,2022,3364,EFPSTACSOF,22437,Ad Hoc
Alabama,2022,3365,ERFMCFSOF,6226,Ad Hoc
Alabama,2022,4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,125936,Ad Hoc
Alabama,2022,4058,ECP/HMC COST SHARE FY19,13791,Ad Hoc
Alabama,2022,4060,ECPCOF,453672,Ad Hoc
Alabama,2022,4061,WECPCOF,63748,Ad Hoc
Alabama,2022,4920,CFAPCARES,154401.2,CFAP
Alabama,2022,4922,CFAPCARES2.1,23356061.58,CFAP
Alabama,2022,4923,CFAP3 - LTU,4116.75,CFAP
Alabama,2022,4924,CFAP3 - TUP,29709.41,CFAP
Alabama,2022,4925,CFAPCCCCA,1716,CFAP
Alabama,2022,4926,CFAPCCA2,814199.79,CFAP
Alabama,2022,6150,CCC ORGANIC COST SHARE - CROPS,495.12,Ad Hoc
Alabama,2022,6150,CCC ORGANIC COST SHARE - LIVESTOCK,495.12,Ad Hoc
Alabama,2022,6152,CCC ORGANIC COST SHARE FEES - HANDLING,495.12,Ad Hoc
Alabama,2022,8053,DAIRY MARGIN COVERAGE,199276.69,DMC
Alabama,2022,8286,PANDEMIC ASST-TIMBER HARVESTERS/HAULERS,13876551.39,Ad Hoc
Alabama,2022,8287,PANDEMIC LIVESTOCK INDEMNITY PROGRAM,206638.31,Ad Hoc
Alaska,2018,2837,PRICE LOSS COVERAGE PROGRAM,15983,PLC
Alaska,2018,2840,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,2712,ARC-Ind
Alaska,2018,2860,GEOGRAPHIC DISADVANTAGED PROGRAM,308486.34,Ad Hoc
Alaska,2018,3070,GRASSLANDS RESERVE PROGRAM,10996,Ad Hoc
Alaska,2018,3070,GRASSLANDS RESERVE PROGRAM,1810,Ad Hoc
Alaska,2018,6150,CCC ORGANIC COST SHARE - CROPS,750,Ad Hoc
Alaska,2019,2775,NON-INSURED ASSISTANCE PROGRAM,62990,NAP
Alaska,2019,2837,PRICE LOSS COVERAGE PROGRAM,201322,PLC
Alaska,2019,2865,GEOGRAPHIC DISADVANTAGED PROGRAM,374702.61,Ad Hoc
Alaska,2019,2867,MARKET FACILITATION PROGRAM - CROPS,1123,MFP
Alaska,2019,2868,MARKET FACILITATION PROGRAM - DAHG,2460,MFP
Alaska,2019,2877,TMP/MFP 2019 NON SPECIALTY CROPS,80128.5,MFP
Alaska,2019,2879,TMP/MFP 2019 LIVESTOCK,2050.2,MFP
Alaska,2019,3070,GRASSLANDS RESERVE PROGRAM,48641,Ad Hoc
Alaska,2019,8053,DAIRY MARGIN COVERAGE PROGRAM,9895.72,DMC
Alaska,2020,2837,PRICE LOSS COVERAGE PROGRAM,135972,PLC
Alaska,2020,2840,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,8314,ARC-Ind
Alaska,2020,2874,GEOGRAPHIC DISADVANTAGED PROGRAM,335793.74,Ad Hoc
Alaska,2020,2877,TMP/MFP 2019 NON SPECIALTY CROPS,1897.5,MFP
Alaska,2020,2879,TMP/MFP 2019 LIVESTOCK,11202.2,MFP
Alaska,2020,3070,GRASSLANDS RESERVE PROGRAM,44201,Ad Hoc
Alaska,2020,4920,CFAPCARES,50133.66,CFAP
Alaska,2020,4925,CFAPCCCCA,85269.66,CFAP
Alaska,2020,6150,CCC ORGANIC COST SHARE - CROPS,750,Ad Hoc
Alaska,2020,6152,CCC ORGANIC COST SHARE FEES - HANDLING,455.92,Ad Hoc
Alaska,2020,8053,DAIRY MARGIN COVERAGE,12141.95,DMC
Alaska,2021,2832,LIVESTOCK INDEMNITY PROGRAM,14388,LIP
Alaska,2021,2837,PRICE LOSS COVERAGE PROGRAM,123562,PLC
Alaska,2021,2858,GEOGRAPHIC DISADVANTAGED PROGRAM,2254.47,Ad Hoc
Alaska,2021,2887,FARM RANCHERS PROGRAM,404526.84,Ad Hoc
Alaska,2021,2907,SEAFOOD TRADE RELIEF PROGRAM,106798852.4,Ad Hoc
Alaska,2021,3070,GRASSLANDS RESERVE PROGRAM,41268,Ad Hoc
Alaska,2021,4920,CFAPCARES,31235.79,CFAP
Alaska,2021,4923,CFAP3 - LTU,46946.49,CFAP
Alaska,2021,4924,CFAP3 - TUP,133407.1,CFAP
Alaska,2021,4925,CFAPCCCCA,124046.59,CFAP
Alaska,2021,4926,CFAPCCA2,985604.75,CFAP
Alaska,2021,8053,DAIRY MARGIN COVERAGE,33286.49,DMC
Alaska,2021,8286,PANDEMIC ASST-TIMBER HARVESTERS/HAULERS,4000,Ad Hoc
Alaska,2022,2775,NON-INSURED ASSISTANCE PROGRAM,14837,NAP
Alaska,2022,2837,PRICE LOSS COVERAGE PROGRAM,101117,PLC
Alaska,2022,2840,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,7782,ARC-Ind
Alaska,2022,3070,GRASSLANDS RESERVE PROGRAM,27520,Ad Hoc
Alaska,2022,4926,CFAPCCA2,96148.34,CFAP
Alaska,2022,8053,DAIRY MARGIN COVERAGE,15266.67,DMC
Alaska,2022,8286,PANDEMIC ASST-TIMBER HARVESTERS/HAULERS,174196.93,Ad Hoc
Arizona,2018,2441,COTTON GINNING COST SHARE PROGRAM,5515927,Ad Hoc
Arizona,2018,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),876300,ELAP
Arizona,2018,2835,LIVESTOCK FORAGE PROGRAM,7682601.79,LFP
Arizona,2018,2835,LIVESTOCK FORAGE PROGRAM,128418,LFP
Arizona,2018,2837,PRICE LOSS COVERAGE PROGRAM,338859,PLC
Arizona,2018,2837,PRICE LOSS COVERAGE PROGRAM,18290121,PLC
Arizona,2018,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,90017,ARC-CO
Arizona,2018,2840,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,24975,ARC-Ind
Arizona,2018,2867,MARKET FACILITATION PROGRAM - CROPS,61102,MFP
Arizona,2018,2868,MARKET FACILITATION PROGRAM - DAHG,344594,MFP
Arizona,2018,3070,GRASSLANDS RESERVE PROGRAM,122172,Ad Hoc
Arizona,2018,6150,CCC ORGANIC COST SHARE - CROPS,1500,Ad Hoc
Arizona,2018,6150,CCC ORGANIC COST SHARE - CROPS,1500,Ad Hoc
Arizona,2018,6152,CCC ORGANIC COST SHARE FEES - HANDLING,825,Ad Hoc
Arizona,2018,8025,MARGIN PROTECTION PROGRAM - DAIRY,204189,DMC
Arizona,2019,2775,NON-INSURED ASSISTANCE PROGRAM,273043,NAP
Arizona,2019,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1135517,ELAP
Arizona,2019,2835,LIVESTOCK FORAGE PROGRAM,5246155.81,LFP
Arizona,2019,2837,PRICE LOSS COVERAGE PROGRAM,11643132,PLC
Arizona,2019,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,8064,ARC-CO
Arizona,2019,2840,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,7144,ARC-Ind
Arizona,2019,2867,MARKET FACILITATION PROGRAM - CROPS,12644172,MFP
Arizona,2019,2868,MARKET FACILITATION PROGRAM - DAHG,3122639,MFP
Arizona,2019,2870,MARKET FACILITATION PROG-SPECIALTY CROPS,4680,MFP
Arizona,2019,2877,TMP/MFP 2019 NON SPECIALTY CROPS,16219811.86,MFP
Arizona,2019,2878,TMP/MFP 2019 SPECIALITY CROPS,69754.52,MFP
Arizona,2019,2879,TMP/MFP 2019 LIVESTOCK,3106399,MFP
Arizona,2019,2880,TMP/MFP 2019 NON-SPECIALITY CROPS-A,691588.5,MFP
Arizona,2019,3070,GRASSLANDS RESERVE PROGRAM,122172,Ad Hoc
Arizona,2019,4040,EMERGENCY CONSERVATION PROGRAM,16767,Ad Hoc
Arizona,2019,4056,ECP COST SHARE FY 2018,4160,Ad Hoc
Arizona,2019,6150,CCC ORGANIC COST SHARE - CROPS,2742.75,Ad Hoc
Arizona,2019,6152,CCC ORGANIC COST SHARE FEES - HANDLING,750,Ad Hoc
Arizona,2019,8025,MARGIN PROTECTION PROGRAM - DAIRY,20228,DMC
Arizona,2019,8030,MARGIN PROTECTION  - DAIRY,12031,DMC
Arizona,2019,8053,DAIRY MARGIN COVERAGE PROGRAM,1612684.93,DMC
Arizona,2020,2775,NON-INSURED ASSISTANCE PROGRAM,19896,NAP
Arizona,2020,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),389998,ELAP
Arizona,2020,2835,LIVESTOCK FORAGE PROGRAM,5137462.75,LFP
Arizona,2020,2837,PRICE LOSS COVERAGE PROGRAM,17892778.59,PLC
Arizona,2020,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,28212,ARC-CO
Arizona,2020,2840,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,2487,ARC-Ind
Arizona,2020,2867,MARKET FACILITATION PROGRAM - CROPS,68767,MFP
Arizona,2020,2868,MARKET FACILITATION PROGRAM - DAHG,69611,MFP
Arizona,2020,2877,TMP/MFP 2019 NON SPECIALTY CROPS,29360683.01,MFP
Arizona,2020,2878,TMP/MFP 2019 SPECIALITY CROPS,732214.38,MFP
Arizona,2020,2879,TMP/MFP 2019 LIVESTOCK,3052378.89,MFP
Arizona,2020,2880,TMP/MFP 2019 NON-SPECIALITY CROPS-A,3383715.63,MFP
Arizona,2020,2907,SEAFOOD TRADE RELIEF PROGRAM,495540.15,Ad Hoc
Arizona,2020,3070,GRASSLANDS RESERVE PROGRAM,103212,Ad Hoc
Arizona,2020,4040,EMERGENCY CONSERVATION PROGRAM,219371,Ad Hoc
Arizona,2020,4041,ECP PRIVATE SECTOR TECHNICAL ASSISTANCE,18450,Ad Hoc
Arizona,2020,4920,CFAPCARES,32806937.91,CFAP
Arizona,2020,4925,CFAPCCCCA,27939702.34,CFAP
Arizona,2020,4926,CFAPCCA2,586515.88,CFAP
Arizona,2020,6150,CCC ORGANIC COST SHARE - CROPS,500,Ad Hoc
Arizona,2020,6152,CCC ORGANIC COST SHARE FEES - HANDLING,3750,Ad Hoc
Arizona,2020,6152,ORGANIC COST SHARE FEES- ST ORG PGM FEES,1500,Ad Hoc
Arizona,2020,8053,DAIRY MARGIN COVERAGE,654583.13,DMC
Arizona,2020,8053,DAIRY MARGIN COVERAGE PROGRAM,12766.29,DMC
Arizona,2021,2775,NON-INSURED ASSISTANCE PROGRAM,677372.27,NAP
Arizona,2021,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1601320.63,ELAP
Arizona,2021,2835,LIVESTOCK FORAGE PROGRAM,18186883.93,LFP
Arizona,2021,2837,PRICE LOSS COVERAGE PROGRAM,42237835.21,PLC
Arizona,2021,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,61206,ARC-CO
Arizona,2021,2868,MARKET FACILITATION PROGRAM - DAHG,58104.82,MFP
Arizona,2021,2877,TMP/MFP 2019 NON SPECIALTY CROPS,165363.67,MFP
Arizona,2021,2880,TMP/MFP 2019 NON-SPECIALITY CROPS-A,88239.68,MFP
Arizona,2021,2888,WHIP PLUS 3 ASSISTANCE,381726,Ad Hoc
Arizona,2021,2907,SEAFOOD TRADE RELIEF PROGRAM,1627753.05,Ad Hoc
Arizona,2021,2908,QUALITY LOSS ADJUSTMENT PROGRAM,2152879.43,Ad Hoc
Arizona,2021,3070,GRASSLANDS RESERVE PROGRAM,110569,Ad Hoc
Arizona,2021,4040,EMERGENCY CONSERVATION PROGRAM,85229,Ad Hoc
Arizona,2021,4920,CFAPCARES,2839048.17,CFAP
Arizona,2021,4923,CFAP3 - LTU,5732937.78,CFAP
Arizona,2021,4924,CFAP3 - TUP,9107502.7,CFAP
Arizona,2021,4925,CFAPCCCCA,2663200.55,CFAP
Arizona,2021,4926,CFAPCCA2,70910074.47,CFAP
Arizona,2021,6150,CCC ORGANIC COST SHARE - CROPS,447.5,Ad Hoc
Arizona,2021,6152,CCC ORGANIC COST SHARE FEES - HANDLING,3500,Ad Hoc
Arizona,2021,8053,DAIRY MARGIN COVERAGE,4547729.62,DMC
Arizona,2021,8053,DAIRY MARGIN COVERAGE PROGRAM,0.03,DMC
Arizona,2022,2775,NON-INSURED ASSISTANCE PROGRAM,94050,NAP
Arizona,2022,2832,LIVESTOCK INDEMNITY PROGRAM,21936,LIP
Arizona,2022,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),377048,ELAP
Arizona,2022,2835,LIVESTOCK FORAGE PROGRAM,1373835.04,LFP
Arizona,2022,2837,PRICE LOSS COVERAGE PROGRAM,21148835.28,PLC
Arizona,2022,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,12396,ARC-CO
Arizona,2022,2908,QUALITY LOSS ADJUSTMENT PROGRAM,948164.21,Ad Hoc
Arizona,2022,4060,ECPCOF,7734,Ad Hoc
Arizona,2022,4920,CFAPCARES,867305.07,CFAP
Arizona,2022,4922,CFAPCARES2.1,147559.06,CFAP
Arizona,2022,4923,CFAP3 - LTU,3672.5,CFAP
Arizona,2022,4924,CFAP3 - TUP,97722.85,CFAP
Arizona,2022,4925,CFAPCCCCA,28299.19,CFAP
Arizona,2022,4926,CFAPCCA2,844311.49,CFAP
Arizona,2022,6150,CCC ORGANIC COST SHARE - CROPS,500,Ad Hoc
Arizona,2022,6152,CCC ORGANIC COST SHARE FEES - HANDLING,2000,Ad Hoc
Arizona,2022,8053,DAIRY MARGIN COVERAGE,1644185.34,DMC
Arizona,2022,8286,PANDEMIC ASST-TIMBER HARVESTERS/HAULERS,158625,Ad Hoc
Arkansas,2018,2441,COTTON GINNING COST SHARE PROGRAM,10281071.76,Ad Hoc
Arkansas,2018,2442,COTTON TRANSITION ASSISTANCE PROGRAM,3146,Ad Hoc
Arkansas,2018,2767,BIOMASS CROP ASSISTANCE - ANNUAL RENTAL,10042,Ad Hoc
Arkansas,2018,2767,BIOMASS CROP ASSISTANCE - ANNUAL RENTAL,30986,Ad Hoc
Arkansas,2018,2775,NON-INSURED ASSISTANCE PROGRAM,11590389.22,NAP
Arkansas,2018,2775,NON-INSURED ASSISTANCE PROGRAM,621148,NAP
Arkansas,2018,2832,LIVESTOCK INDEMNITY PROGRAM,221050,LIP
Arkansas,2018,2832,LIVESTOCK INDEMNITY PROGRAM,45202,LIP
Arkansas,2018,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),1283409,ELAP
Arkansas,2018,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),273,ELAP
Arkansas,2018,2834,TREE ASSISTANCE PROGRAM,13452,TAP
Arkansas,2018,2835,LIVESTOCK FORAGE PROGRAM,7728483,LFP
Arkansas,2018,2835,LIVESTOCK FORAGE PROGRAM,401545.03,LFP
Arkansas,2018,2837,PRICE LOSS COVERAGE PROGRAM,4797917.09,PLC
Arkansas,2018,2837,PRICE LOSS COVERAGE PROGRAM,410745642.7,PLC
Arkansas,2018,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,972859,ARC-CO
Arkansas,2018,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,78965504.76,ARC-CO
Arkansas,2018,2840,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,353,ARC-Ind
Arkansas,2018,2867,MARKET FACILITATION PROGRAM - CROPS,174825,MFP
Arkansas,2018,2868,MARKET FACILITATION PROGRAM - DAHG,33938,MFP
Arkansas,2018,3070,GRASSLANDS RESERVE PROGRAM,12309,Ad Hoc
Arkansas,2018,3070,GRASSLANDS RESERVE PROGRAM,41528,Ad Hoc
Arkansas,2018,3344,EMERGENCY FOREST RESTORATION STAFFORD,32798,Ad Hoc
Arkansas,2018,4040,EMERGENCY CONSERVATION PROGRAM,534374,Ad Hoc
Arkansas,2018,4040,EMERGENCY CONSERVATION PROGRAM,220492,Ad Hoc
Arkansas,2018,4042,EMERGENCY CONSERVATION PROGRAM FY17,12277,Ad Hoc
Arkansas,2018,4042,EMERGENCY CONSERVATION PROGRAM FY17,6460,Ad Hoc
Arkansas,2018,4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,4394469,Ad Hoc
Arkansas,2018,4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,1070124,Ad Hoc
Arkansas,2018,6150,CCC ORGANIC COST SHARE - CROPS,3657,Ad Hoc
Arkansas,2018,6150,CCC ORGANIC COST SHARE - CROPS,1534,Ad Hoc
Arkansas,2018,6150,CCC ORGANIC COST SHARE - LIVESTOCK,609.98,Ad Hoc
Arkansas,2018,6152,CCC ORGANIC COST SHARE FEES - HANDLING,750,Ad Hoc
