STATE,COUNTY,PROGRAM,PRACTICE NAME,FISCAL YEAR,PRACTICE INSTANCE COUNT,DOLLARS OBLIGATED,INDEX()
American Samoa,Total,EQIP IRA,Combustion System Improvement (372),Total,12,"$915,470 ",68
American Samoa,Total,EQIP IRA,Conservation Cover (327),2023,12,"$13,175 ",69
American Samoa,Total,EQIP IRA,Conservation Cover (327),Total,12,"$13,175 ",70
American Samoa,Total,EQIP IRA,Cover Crop (340),2023,,,71
American Samoa,Total,EQIP IRA,Cover Crop (340),Total,,,72
American Samoa,Total,EQIP IRA,Critical Area Planting (342),2023,,,73
American Samoa,Total,EQIP IRA,Critical Area Planting (342),Total,,,74
American Samoa,Total,EQIP IRA,Fence (382),2023,7,"$81,197 ",75
American Samoa,Total,EQIP IRA,Fence (382),Total,7,"$81,197 ",76
American Samoa,Total,EQIP IRA,Firebreak (394),2023,,,77
American Samoa,Total,EQIP IRA,Firebreak (394),Total,,,78
American Samoa,Total,EQIP IRA,Forest Stand Improvement (666),2023,304,"$3,733,451 ",79
American Samoa,Total,EQIP IRA,Forest Stand Improvement (666),Total,304,"$3,733,451 ",80
American Samoa,Total,EQIP IRA,Forest Trails and Landings (655),2023,,,81
American Samoa,Total,EQIP IRA,Forest Trails and Landings (655),Total,,,82
American Samoa,Total,EQIP IRA,Fuel Break (383),2023,,,83
American Samoa,Total,EQIP IRA,Fuel Break (383),Total,,,84
American Samoa,Total,EQIP IRA,Herbaceous Weed Treatment (315),2023,5,"$16,918 ",85
American Samoa,Total,EQIP IRA,Herbaceous Weed Treatment (315),Total,5,"$16,918 ",86
American Samoa,Total,EQIP IRA,Lined Waterway or Outlet (468),2023,,,87
American Samoa,Total,EQIP IRA,Lined Waterway or Outlet (468),Total,,,88
American Samoa,Total,EQIP IRA,Livestock Pipeline (516),2023,,,89
American Samoa,Total,EQIP IRA,Livestock Pipeline (516),Total,,,90
American Samoa,Total,EQIP IRA,Mulching (484),2023,5,"$11,931 ",91
American Samoa,Total,EQIP IRA,Mulching (484),Total,5,"$11,931 ",92
American Samoa,Total,EQIP IRA,Obstruction Removal (500),2023,,,93
American Samoa,Total,EQIP IRA,Obstruction Removal (500),Total,,,94
American Samoa,Total,EQIP IRA,Prescribed Burning (338),2023,,,95
American Samoa,Total,EQIP IRA,Prescribed Burning (338),Total,,,96
American Samoa,Total,EQIP IRA,Prescribed Grazing (528),2023,,,97
American Samoa,Total,EQIP IRA,Prescribed Grazing (528),Total,,,98
American Samoa,Total,EQIP IRA,Riparian Forest Buffer (391),2023,,,99
American Samoa,Total,EQIP IRA,Riparian Forest Buffer (391),Total,,,100
American Samoa,Total,EQIP IRA,Riparian Herbaceous Cover (390),2023,,,101
American Samoa,Total,EQIP IRA,Riparian Herbaceous Cover (390),Total,,,102
American Samoa,Total,EQIP IRA,Spring Development (574),2023,,,103
American Samoa,Total,EQIP IRA,Spring Development (574),Total,,,104
American Samoa,Total,EQIP IRA,Structure for Water Control (587),2023,17,"$63,567 ",105
American Samoa,Total,EQIP IRA,Structure for Water Control (587),Total,17,"$63,567 ",106
American Samoa,Total,EQIP IRA,Structures for Wildlife (649),2023,4,"$1,962 ",107
American Samoa,Total,EQIP IRA,Structures for Wildlife (649),Total,4,"$1,962 ",108
American Samoa,Total,EQIP IRA,Total,2023,"1,087","$7,363,128 ",109
American Samoa,Total,EQIP IRA,Total,Total,"1,087","$7,363,128 ",110
American Samoa,Total,EQIP IRA,Tree-Shrub Pruning (660),2023,155,"$401,260 ",111
American Samoa,Total,EQIP IRA,Tree-Shrub Pruning (660),Total,155,"$401,260 ",112
American Samoa,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,51,"$213,626 ",113
American Samoa,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,51,"$213,626 ",114
American Samoa,Total,EQIP IRA,Tree/Shrub Site Preparation (490),2023,40,"$113,384 ",115
American Samoa,Total,EQIP IRA,Tree/Shrub Site Preparation (490),Total,40,"$113,384 ",116
American Samoa,Total,EQIP IRA,Upland Wildlife Habitat Management (645),2023,15,"$6,916 ",117
American Samoa,Total,EQIP IRA,Upland Wildlife Habitat Management (645),Total,15,"$6,916 ",118
American Samoa,Total,EQIP IRA,Watering Facility (614),2023,,,119
American Samoa,Total,EQIP IRA,Watering Facility (614),Total,,,120
American Samoa,Total,EQIP IRA,Wildlife Habitat Planting (420),2023,,,121
American Samoa,Total,EQIP IRA,Wildlife Habitat Planting (420),Total,,,122
American Samoa,Total,EQIP IRA,Woody Residue Treatment (384),2023,288,"$1,109,271 ",123
American Samoa,Total,EQIP IRA,Woody Residue Treatment (384),Total,288,"$1,109,271 ",124
Arizona,Total,EQIP IRA,Brush Management (314),2023,23,"$336,760 ",125
Arizona,Total,EQIP IRA,Brush Management (314),Total,23,"$336,760 ",126
Arizona,Total,EQIP IRA,Conservation Cover (327),2023,,,127
Arizona,Total,EQIP IRA,Conservation Cover (327),Total,,,128
Arizona,Total,EQIP IRA,Conservation Crop Rotation (328),2023,,,129
Arizona,Total,EQIP IRA,Conservation Crop Rotation (328),Total,,,130
Arizona,Total,EQIP IRA,Cover Crop (340),2023,17,"$48,365 ",131
Arizona,Total,EQIP IRA,Cover Crop (340),Total,17,"$48,365 ",132
Arizona,Total,EQIP IRA,Fence (382),2023,15,"$206,703 ",133
Arizona,Total,EQIP IRA,Fence (382),Total,15,"$206,703 ",134
Arizona,Total,EQIP IRA,Forest Stand Improvement (666),2023,10,"$250,299 ",135
Arizona,Total,EQIP IRA,Forest Stand Improvement (666),Total,10,"$250,299 ",136
Arizona,Total,EQIP IRA,Irrigation Pipeline (430),2023,,,137
Arizona,Total,EQIP IRA,Irrigation Pipeline (430),Total,,,138
Arizona,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",2023,,,139
Arizona,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",Total,,,140
Arizona,Total,EQIP IRA,Irrigation Water Management (449),2023,5,"$3,197 ",141
Arizona,Total,EQIP IRA,Irrigation Water Management (449),Total,5,"$3,197 ",142
Arizona,Total,EQIP IRA,Livestock Pipeline (516),2023,14,"$147,156 ",143
Arizona,Total,EQIP IRA,Livestock Pipeline (516),Total,14,"$147,156 ",144
Arizona,Total,EQIP IRA,Mulching (484),2023,,,145
Arizona,Total,EQIP IRA,Mulching (484),Total,,,146
Arizona,Total,EQIP IRA,Prescribed Grazing (528),2023,11,"$108,096 ",147
Arizona,Total,EQIP IRA,Prescribed Grazing (528),Total,11,"$108,096 ",148
Arizona,Total,EQIP IRA,Pumping Plant (533),2023,11,"$73,413 ",149
Arizona,Total,EQIP IRA,Pumping Plant (533),Total,11,"$73,413 ",150
Arizona,Total,EQIP IRA,Range Planting (550),2023,16,"$12,136 ",151
Arizona,Total,EQIP IRA,Range Planting (550),Total,16,"$12,136 ",152
Arizona,Total,EQIP IRA,Sprinkler System (442),2023,4,"$291,674 ",153
Arizona,Total,EQIP IRA,Sprinkler System (442),Total,4,"$291,674 ",154
Arizona,Total,EQIP IRA,Structure for Water Control (587),2023,,,155
Arizona,Total,EQIP IRA,Structure for Water Control (587),Total,,,156
Arizona,Total,EQIP IRA,Total,2023,183,"$1,797,097 ",157
Arizona,Total,EQIP IRA,Total,Total,183,"$1,797,097 ",158
Arizona,Total,EQIP IRA,Upland Wildlife Habitat Management (645),2023,,,159
Arizona,Total,EQIP IRA,Upland Wildlife Habitat Management (645),Total,,,160
Arizona,Total,EQIP IRA,Water Well (642),2023,,,161
Arizona,Total,EQIP IRA,Water Well (642),Total,,,162
Arizona,Total,EQIP IRA,Watering Facility (614),2023,28,"$144,170 ",163
Arizona,Total,EQIP IRA,Watering Facility (614),Total,28,"$144,170 ",164
Arizona,Total,EQIP IRA,Woody Residue Treatment (384),2023,,,165
Arizona,Total,EQIP IRA,Woody Residue Treatment (384),Total,,,166
Arkansas,Total,EQIP IRA,Conservation Crop Rotation (328),2023,158,"$355,135 ",167
Arkansas,Total,EQIP IRA,Conservation Crop Rotation (328),Total,158,"$355,135 ",168
Arkansas,Total,EQIP IRA,Cover Crop (340),2023,186,"$2,732,165 ",169
Arkansas,Total,EQIP IRA,Cover Crop (340),Total,186,"$2,732,165 ",170
Arkansas,Total,EQIP IRA,Nutrient Management (590),2023,183,"$1,453,441 ",171
Arkansas,Total,EQIP IRA,Nutrient Management (590),Total,183,"$1,453,441 ",172
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, No Till (329)",2023,119,"$402,909 ",173
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, No Till (329)",Total,119,"$402,909 ",174
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",2023,67,"$298,186 ",175
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",Total,67,"$298,186 ",176
Arkansas,Total,EQIP IRA,Total,2023,713,"$5,241,836 ",177
Arkansas,Total,EQIP IRA,Total,Total,713,"$5,241,836 ",178
California,Total,EQIP IRA,Access Road (560),2023,19,"$108,427 ",179
California,Total,EQIP IRA,Access Road (560),Total,19,"$108,427 ",180
California,Total,EQIP IRA,Brush Management (314),2023,126,"$341,519 ",181
California,Total,EQIP IRA,Brush Management (314),Total,126,"$341,519 ",182
California,Total,EQIP IRA,Combustion System Improvement (372),2023,18,"$1,234,127 ",183
California,Total,EQIP IRA,Combustion System Improvement (372),Total,18,"$1,234,127 ",184
California,Total,EQIP IRA,Conservation Cover (327),2023,12,"$13,175 ",185
California,Total,EQIP IRA,Conservation Cover (327),Total,12,"$13,175 ",186
California,Total,EQIP IRA,Cover Crop (340),2023,,,187
California,Total,EQIP IRA,Cover Crop (340),Total,,,188
California,Total,EQIP IRA,Critical Area Planting (342),2023,,,189
California,Total,EQIP IRA,Critical Area Planting (342),Total,,,190
California,Total,EQIP IRA,Fence (382),2023,7,"$81,197 ",191
California,Total,EQIP IRA,Fence (382),Total,7,"$81,197 ",192
California,Total,EQIP IRA,Firebreak (394),2023,,,193
California,Total,EQIP IRA,Firebreak (394),Total,,,194
California,Total,EQIP IRA,Forest Stand Improvement (666),2023,313,"$3,832,663 ",195
California,Total,EQIP IRA,Forest Stand Improvement (666),Total,313,"$3,832,663 ",196
California,Total,EQIP IRA,Forest Trails and Landings (655),2023,,,197
California,Total,EQIP IRA,Forest Trails and Landings (655),Total,,,198
California,Total,EQIP IRA,Fuel Break (383),2023,,,199
California,Total,EQIP IRA,Fuel Break (383),Total,,,200
California,Total,EQIP IRA,Herbaceous Weed Treatment (315),2023,5,"$16,918 ",201
California,Total,EQIP IRA,Herbaceous Weed Treatment (315),Total,5,"$16,918 ",202
California,Total,EQIP IRA,Lined Waterway or Outlet (468),2023,,,203
California,Total,EQIP IRA,Lined Waterway or Outlet (468),Total,,,204
California,Total,EQIP IRA,Livestock Pipeline (516),2023,,,205
California,Total,EQIP IRA,Livestock Pipeline (516),Total,,,206
California,Total,EQIP IRA,Mulching (484),2023,5,"$11,931 ",207
California,Total,EQIP IRA,Mulching (484),Total,5,"$11,931 ",208
California,Total,EQIP IRA,Obstruction Removal (500),2023,,,209
California,Total,EQIP IRA,Obstruction Removal (500),Total,,,210
California,Total,EQIP IRA,Prescribed Burning (338),2023,,,211
California,Total,EQIP IRA,Prescribed Burning (338),Total,,,212
California,Total,EQIP IRA,Prescribed Grazing (528),2023,,,213
California,Total,EQIP IRA,Prescribed Grazing (528),Total,,,214
California,Total,EQIP IRA,Riparian Forest Buffer (391),2023,,,215
California,Total,EQIP IRA,Riparian Forest Buffer (391),Total,,,216
California,Total,EQIP IRA,Riparian Herbaceous Cover (390),2023,,,217
California,Total,EQIP IRA,Riparian Herbaceous Cover (390),Total,,,218
California,Total,EQIP IRA,Spring Development (574),2023,,,219
California,Total,EQIP IRA,Spring Development (574),Total,,,220
California,Total,EQIP IRA,Structure for Water Control (587),2023,17,"$63,567 ",221
California,Total,EQIP IRA,Structure for Water Control (587),Total,17,"$63,567 ",222
California,Total,EQIP IRA,Structures for Wildlife (649),2023,4,"$1,962 ",223
California,Total,EQIP IRA,Structures for Wildlife (649),Total,4,"$1,962 ",224
California,Total,EQIP IRA,Total,2023,"1,115","$7,833,400 ",225
California,Total,EQIP IRA,Total,Total,"1,115","$7,833,400 ",226
California,Total,EQIP IRA,Tree-Shrub Pruning (660),2023,158,"$412,708 ",227
California,Total,EQIP IRA,Tree-Shrub Pruning (660),Total,158,"$412,708 ",228
California,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,51,"$213,626 ",229
California,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,51,"$213,626 ",230
California,Total,EQIP IRA,Tree/Shrub Site Preparation (490),2023,40,"$113,384 ",231
California,Total,EQIP IRA,Tree/Shrub Site Preparation (490),Total,40,"$113,384 ",232
California,Total,EQIP IRA,Upland Wildlife Habitat Management (645),2023,15,"$6,916 ",233
California,Total,EQIP IRA,Upland Wildlife Habitat Management (645),Total,15,"$6,916 ",234
California,Total,EQIP IRA,Watering Facility (614),2023,,,235
California,Total,EQIP IRA,Watering Facility (614),Total,,,236
California,Total,EQIP IRA,Wildlife Habitat Planting (420),2023,,,237
California,Total,EQIP IRA,Wildlife Habitat Planting (420),Total,,,238
California,Total,EQIP IRA,Woody Residue Treatment (384),2023,298,"$1,150,226 ",239
California,Total,EQIP IRA,Woody Residue Treatment (384),Total,298,"$1,150,226 ",240
Colorado,Total,EQIP IRA,Conservation Cover (327),2023,5,"$160,812 ",241
Colorado,Total,EQIP IRA,Conservation Cover (327),Total,5,"$160,812 ",242
Colorado,Total,EQIP IRA,Cover Crop (340),2023,70,"$857,174 ",243
Colorado,Total,EQIP IRA,Cover Crop (340),Total,70,"$857,174 ",244
Colorado,Total,EQIP IRA,Critical Area Planting (342),2023,8,"$17,010 ",245
Colorado,Total,EQIP IRA,Critical Area Planting (342),Total,8,"$17,010 ",246
Colorado,Total,EQIP IRA,Fence (382),2023,,,247
Colorado,Total,EQIP IRA,Fence (382),Total,,,248
Colorado,Total,EQIP IRA,Forest Stand Improvement (666),2023,44,"$1,243,812 ",249
Colorado,Total,EQIP IRA,Forest Stand Improvement (666),Total,44,"$1,243,812 ",250
Colorado,Total,EQIP IRA,Herbaceous Weed Treatment (315),2023,54,"$69,038 ",251
Colorado,Total,EQIP IRA,Herbaceous Weed Treatment (315),Total,54,"$69,038 ",252
Colorado,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",2023,,,253
Colorado,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",Total,,,254
Colorado,Total,EQIP IRA,Livestock Pipeline (516),2023,,,255
Colorado,Total,EQIP IRA,Livestock Pipeline (516),Total,,,256
Colorado,Total,EQIP IRA,Pumping Plant (533),2023,,,257
Colorado,Total,EQIP IRA,Pumping Plant (533),Total,,,258
Colorado,Total,EQIP IRA,Total,2023,249,"$2,793,413 ",259
Colorado,Total,EQIP IRA,Total,Total,249,"$2,793,413 ",260
Colorado,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,,,261
Colorado,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,,,262
Colorado,Total,EQIP IRA,Tree/Shrub Site Preparation (490),2023,,,263
Colorado,Total,EQIP IRA,Tree/Shrub Site Preparation (490),Total,,,264
Colorado,Total,EQIP IRA,Upland Wildlife Habitat Management (645),2023,15,"$61,923 ",265
Colorado,Total,EQIP IRA,Upland Wildlife Habitat Management (645),Total,15,"$61,923 ",266
Colorado,Total,EQIP IRA,Water Well (642),2023,,,267
Colorado,Total,EQIP IRA,Water Well (642),Total,,,268
Colorado,Total,EQIP IRA,Wildlife Habitat Planting (420),2023,8,"$260,275 ",269
Colorado,Total,EQIP IRA,Wildlife Habitat Planting (420),Total,8,"$260,275 ",270
Colorado,Total,EQIP IRA,Windbreak/Shelterbelt Establishment and Renovation (380),2023,,,271
Colorado,Total,EQIP IRA,Windbreak/Shelterbelt Establishment and Renovation (380),Total,,,272
Colorado,Total,EQIP IRA,Woody Residue Treatment (384),2023,34,"$91,559 ",273
Colorado,Total,EQIP IRA,Woody Residue Treatment (384),Total,34,"$91,559 ",274
Connecticut,Total,EQIP IRA,Access Control (472),2023,9,"$9,988 ",275
Connecticut,Total,EQIP IRA,Access Control (472),Total,9,"$9,988 ",276
Connecticut,Total,EQIP IRA,Access Road (560),2023,,,277
Connecticut,Total,EQIP IRA,Access Road (560),Total,,,278
Connecticut,Total,EQIP IRA,Brush Management (314),2023,49,"$378,547 ",279
Connecticut,Total,EQIP IRA,Brush Management (314),Total,49,"$378,547 ",280
Connecticut,Total,EQIP IRA,Combustion System Improvement (372),2023,,,281
Connecticut,Total,EQIP IRA,Combustion System Improvement (372),Total,,,282
Connecticut,Total,EQIP IRA,Conservation Cover (327),2023,,,283
Connecticut,Total,EQIP IRA,Conservation Cover (327),Total,,,284
Connecticut,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),2023,,,285
Connecticut,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),Total,,,286
Connecticut,Total,EQIP IRA,Energy Efficient Building Envelope (672),2023,4,"$256,153 ",287
Connecticut,Total,EQIP IRA,Energy Efficient Building Envelope (672),Total,4,"$256,153 ",288
Connecticut,Total,EQIP IRA,Energy Efficient Lighting System (670),2023,,,289
Connecticut,Total,EQIP IRA,Energy Efficient Lighting System (670),Total,,,290
Connecticut,Total,EQIP IRA,Fence (382),2023,6,"$12,239 ",291
Connecticut,Total,EQIP IRA,Fence (382),Total,6,"$12,239 ",292
Connecticut,Total,EQIP IRA,Forest Stand Improvement (666),2023,20,"$232,412 ",293
Connecticut,Total,EQIP IRA,Forest Stand Improvement (666),Total,20,"$232,412 ",294
Connecticut,Total,EQIP IRA,Forest Trails and Landings (655),2023,8,"$22,780 ",295
Connecticut,Total,EQIP IRA,Forest Trails and Landings (655),Total,8,"$22,780 ",296
Connecticut,Total,EQIP IRA,Herbaceous Weed Treatment (315),2023,13,"$3,835 ",297
Connecticut,Total,EQIP IRA,Herbaceous Weed Treatment (315),Total,13,"$3,835 ",298
Connecticut,Total,EQIP IRA,Lined Waterway or Outlet (468),2023,,,299
Connecticut,Total,EQIP IRA,Lined Waterway or Outlet (468),Total,,,300
Connecticut,Total,EQIP IRA,Livestock Pipeline (516),2023,6,"$19,177 ",301
Connecticut,Total,EQIP IRA,Livestock Pipeline (516),Total,6,"$19,177 ",302
Connecticut,Total,EQIP IRA,Mulching (484),2023,,,303
Connecticut,Total,EQIP IRA,Mulching (484),Total,,,304
Connecticut,Total,EQIP IRA,Obstruction Removal (500),2023,,,305
Connecticut,Total,EQIP IRA,Obstruction Removal (500),Total,,,306
Connecticut,Total,EQIP IRA,Pasture and Hay Planting (512),2023,,,307
Connecticut,Total,EQIP IRA,Pasture and Hay Planting (512),Total,,,308
Connecticut,Total,EQIP IRA,Prescribed Grazing (528),2023,9,"$22,718 ",309
Connecticut,Total,EQIP IRA,Prescribed Grazing (528),Total,9,"$22,718 ",310
Connecticut,Total,EQIP IRA,Pumping Plant (533),2023,,,311
Connecticut,Total,EQIP IRA,Pumping Plant (533),Total,,,312
Connecticut,Total,EQIP IRA,Road/Trail/Landing Closure and Treatment (654),2023,11,"$83,725 ",313
Connecticut,Total,EQIP IRA,Road/Trail/Landing Closure and Treatment (654),Total,11,"$83,725 ",314
Connecticut,Total,EQIP IRA,Roof Runoff Structure (558),2023,,,315
Connecticut,Total,EQIP IRA,Roof Runoff Structure (558),Total,,,316
Connecticut,Total,EQIP IRA,Structures for Wildlife (649),2023,,,317
Connecticut,Total,EQIP IRA,Structures for Wildlife (649),Total,,,318
Connecticut,Total,EQIP IRA,Total,2023,171,"$1,125,108 ",319
Connecticut,Total,EQIP IRA,Total,Total,171,"$1,125,108 ",320
Connecticut,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,7,"$14,902 ",321
Connecticut,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,7,"$14,902 ",322
Connecticut,Total,EQIP IRA,Underground Outlet (620),2023,,,323
Connecticut,Total,EQIP IRA,Underground Outlet (620),Total,,,324
Connecticut,Total,EQIP IRA,Water Well (642),2023,,,325
Connecticut,Total,EQIP IRA,Water Well (642),Total,,,326
Connecticut,Total,EQIP IRA,Watering Facility (614),2023,7,"$4,496 ",327
Connecticut,Total,EQIP IRA,Watering Facility (614),Total,7,"$4,496 ",328
Connecticut,Total,EQIP IRA,Wildlife Habitat Planting (420),2023,,,329
Connecticut,Total,EQIP IRA,Wildlife Habitat Planting (420),Total,,,330
Delaware,Total,EQIP IRA,Conservation Cover (327),2023,,,331
Delaware,Total,EQIP IRA,Conservation Cover (327),Total,,,332
Delaware,Total,EQIP IRA,Cover Crop (340),2023,18,"$288,880 ",333
Delaware,Total,EQIP IRA,Cover Crop (340),Total,18,"$288,880 ",334
Delaware,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),2023,,,335
Delaware,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),Total,,,336
Delaware,Total,EQIP IRA,Energy Efficient Building Envelope (672),2023,,,338
Delaware,Total,EQIP IRA,Energy Efficient Building Envelope (672),2023,14,"$690,911 ",337
Delaware,Total,EQIP IRA,Energy Efficient Building Envelope (672),Total,,,340
Delaware,Total,EQIP IRA,Energy Efficient Building Envelope (672),Total,14,"$690,911 ",339
Delaware,Total,EQIP IRA,Energy Efficient Lighting System (670),2023,,,341
Delaware,Total,EQIP IRA,Energy Efficient Lighting System (670),Total,,,342
Delaware,Total,EQIP IRA,Fence (382),2023,12,"$56,307 ",343
Delaware,Total,EQIP IRA,Fence (382),2023,40,"$265,355 ",344
Delaware,Total,EQIP IRA,Fence (382),Total,12,"$56,307 ",345
Delaware,Total,EQIP IRA,Fence (382),Total,40,"$265,355 ",346
Delaware,Total,EQIP IRA,Firebreak (394),2023,5,"$13,148 ",347
Delaware,Total,EQIP IRA,Firebreak (394),Total,5,"$13,148 ",348
Delaware,Total,EQIP IRA,Heavy Use Area Protection (561),2023,9,"$38,673 ",349
Delaware,Total,EQIP IRA,Heavy Use Area Protection (561),2023,39,"$209,131 ",350
Delaware,Total,EQIP IRA,Heavy Use Area Protection (561),Total,9,"$38,673 ",351
Delaware,Total,EQIP IRA,Heavy Use Area Protection (561),Total,39,"$209,131 ",352
