STATE,COUNTY/CD,PROGRAM,PRACTICE NAME,FISCAL YEAR,PRACTICE INSTANCE COUNT,DOLLARS OBLIGATED,INDEX(),State
Alabama,Total,EQIP IRA,Irrigation Water Management (449),Total,,,48,(supp)
Alabama,Total,EQIP IRA,Lined Waterway or Outlet (468),2023,,,49,(supp)
Alabama,Total,EQIP IRA,Lined Waterway or Outlet (468),Total,,,50,(supp)
Alabama,Total,EQIP IRA,Livestock Pipeline (516),2023,31,"$76,415 ",51, 
Alabama,Total,EQIP IRA,Livestock Pipeline (516),2024,5,"$15,590 ",52, 
Alabama,Total,EQIP IRA,Livestock Pipeline (516),Total,36,"$92,005 ",53, 
Alabama,Total,EQIP IRA,Nutrient Management (590),2023,6,"$143,506 ",54, 
Alabama,Total,EQIP IRA,Nutrient Management (590),2024,124,"$5,196,147 ",55, 
Alabama,Total,EQIP IRA,Nutrient Management (590),Total,130,"$5,339,653 ",56, 
Alabama,Total,EQIP IRA,Pasture and Hay Planting (512),2023,66,"$582,264 ",57, 
Alabama,Total,EQIP IRA,Pasture and Hay Planting (512),2024,15,"$169,362 ",58, 
Alabama,Total,EQIP IRA,Pasture and Hay Planting (512),Total,81,"$751,626 ",59, 
Alabama,Total,EQIP IRA,Prescribed Burning (338),2023,,,60,(supp)
Alabama,Total,EQIP IRA,Prescribed Burning (338),2024,,,61,(supp)
Alabama,Total,EQIP IRA,Prescribed Burning (338),Total,8,"$15,380 ",62, 
Alabama,Total,EQIP IRA,Prescribed Grazing (528),2023,24,"$31,307 ",63, 
Alabama,Total,EQIP IRA,Prescribed Grazing (528),2024,5,"$3,825 ",64, 
Alabama,Total,EQIP IRA,Prescribed Grazing (528),Total,29,"$35,132 ",65, 
Alabama,Total,EQIP IRA,Pumping Plant (533),2023,7,"$21,653 ",66, 
Alabama,Total,EQIP IRA,Pumping Plant (533),2024,8,"$23,366 ",67, 
Alabama,Total,EQIP IRA,Pumping Plant (533),Total,15,"$45,019 ",68, 
Alabama,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",2023,12,"$71,540 ",69, 
Alabama,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",2024,145,"$1,317,260 ",70, 
Alabama,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",Total,157,"$1,388,800 ",71, 
Alabama,Total,EQIP IRA,Sprinkler System (442),2024,43,"$2,374,769 ",72, 
Alabama,Total,EQIP IRA,Sprinkler System (442),Total,43,"$2,374,769 ",73, 
Alabama,Total,EQIP IRA,Stream Crossing (578),2024,,,74,(supp)
Alabama,Total,EQIP IRA,Stream Crossing (578),Total,,,75,(supp)
Alabama,Total,EQIP IRA,Total,2023,342,"$2,820,677 ",76, 
Alabama,Total,EQIP IRA,Total,2024,633,"$17,761,137 ",77, 
Alabama,Total,EQIP IRA,Total,Total,975,"$20,581,814 ",78, 
Alabama,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,,,79,(supp)
Alabama,Total,EQIP IRA,Tree/Shrub Establishment (612),2024,,,80,(supp)
Alabama,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,12,"$74,055 ",81, 
Alabama,Total,EQIP IRA,Tree/Shrub Site Preparation (490),2023,,,82,(supp)
Alabama,Total,EQIP IRA,Tree/Shrub Site Preparation (490),2024,,,83,(supp)
Alabama,Total,EQIP IRA,Tree/Shrub Site Preparation (490),Total,9,"$58,371 ",84, 
Alabama,Total,EQIP IRA,Upland Wildlife Habitat Management (645),2023,,,85,(supp)
Alabama,Total,EQIP IRA,Upland Wildlife Habitat Management (645),Total,,,86,(supp)
Alabama,Total,EQIP IRA,Water Well (642),2023,6,"$51,438 ",87, 
Alabama,Total,EQIP IRA,Water Well (642),2024,8,"$77,217 ",88, 
Alabama,Total,EQIP IRA,Water Well (642),Total,14,"$128,655 ",89, 
Alabama,Total,EQIP IRA,Watering Facility (614),2023,28,"$39,249 ",90, 
Alabama,Total,EQIP IRA,Watering Facility (614),2024,5,"$9,514 ",91, 
Alabama,Total,EQIP IRA,Watering Facility (614),Total,33,"$48,763 ",92, 
Alaska,Total,EQIP IRA,Forest Stand Improvement (666),2023,16,"$423,356 ",93, 
Alaska,Total,EQIP IRA,Forest Stand Improvement (666),Total,16,"$423,356 ",94, 
Alaska,Total,EQIP IRA,Total,2023,32,"$1,857,813 ",95, 
Alaska,Total,EQIP IRA,Total,Total,32,"$1,857,813 ",96, 
Alaska,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,16,"$1,434,457 ",97, 
Alaska,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,16,"$1,434,457 ",98, 
Arizona,Total,EQIP IRA,Brush Management (314),2023,23,"$336,760 ",99, 
Arizona,Total,EQIP IRA,Brush Management (314),2024,5,"$541,767 ",100, 
Arizona,Total,EQIP IRA,Brush Management (314),Total,28,"$878,527 ",101, 
Arizona,Total,EQIP IRA,Conservation Cover (327),2023,,,102,(supp)
Arizona,Total,EQIP IRA,Conservation Cover (327),Total,,,103,(supp)
Arizona,Total,EQIP IRA,Conservation Crop Rotation (328),2023,,,104,(supp)
Arizona,Total,EQIP IRA,Conservation Crop Rotation (328),Total,,,105,(supp)
Arizona,Total,EQIP IRA,Cover Crop (340),2023,17,"$48,365 ",106, 
Arizona,Total,EQIP IRA,Cover Crop (340),2024,52,"$797,646 ",107, 
Arizona,Total,EQIP IRA,Cover Crop (340),Total,69,"$846,011 ",108, 
Arizona,Total,EQIP IRA,Fence (382),2023,15,"$206,703 ",109, 
Arizona,Total,EQIP IRA,Fence (382),Total,15,"$206,703 ",110, 
Arizona,Total,EQIP IRA,Forest Stand Improvement (666),2023,10,"$250,299 ",111, 
Arizona,Total,EQIP IRA,Forest Stand Improvement (666),Total,10,"$250,299 ",112, 
Arizona,Total,EQIP IRA,Irrigation Pipeline (430),2023,,,113,(supp)
Arizona,Total,EQIP IRA,Irrigation Pipeline (430),Total,,,114,(supp)
Arizona,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",2023,,,115,(supp)
Arizona,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",Total,,,116,(supp)
Arizona,Total,EQIP IRA,Irrigation Water Management (449),2023,5,"$3,265 ",117, 
Arizona,Total,EQIP IRA,Irrigation Water Management (449),Total,5,"$3,265 ",118, 
Arizona,Total,EQIP IRA,Livestock Pipeline (516),2023,14,"$147,156 ",119, 
Arizona,Total,EQIP IRA,Livestock Pipeline (516),Total,14,"$147,156 ",120, 
Arizona,Total,EQIP IRA,Mulching (484),2023,,,121,(supp)
Arizona,Total,EQIP IRA,Mulching (484),Total,,,122,(supp)
Arizona,Total,EQIP IRA,Prescribed Grazing (528),2023,11,"$108,096 ",123, 
Arizona,Total,EQIP IRA,Prescribed Grazing (528),Total,11,"$108,096 ",124, 
Arizona,Total,EQIP IRA,Pumping Plant (533),2023,11,"$73,413 ",125, 
Arizona,Total,EQIP IRA,Pumping Plant (533),Total,11,"$73,413 ",126, 
Arizona,Total,EQIP IRA,Range Planting (550),2023,16,"$12,136 ",127, 
Arizona,Total,EQIP IRA,Range Planting (550),Total,16,"$12,136 ",128, 
Arizona,Total,EQIP IRA,Sprinkler System (442),2023,,,129,(supp)
Arizona,Total,EQIP IRA,Sprinkler System (442),Total,,,130,(supp)
Arizona,Total,EQIP IRA,Structure for Water Control (587),2023,,,131,(supp)
Arizona,Total,EQIP IRA,Structure for Water Control (587),Total,,,132,(supp)
Arizona,Total,EQIP IRA,Total,2023,183,"$1,807,882 ",133, 
Arizona,Total,EQIP IRA,Total,2024,57,"$1,339,413 ",134, 
Arizona,Total,EQIP IRA,Total,Total,240,"$3,147,295 ",135, 
Arizona,Total,EQIP IRA,Upland Wildlife Habitat Management (645),2023,,,136,(supp)
Arizona,Total,EQIP IRA,Upland Wildlife Habitat Management (645),Total,,,137,(supp)
Arizona,Total,EQIP IRA,Water Well (642),2023,,,138,(supp)
Arizona,Total,EQIP IRA,Water Well (642),Total,,,139,(supp)
Arizona,Total,EQIP IRA,Watering Facility (614),2023,28,"$144,170 ",140, 
Arizona,Total,EQIP IRA,Watering Facility (614),Total,28,"$144,170 ",141, 
Arizona,Total,EQIP IRA,Woody Residue Treatment (384),2023,,,142,(supp)
Arizona,Total,EQIP IRA,Woody Residue Treatment (384),Total,,,143,(supp)
Arkansas,Total,EQIP IRA,Animal Mortality Facility (316),2024,,,144,(supp)
Arkansas,Total,EQIP IRA,Animal Mortality Facility (316),Total,,,145,(supp)
Arkansas,Total,EQIP IRA,Conservation Crop Rotation (328),2023,143,"$310,627 ",146, 
Arkansas,Total,EQIP IRA,Conservation Crop Rotation (328),2024,169,"$553,553 ",147, 
Arkansas,Total,EQIP IRA,Conservation Crop Rotation (328),Total,312,"$864,180 ",148, 
Arkansas,Total,EQIP IRA,Cover Crop (340),2023,175,"$2,499,458 ",149, 
Arkansas,Total,EQIP IRA,Cover Crop (340),2024,184,"$3,874,880 ",150, 
Arkansas,Total,EQIP IRA,Cover Crop (340),Total,359,"$6,374,338 ",151, 
Arkansas,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),2024,139,"$1,904,028 ",152, 
Arkansas,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),Total,139,"$1,904,028 ",153, 
Arkansas,Total,EQIP IRA,Energy Efficient Building Envelope (672),2024,162,"$3,404,620 ",154, 
Arkansas,Total,EQIP IRA,Energy Efficient Building Envelope (672),Total,162,"$3,404,620 ",155, 
Arkansas,Total,EQIP IRA,Energy Efficient Lighting System (670),2024,54,"$61,723 ",156, 
Arkansas,Total,EQIP IRA,Energy Efficient Lighting System (670),Total,54,"$61,723 ",157, 
Arkansas,Total,EQIP IRA,Heavy Use Area Protection (561),2024,,,158,(supp)
Arkansas,Total,EQIP IRA,Heavy Use Area Protection (561),Total,,,159,(supp)
Arkansas,Total,EQIP IRA,Nutrient Management (590),2023,168,"$1,276,160 ",160, 
Arkansas,Total,EQIP IRA,Nutrient Management (590),2024,172,"$1,412,967 ",161, 
Arkansas,Total,EQIP IRA,Nutrient Management (590),Total,340,"$2,689,127 ",162, 
Arkansas,Total,EQIP IRA,Pest Management Conservation System (595),2024,12,"$56,400 ",163, 
Arkansas,Total,EQIP IRA,Pest Management Conservation System (595),Total,12,"$56,400 ",164, 
Arkansas,Total,EQIP IRA,Pumping Plant (533),2024,10,"$122,893 ",165, 
Arkansas,Total,EQIP IRA,Pumping Plant (533),Total,10,"$122,893 ",166, 
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, No Till (329)",2023,104,"$333,167 ",167, 
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, No Till (329)",2024,24,"$111,325 ",168, 
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, No Till (329)",Total,128,"$444,492 ",169, 
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",2023,67,"$298,185 ",170, 
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",2024,164,"$925,673 ",171, 
Arkansas,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",Total,231,"$1,223,858 ",172, 
Arkansas,Total,EQIP IRA,Roofs and Covers (367),2024,,,173,(supp)
Arkansas,Total,EQIP IRA,Roofs and Covers (367),Total,,,174,(supp)
Arkansas,Total,EQIP IRA,Soil Carbon Amendment (336),2024,6,"$47,712 ",175, 
Arkansas,Total,EQIP IRA,Soil Carbon Amendment (336),Total,6,"$47,712 ",176, 
Arkansas,Total,EQIP IRA,Total,2023,657,"$4,717,596 ",177, 
Arkansas,Total,EQIP IRA,Total,2024,"1,104","$12,637,388 ",178, 
Arkansas,Total,EQIP IRA,Total,Total,"1,761","$17,354,983 ",179, 
Arkansas,Total,EQIP IRA,Waste Storage Facility (313),2024,,,180,(supp)
Arkansas,Total,EQIP IRA,Waste Storage Facility (313),Total,,,181,(supp)
California,Total,EQIP IRA,Access Road (560),2023,19,"$108,427 ",182, 
California,Total,EQIP IRA,Access Road (560),Total,19,"$108,427 ",183, 
California,Total,EQIP IRA,Anaerobic Digester (366),2024,,,184,(supp)
California,Total,EQIP IRA,Anaerobic Digester (366),Total,,,185,(supp)
California,Total,EQIP IRA,Brush Management (314),2023,126,"$341,517 ",186, 
California,Total,EQIP IRA,Brush Management (314),2024,9,"$32,301 ",187, 
California,Total,EQIP IRA,Brush Management (314),Total,135,"$373,818 ",188, 
California,Total,EQIP IRA,Combustion System Improvement (372),2023,,,189,(supp)
California,Total,EQIP IRA,Combustion System Improvement (372),2024,,,190,(supp)
California,Total,EQIP IRA,Combustion System Improvement (372),Total,19,"$1,254,398 ",191, 
California,Total,EQIP IRA,Conservation Cover (327),2023,,,192,(supp)
California,Total,EQIP IRA,Conservation Cover (327),2024,,,193,(supp)
California,Total,EQIP IRA,Conservation Cover (327),Total,13,"$27,470 ",194, 
California,Total,EQIP IRA,Cover Crop (340),2023,,,195,(supp)
California,Total,EQIP IRA,Cover Crop (340),2024,,,196,(supp)
California,Total,EQIP IRA,Cover Crop (340),Total,28,"$56,994 ",197, 
California,Total,EQIP IRA,Critical Area Planting (342),2023,,,198,(supp)
California,Total,EQIP IRA,Critical Area Planting (342),Total,,,199,(supp)
California,Total,EQIP IRA,Fence (382),2023,7,"$81,197 ",200, 
California,Total,EQIP IRA,Fence (382),2024,12,"$158,813 ",201, 
California,Total,EQIP IRA,Fence (382),Total,19,"$240,010 ",202, 
California,Total,EQIP IRA,Field Operations Emissions Reduction (376),2024,5,"$172,048 ",203, 
California,Total,EQIP IRA,Field Operations Emissions Reduction (376),Total,5,"$172,048 ",204, 
California,Total,EQIP IRA,Firebreak (394),2023,,,205,(supp)
California,Total,EQIP IRA,Firebreak (394),Total,,,206,(supp)
California,Total,EQIP IRA,Forest Stand Improvement (666),2023,313,"$3,832,654 ",207, 
California,Total,EQIP IRA,Forest Stand Improvement (666),2024,27,"$189,993 ",208, 
California,Total,EQIP IRA,Forest Stand Improvement (666),Total,340,"$4,022,647 ",209, 
California,Total,EQIP IRA,Forest Trails and Landings (655),2023,,,210,(supp)
California,Total,EQIP IRA,Forest Trails and Landings (655),Total,,,211,(supp)
California,Total,EQIP IRA,Fuel Break (383),2023,,,212,(supp)
California,Total,EQIP IRA,Fuel Break (383),2024,,,213,(supp)
California,Total,EQIP IRA,Fuel Break (383),Total,7,"$112,743 ",214, 
California,Total,EQIP IRA,Heavy Use Area Protection (561),2024,,,215,(supp)
California,Total,EQIP IRA,Heavy Use Area Protection (561),Total,,,216,(supp)
California,Total,EQIP IRA,Herbaceous Weed Treatment (315),2023,,,217,(supp)
California,Total,EQIP IRA,Herbaceous Weed Treatment (315),2024,,,218,(supp)
California,Total,EQIP IRA,Herbaceous Weed Treatment (315),Total,8,"$30,916 ",219, 
California,Total,EQIP IRA,Irrigation Pipeline (430),2024,,,220,(supp)
California,Total,EQIP IRA,Irrigation Pipeline (430),Total,,,221,(supp)
California,Total,EQIP IRA,Lined Waterway or Outlet (468),2023,,,222,(supp)
California,Total,EQIP IRA,Lined Waterway or Outlet (468),Total,,,223,(supp)
California,Total,EQIP IRA,Livestock Pipeline (516),2023,,,224,(supp)
California,Total,EQIP IRA,Livestock Pipeline (516),2024,,,225,(supp)
California,Total,EQIP IRA,Livestock Pipeline (516),Total,7,"$65,317 ",226, 
California,Total,EQIP IRA,Mulching (484),2023,5,"$11,931 ",227, 
California,Total,EQIP IRA,Mulching (484),Total,5,"$11,931 ",228, 
California,Total,EQIP IRA,Obstruction Removal (500),2023,,,229,(supp)
California,Total,EQIP IRA,Obstruction Removal (500),2024,,,230,(supp)
California,Total,EQIP IRA,Obstruction Removal (500),Total,,,231,(supp)
California,Total,EQIP IRA,Pasture and Hay Planting (512),2024,7,"$19,376 ",232, 
California,Total,EQIP IRA,Pasture and Hay Planting (512),Total,7,"$19,376 ",233, 
California,Total,EQIP IRA,"Pond Sealing or Lining, Geomembrane or Geosynthetic Clay Liner (521)",2024,,,234,(supp)
California,Total,EQIP IRA,"Pond Sealing or Lining, Geomembrane or Geosynthetic Clay Liner (521)",Total,,,235,(supp)
California,Total,EQIP IRA,Prescribed Burning (338),2023,,,236,(supp)
California,Total,EQIP IRA,Prescribed Burning (338),Total,,,237,(supp)
California,Total,EQIP IRA,Prescribed Grazing (528),2023,,,238,(supp)
California,Total,EQIP IRA,Prescribed Grazing (528),2024,,,239,(supp)
California,Total,EQIP IRA,Prescribed Grazing (528),Total,15,"$50,858 ",240, 
California,Total,EQIP IRA,Pumping Plant (533),2024,9,"$90,345 ",241, 
California,Total,EQIP IRA,Pumping Plant (533),Total,9,"$90,345 ",242, 
California,Total,EQIP IRA,Range Planting (550),2024,,,243,(supp)
California,Total,EQIP IRA,Range Planting (550),Total,,,244,(supp)
California,Total,EQIP IRA,Riparian Forest Buffer (391),2023,,,245,(supp)
California,Total,EQIP IRA,Riparian Forest Buffer (391),Total,,,246,(supp)
California,Total,EQIP IRA,Riparian Herbaceous Cover (390),2023,,,247,(supp)
California,Total,EQIP IRA,Riparian Herbaceous Cover (390),Total,,,248,(supp)
California,Total,EQIP IRA,Roofs and Covers (367),2024,,,249,(supp)
California,Total,EQIP IRA,Roofs and Covers (367),Total,,,250,(supp)
California,Total,EQIP IRA,Soil Carbon Amendment (336),2024,11,"$142,125 ",251, 
California,Total,EQIP IRA,Soil Carbon Amendment (336),Total,11,"$142,125 ",252, 
California,Total,EQIP IRA,Spring Development (574),2023,,,253,(supp)
California,Total,EQIP IRA,Spring Development (574),Total,,,254,(supp)
California,Total,EQIP IRA,Structure for Water Control (587),2023,,,255,(supp)
California,Total,EQIP IRA,Structure for Water Control (587),2024,,,256,(supp)
California,Total,EQIP IRA,Structure for Water Control (587),Total,20,"$68,589 ",257, 
California,Total,EQIP IRA,Structures for Wildlife (649),2023,4,"$1,962 ",258, 
California,Total,EQIP IRA,Structures for Wildlife (649),Total,4,"$1,962 ",259, 
California,Total,EQIP IRA,Total,2023,"1,115","$7,830,899 ",260, 
California,Total,EQIP IRA,Total,2024,219,"$2,815,993 ",261, 
California,Total,EQIP IRA,Total,Total,"1,334","$10,646,893 ",262, 
California,Total,EQIP IRA,Tree-Shrub Pruning (660),2023,,,263,(supp)
California,Total,EQIP IRA,Tree-Shrub Pruning (660),2024,,,264,(supp)
California,Total,EQIP IRA,Tree-Shrub Pruning (660),Total,172,"$437,657 ",265, 
California,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,51,"$213,626 ",266, 
California,Total,EQIP IRA,Tree/Shrub Establishment (612),2024,4,"$5,278 ",267, 
California,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,55,"$218,904 ",268, 
California,Total,EQIP IRA,Tree/Shrub Site Preparation (490),2023,40,"$113,384 ",269, 
California,Total,EQIP IRA,Tree/Shrub Site Preparation (490),2024,4,"$5,693 ",270, 
California,Total,EQIP IRA,Tree/Shrub Site Preparation (490),Total,44,"$119,077 ",271, 
California,Total,EQIP IRA,Upland Wildlife Habitat Management (645),2023,15,"$6,916 ",272, 
California,Total,EQIP IRA,Upland Wildlife Habitat Management (645),Total,15,"$6,916 ",273, 
California,Total,EQIP IRA,Waste Separation Facility (632),2024,,,274,(supp)
California,Total,EQIP IRA,Waste Separation Facility (632),Total,,,275,(supp)
California,Total,EQIP IRA,Waste Storage Facility (313),2024,,,276,(supp)
California,Total,EQIP IRA,Waste Storage Facility (313),Total,,,277,(supp)
California,Total,EQIP IRA,Waste Transfer (634),2024,,,278,(supp)
California,Total,EQIP IRA,Waste Transfer (634),Total,,,279,(supp)
California,Total,EQIP IRA,Watering Facility (614),2023,,,280,(supp)
California,Total,EQIP IRA,Watering Facility (614),2024,,,281,(supp)
California,Total,EQIP IRA,Watering Facility (614),Total,18,"$189,798 ",282, 
California,Total,EQIP IRA,Wildlife Habitat Planting (420),2023,,,283,(supp)
California,Total,EQIP IRA,Wildlife Habitat Planting (420),2024,,,284,(supp)
California,Total,EQIP IRA,Wildlife Habitat Planting (420),Total,,,285,(supp)
California,Total,EQIP IRA,Woody Residue Treatment (384),2023,298,"$1,150,214 ",286, 
California,Total,EQIP IRA,Woody Residue Treatment (384),2024,29,"$55,155 ",287, 
California,Total,EQIP IRA,Woody Residue Treatment (384),Total,327,"$1,205,369 ",288, 
Colorado,Total,EQIP IRA,Aquatic Organism Passage (396),2024,,,289,(supp)
Colorado,Total,EQIP IRA,Aquatic Organism Passage (396),Total,,,290,(supp)
Colorado,Total,EQIP IRA,Conservation Cover (327),2023,5,"$160,811 ",291, 
Colorado,Total,EQIP IRA,Conservation Cover (327),Total,5,"$160,811 ",292, 
Colorado,Total,EQIP IRA,Cover Crop (340),2023,70,"$857,172 ",293, 
Colorado,Total,EQIP IRA,Cover Crop (340),2024,339,"$5,319,242 ",294, 
Colorado,Total,EQIP IRA,Cover Crop (340),Total,409,"$6,176,414 ",295, 
Colorado,Total,EQIP IRA,Critical Area Planting (342),2023,8,"$17,010 ",296, 
Colorado,Total,EQIP IRA,Critical Area Planting (342),2024,14,"$23,780 ",297, 
Colorado,Total,EQIP IRA,Critical Area Planting (342),Total,22,"$40,790 ",298, 
Colorado,Total,EQIP IRA,Fence (382),2023,,,299,(supp)
Colorado,Total,EQIP IRA,Fence (382),2024,,,300,(supp)
Colorado,Total,EQIP IRA,Fence (382),Total,4,"$37,693 ",301, 
Colorado,Total,EQIP IRA,Forest Stand Improvement (666),2023,44,"$1,243,808 ",302, 
Colorado,Total,EQIP IRA,Forest Stand Improvement (666),2024,151,"$2,850,308 ",303, 
Colorado,Total,EQIP IRA,Forest Stand Improvement (666),Total,195,"$4,094,116 ",304, 
Colorado,Total,EQIP IRA,Herbaceous Weed Treatment (315),2023,54,"$68,695 ",305, 
Colorado,Total,EQIP IRA,Herbaceous Weed Treatment (315),2024,54,"$109,339 ",306, 
Colorado,Total,EQIP IRA,Herbaceous Weed Treatment (315),Total,108,"$178,034 ",307, 
Colorado,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",2023,,,308,(supp)
Colorado,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",Total,,,309,(supp)
Colorado,Total,EQIP IRA,Livestock Pipeline (516),2023,,,310,(supp)
Colorado,Total,EQIP IRA,Livestock Pipeline (516),2024,,,311,(supp)
Colorado,Total,EQIP IRA,Livestock Pipeline (516),Total,,,312,(supp)
Colorado,Total,EQIP IRA,Obstruction Removal (500),2024,,,313,(supp)
Colorado,Total,EQIP IRA,Obstruction Removal (500),Total,,,314,(supp)
Colorado,Total,EQIP IRA,Prescribed Grazing (528),2024,,,315,(supp)
Colorado,Total,EQIP IRA,Prescribed Grazing (528),Total,,,316,(supp)
Colorado,Total,EQIP IRA,Pumping Plant (533),2023,,,317,(supp)
Colorado,Total,EQIP IRA,Pumping Plant (533),2024,,,318,(supp)
Colorado,Total,EQIP IRA,Pumping Plant (533),Total,,,319,(supp)
Colorado,Total,EQIP IRA,Restoration of Rare or Declining Natural Communities (643),2024,,,320,(supp)
Colorado,Total,EQIP IRA,Restoration of Rare or Declining Natural Communities (643),Total,,,321,(supp)
Colorado,Total,EQIP IRA,Riparian Herbaceous Cover (390),2024,,,322,(supp)
Colorado,Total,EQIP IRA,Riparian Herbaceous Cover (390),Total,,,323,(supp)
Colorado,Total,EQIP IRA,Total,2023,249,"$2,793,062 ",324, 
Colorado,Total,EQIP IRA,Total,2024,738,"$9,637,590 ",325, 
Colorado,Total,EQIP IRA,Total,Total,987,"$12,430,652 ",326, 
Colorado,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,,,327,(supp)
Colorado,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,,,328,(supp)
