Pay_year,state_code,State,category_code,category_code_num,category_name,payments
2018,6,California,13 Other 2 - improvement,13,Other 2 - improvement,2194314.9
2018,8,Colorado,4 Conservation planning assessment,4,Conservation planning assessment,8929.78
2018,8,Colorado,6 Other 1 - planning,6,Other 1 - planning,22435.53
2018,8,Colorado,7 Structural,7,Structural,20510579.17
2018,8,Colorado,8 Land management,8,Land management,3247434.92
2018,8,Colorado,9 Vegetative,9,Vegetative,1735912.6
2018,8,Colorado,10 Forest management,10,Forest management,2645260.02
2018,8,Colorado,12 Soil remediation,12,Soil remediation,79061.06
2018,8,Colorado,13 Other 2 - improvement,13,Other 2 - improvement,303169.54
2018,9,Connecticut,4 Conservation planning assessment,4,Conservation planning assessment,55160.42
2018,9,Connecticut,6 Other 1 - planning,6,Other 1 - planning,49782.16
2018,9,Connecticut,7 Structural,7,Structural,840288.74
2018,9,Connecticut,8 Land management,8,Land management,687430.46
2018,9,Connecticut,9 Vegetative,9,Vegetative,197600.36
2018,9,Connecticut,10 Forest management,10,Forest management,254322.59
2018,9,Connecticut,12 Soil remediation,12,Soil remediation,199.63
2018,9,Connecticut,13 Other 2 - improvement,13,Other 2 - improvement,391683.87
2018,10,Delaware,6 Other 1 - planning,6,Other 1 - planning,166787.56
2018,10,Delaware,7 Structural,7,Structural,4133242.22
2018,10,Delaware,8 Land management,8,Land management,1425706.84
2018,10,Delaware,9 Vegetative,9,Vegetative,1278384.8
2018,10,Delaware,10 Forest management,10,Forest management,61244.04
2018,10,Delaware,12 Soil remediation,12,Soil remediation,271402.85
2018,10,Delaware,13 Other 2 - improvement,13,Other 2 - improvement,383563.81
2018,12,Florida,4 Conservation planning assessment,4,Conservation planning assessment,8691.21
2018,12,Florida,6 Other 1 - planning,6,Other 1 - planning,20950.59
2018,12,Florida,7 Structural,7,Structural,4190899.15
2018,12,Florida,8 Land management,8,Land management,4597732.77
2018,12,Florida,9 Vegetative,9,Vegetative,1201597.32
2018,12,Florida,10 Forest management,10,Forest management,1799905.32
2018,12,Florida,12 Soil remediation,12,Soil remediation,100166.21
2018,12,Florida,13 Other 2 - improvement,13,Other 2 - improvement,1088537.26
2018,13,Georgia,6 Other 1 - planning,6,Other 1 - planning,143222.97
2018,13,Georgia,7 Structural,7,Structural,11510930.8
2018,13,Georgia,8 Land management,8,Land management,5847836.85
2018,13,Georgia,9 Vegetative,9,Vegetative,2979434.92
2018,13,Georgia,10 Forest management,10,Forest management,7008162.64
2018,13,Georgia,12 Soil remediation,12,Soil remediation,156758.09
2018,13,Georgia,13 Other 2 - improvement,13,Other 2 - improvement,1202254.12
2018,15,Hawaii,6 Other 1 - planning,6,Other 1 - planning,21332.15
2018,15,Hawaii,7 Structural,7,Structural,987646.78
2018,15,Hawaii,8 Land management,8,Land management,2559816.31
2018,15,Hawaii,9 Vegetative,9,Vegetative,171895.72
2018,15,Hawaii,10 Forest management,10,Forest management,395765.48
2018,15,Hawaii,12 Soil remediation,12,Soil remediation,737.47
2018,15,Hawaii,13 Other 2 - improvement,13,Other 2 - improvement,6122.13
2018,16,Idaho,6 Other 1 - planning,6,Other 1 - planning,48743.47
2018,16,Idaho,7 Structural,7,Structural,8011831.07
2018,16,Idaho,8 Land management,8,Land management,2120473.89
2018,16,Idaho,9 Vegetative,9,Vegetative,871921.72
2018,16,Idaho,10 Forest management,10,Forest management,671710.4
2018,16,Idaho,12 Soil remediation,12,Soil remediation,476072.97
2018,16,Idaho,13 Other 2 - improvement,13,Other 2 - improvement,269257.91
2018,17,Illinois,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,1672.43
2018,17,Illinois,4 Conservation planning assessment,4,Conservation planning assessment,136026.51
2018,17,Illinois,6 Other 1 - planning,6,Other 1 - planning,110255.82
2018,17,Illinois,7 Structural,7,Structural,7025248.14
2018,17,Illinois,8 Land management,8,Land management,2032943.7
2018,17,Illinois,9 Vegetative,9,Vegetative,1244617.76
2018,17,Illinois,10 Forest management,10,Forest management,241546.39
2018,17,Illinois,12 Soil remediation,12,Soil remediation,39662.05
2018,17,Illinois,13 Other 2 - improvement,13,Other 2 - improvement,63006.47
2018,18,Indiana,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,102979.85
2018,18,Indiana,4 Conservation planning assessment,4,Conservation planning assessment,205875.06
2018,18,Indiana,6 Other 1 - planning,6,Other 1 - planning,217129.06
2018,18,Indiana,7 Structural,7,Structural,6029436.32
2018,18,Indiana,8 Land management,8,Land management,2771600.98
2018,18,Indiana,9 Vegetative,9,Vegetative,8386688.48
2018,18,Indiana,10 Forest management,10,Forest management,1008549.07
2018,18,Indiana,12 Soil remediation,12,Soil remediation,841316.23
2018,18,Indiana,13 Other 2 - improvement,13,Other 2 - improvement,307368.65
2018,19,Iowa,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,45968.58
2018,19,Iowa,4 Conservation planning assessment,4,Conservation planning assessment,105492.34
2018,19,Iowa,6 Other 1 - planning,6,Other 1 - planning,95452.72
2018,19,Iowa,7 Structural,7,Structural,7879508.23
2018,19,Iowa,8 Land management,8,Land management,2455856.66
2018,19,Iowa,9 Vegetative,9,Vegetative,5080183.81
2018,19,Iowa,10 Forest management,10,Forest management,71440.6
2018,19,Iowa,12 Soil remediation,12,Soil remediation,319317.79
2018,19,Iowa,13 Other 2 - improvement,13,Other 2 - improvement,1450278.61
2018,20,Kansas,6 Other 1 - planning,6,Other 1 - planning,4457.61
2018,20,Kansas,7 Structural,7,Structural,14267722.62
2018,20,Kansas,8 Land management,8,Land management,3989229.3
2018,20,Kansas,9 Vegetative,9,Vegetative,6195599.73
2018,20,Kansas,10 Forest management,10,Forest management,863366.17
2018,20,Kansas,12 Soil remediation,12,Soil remediation,248628.82
2018,20,Kansas,13 Other 2 - improvement,13,Other 2 - improvement,66109.06
2018,21,Kentucky,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,5745.65
2018,21,Kentucky,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,8250.63
2018,21,Kentucky,4 Conservation planning assessment,4,Conservation planning assessment,75913.51
2018,21,Kentucky,6 Other 1 - planning,6,Other 1 - planning,179715.24
2018,21,Kentucky,7 Structural,7,Structural,4728956.32
2018,21,Kentucky,8 Land management,8,Land management,2887365.53
2018,21,Kentucky,9 Vegetative,9,Vegetative,1546810.06
2018,21,Kentucky,10 Forest management,10,Forest management,762261.75
2018,21,Kentucky,12 Soil remediation,12,Soil remediation,43708.2
2018,21,Kentucky,13 Other 2 - improvement,13,Other 2 - improvement,1004684.5
2018,22,Louisiana,6 Other 1 - planning,6,Other 1 - planning,14946.81
2018,22,Louisiana,7 Structural,7,Structural,5518920.51
2018,22,Louisiana,8 Land management,8,Land management,7190531.58
2018,22,Louisiana,9 Vegetative,9,Vegetative,3316949.8
2018,22,Louisiana,10 Forest management,10,Forest management,1505553.12
2018,22,Louisiana,12 Soil remediation,12,Soil remediation,161209.31
2018,22,Louisiana,13 Other 2 - improvement,13,Other 2 - improvement,368097.3
2018,23,Maine,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,2730.24
2018,23,Maine,4 Conservation planning assessment,4,Conservation planning assessment,285362.47
2018,23,Maine,6 Other 1 - planning,6,Other 1 - planning,270018.65
2018,23,Maine,7 Structural,7,Structural,5804013.13
2018,23,Maine,8 Land management,8,Land management,2243094.97
2018,23,Maine,9 Vegetative,9,Vegetative,562947.06
2018,23,Maine,10 Forest management,10,Forest management,612430.84
2018,23,Maine,12 Soil remediation,12,Soil remediation,33300.58
2018,23,Maine,13 Other 2 - improvement,13,Other 2 - improvement,116901.49
2018,24,Maryland,4 Conservation planning assessment,4,Conservation planning assessment,17951.45
2018,24,Maryland,6 Other 1 - planning,6,Other 1 - planning,41451.63
2018,24,Maryland,7 Structural,7,Structural,4093587.92
2018,24,Maryland,8 Land management,8,Land management,3324070.61
2018,24,Maryland,9 Vegetative,9,Vegetative,290559.33
2018,24,Maryland,10 Forest management,10,Forest management,125324.05
2018,24,Maryland,12 Soil remediation,12,Soil remediation,251613.71
2018,24,Maryland,13 Other 2 - improvement,13,Other 2 - improvement,503599.65
2018,25,Massachusetts,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,448.8
2018,25,Massachusetts,4 Conservation planning assessment,4,Conservation planning assessment,30504.37
2018,25,Massachusetts,6 Other 1 - planning,6,Other 1 - planning,78236.39
2018,25,Massachusetts,7 Structural,7,Structural,2396204.75
2018,25,Massachusetts,8 Land management,8,Land management,715298.48
2018,25,Massachusetts,9 Vegetative,9,Vegetative,405390.38
2018,25,Massachusetts,10 Forest management,10,Forest management,146665
2018,25,Massachusetts,12 Soil remediation,12,Soil remediation,25393.54
2018,25,Massachusetts,13 Other 2 - improvement,13,Other 2 - improvement,358589.32
2018,26,Michigan,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,12284.09
2018,26,Michigan,4 Conservation planning assessment,4,Conservation planning assessment,244963.02
2018,26,Michigan,6 Other 1 - planning,6,Other 1 - planning,515168
2018,26,Michigan,7 Structural,7,Structural,5532670.1
2018,26,Michigan,8 Land management,8,Land management,1637861.78
2018,26,Michigan,9 Vegetative,9,Vegetative,2463035.81
2018,26,Michigan,10 Forest management,10,Forest management,454571.34
2018,26,Michigan,12 Soil remediation,12,Soil remediation,199092.98
2018,26,Michigan,13 Other 2 - improvement,13,Other 2 - improvement,927371.03
2018,27,Minnesota,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,35269.36
2018,27,Minnesota,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,4084.24
2018,27,Minnesota,4 Conservation planning assessment,4,Conservation planning assessment,261567.17
2018,27,Minnesota,6 Other 1 - planning,6,Other 1 - planning,197668.16
2018,27,Minnesota,7 Structural,7,Structural,8305808.27
2018,27,Minnesota,8 Land management,8,Land management,3370822.78
2018,27,Minnesota,9 Vegetative,9,Vegetative,7036615.34
2018,27,Minnesota,10 Forest management,10,Forest management,382411.69
2018,27,Minnesota,12 Soil remediation,12,Soil remediation,239640.61
2018,27,Minnesota,13 Other 2 - improvement,13,Other 2 - improvement,175438.6
2018,28,Mississippi,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,37556.76
2018,28,Mississippi,6 Other 1 - planning,6,Other 1 - planning,235234.83
2018,28,Mississippi,7 Structural,7,Structural,19386447.55
2018,28,Mississippi,8 Land management,8,Land management,14229190.32
2018,28,Mississippi,9 Vegetative,9,Vegetative,3257320.18
2018,28,Mississippi,10 Forest management,10,Forest management,2277141.8
2018,28,Mississippi,12 Soil remediation,12,Soil remediation,134474.58
2018,28,Mississippi,13 Other 2 - improvement,13,Other 2 - improvement,1841111.95
2018,29,Missouri,4 Conservation planning assessment,4,Conservation planning assessment,242949.76
2018,29,Missouri,6 Other 1 - planning,6,Other 1 - planning,251855.85
2018,29,Missouri,7 Structural,7,Structural,10562471.78
2018,29,Missouri,8 Land management,8,Land management,3962737.83
2018,29,Missouri,9 Vegetative,9,Vegetative,6188590.5
2018,29,Missouri,10 Forest management,10,Forest management,691653.07
2018,29,Missouri,12 Soil remediation,12,Soil remediation,52104.18
2018,29,Missouri,13 Other 2 - improvement,13,Other 2 - improvement,1710715.1
2018,30,Montana,6 Other 1 - planning,6,Other 1 - planning,21015.73
2018,30,Montana,7 Structural,7,Structural,7433489.11
2018,30,Montana,8 Land management,8,Land management,4824400.89
2018,30,Montana,9 Vegetative,9,Vegetative,938257.99
2018,30,Montana,10 Forest management,10,Forest management,1355867.74
2018,30,Montana,12 Soil remediation,12,Soil remediation,77394.85
2018,30,Montana,13 Other 2 - improvement,13,Other 2 - improvement,82147.22
2018,31,Nebraska,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,2754.38
2018,31,Nebraska,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,19249.03
2018,31,Nebraska,4 Conservation planning assessment,4,Conservation planning assessment,34948.82
2018,31,Nebraska,6 Other 1 - planning,6,Other 1 - planning,4266.43
2018,31,Nebraska,7 Structural,7,Structural,13501673.66
2018,31,Nebraska,8 Land management,8,Land management,3208697.6
2018,31,Nebraska,9 Vegetative,9,Vegetative,5621622.23
2018,31,Nebraska,10 Forest management,10,Forest management,429802.79
2018,31,Nebraska,12 Soil remediation,12,Soil remediation,82454.83
2018,31,Nebraska,13 Other 2 - improvement,13,Other 2 - improvement,225821.22
2018,32,Nevada,7 Structural,7,Structural,6419851.7
2018,32,Nevada,8 Land management,8,Land management,1125396.01
2018,32,Nevada,9 Vegetative,9,Vegetative,6617.44
2018,32,Nevada,10 Forest management,10,Forest management,150723.39
2018,32,Nevada,13 Other 2 - improvement,13,Other 2 - improvement,6202.2
2018,33,New Hampshire,4 Conservation planning assessment,4,Conservation planning assessment,19463.64
2018,33,New Hampshire,6 Other 1 - planning,6,Other 1 - planning,112874.49
2018,33,New Hampshire,7 Structural,7,Structural,1183899.19
2018,33,New Hampshire,8 Land management,8,Land management,1610819.13
2018,33,New Hampshire,9 Vegetative,9,Vegetative,660877.4
2018,33,New Hampshire,10 Forest management,10,Forest management,572382.37
2018,33,New Hampshire,12 Soil remediation,12,Soil remediation,35532.86
2018,33,New Hampshire,13 Other 2 - improvement,13,Other 2 - improvement,52304.35
2018,34,New Jersey,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,35835.04
2018,34,New Jersey,4 Conservation planning assessment,4,Conservation planning assessment,21499.11
2018,34,New Jersey,6 Other 1 - planning,6,Other 1 - planning,121951.73
2018,34,New Jersey,7 Structural,7,Structural,2020191.94
2018,34,New Jersey,8 Land management,8,Land management,640005.62
2018,34,New Jersey,9 Vegetative,9,Vegetative,822193.5
2018,34,New Jersey,10 Forest management,10,Forest management,62036.93
2018,34,New Jersey,12 Soil remediation,12,Soil remediation,42390.8
2018,34,New Jersey,13 Other 2 - improvement,13,Other 2 - improvement,33780.99
2018,35,New Mexico,4 Conservation planning assessment,4,Conservation planning assessment,13925.62
2018,35,New Mexico,7 Structural,7,Structural,12298220.3
2018,35,New Mexico,8 Land management,8,Land management,4925523.21
2018,35,New Mexico,9 Vegetative,9,Vegetative,2624539.17
2018,35,New Mexico,10 Forest management,10,Forest management,3328805.88
2018,35,New Mexico,12 Soil remediation,12,Soil remediation,48070.09
2018,35,New Mexico,13 Other 2 - improvement,13,Other 2 - improvement,18317.54
2018,36,New York,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,2844
2018,36,New York,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,6578.21
2018,36,New York,4 Conservation planning assessment,4,Conservation planning assessment,114330.05
2018,36,New York,6 Other 1 - planning,6,Other 1 - planning,105322.76
2018,36,New York,7 Structural,7,Structural,7016438.93
2018,36,New York,8 Land management,8,Land management,1856910.5
2018,36,New York,9 Vegetative,9,Vegetative,479230.92
2018,36,New York,10 Forest management,10,Forest management,507288.1
2018,36,New York,12 Soil remediation,12,Soil remediation,53222.38
2018,36,New York,13 Other 2 - improvement,13,Other 2 - improvement,295165.18
2018,37,North Carolina,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,3412.8
2018,37,North Carolina,4 Conservation planning assessment,4,Conservation planning assessment,28547.2
2018,37,North Carolina,6 Other 1 - planning,6,Other 1 - planning,142262.17
2018,37,North Carolina,7 Structural,7,Structural,9497472.86
2018,37,North Carolina,8 Land management,8,Land management,1410424.09
2018,37,North Carolina,9 Vegetative,9,Vegetative,2319242.27
2018,37,North Carolina,10 Forest management,10,Forest management,747895.97
2018,37,North Carolina,12 Soil remediation,12,Soil remediation,150410.12
2018,37,North Carolina,13 Other 2 - improvement,13,Other 2 - improvement,654984.09
2018,38,North Dakota,4 Conservation planning assessment,4,Conservation planning assessment,31118.96
2018,38,North Dakota,6 Other 1 - planning,6,Other 1 - planning,6051.31
2018,38,North Dakota,7 Structural,7,Structural,6468338.35
2018,38,North Dakota,8 Land management,8,Land management,3866983.07
2018,38,North Dakota,9 Vegetative,9,Vegetative,3477175.85
2018,38,North Dakota,10 Forest management,10,Forest management,307256.57
2018,38,North Dakota,12 Soil remediation,12,Soil remediation,1220750.77
2018,38,North Dakota,13 Other 2 - improvement,13,Other 2 - improvement,139947.49
2018,39,Ohio,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,231980.22
2018,39,Ohio,4 Conservation planning assessment,4,Conservation planning assessment,155932.56
2018,39,Ohio,6 Other 1 - planning,6,Other 1 - planning,171429.21
2018,39,Ohio,7 Structural,7,Structural,8223707.95
2018,39,Ohio,8 Land management,8,Land management,2435793.6
2018,39,Ohio,9 Vegetative,9,Vegetative,4738965.83
2018,39,Ohio,10 Forest management,10,Forest management,225579.42
2018,39,Ohio,12 Soil remediation,12,Soil remediation,177305
2018,39,Ohio,13 Other 2 - improvement,13,Other 2 - improvement,225763.97
2018,40,Oklahoma,6 Other 1 - planning,6,Other 1 - planning,32037.2
2018,40,Oklahoma,7 Structural,7,Structural,3372052.81
2018,40,Oklahoma,8 Land management,8,Land management,4897080.56
2018,40,Oklahoma,9 Vegetative,9,Vegetative,6110769.24
2018,40,Oklahoma,10 Forest management,10,Forest management,909331.22
2018,40,Oklahoma,12 Soil remediation,12,Soil remediation,217355.95
2018,40,Oklahoma,13 Other 2 - improvement,13,Other 2 - improvement,120474.28
2018,41,Oregon,4 Conservation planning assessment,4,Conservation planning assessment,15323.49
2018,41,Oregon,6 Other 1 - planning,6,Other 1 - planning,41280.02
2018,41,Oregon,7 Structural,7,Structural,5301687.54
2018,41,Oregon,8 Land management,8,Land management,3947578.15
2018,41,Oregon,9 Vegetative,9,Vegetative,198217.63
2018,41,Oregon,10 Forest management,10,Forest management,5123683.46
2018,41,Oregon,12 Soil remediation,12,Soil remediation,211872.4
2018,41,Oregon,13 Other 2 - improvement,13,Other 2 - improvement,121161.09
2018,42,Pennsylvania,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,431.34
2018,42,Pennsylvania,4 Conservation planning assessment,4,Conservation planning assessment,111105.68
2018,42,Pennsylvania,6 Other 1 - planning,6,Other 1 - planning,122073.67
2018,42,Pennsylvania,7 Structural,7,Structural,9253175.81
2018,42,Pennsylvania,8 Land management,8,Land management,3716071.51
2018,42,Pennsylvania,9 Vegetative,9,Vegetative,1407876.36
2018,42,Pennsylvania,10 Forest management,10,Forest management,441142.38
2018,42,Pennsylvania,12 Soil remediation,12,Soil remediation,90462.46
2018,42,Pennsylvania,13 Other 2 - improvement,13,Other 2 - improvement,391323.85
2018,44,Rhode Island,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,2047.68
2018,44,Rhode Island,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,2985.38
2018,44,Rhode Island,4 Conservation planning assessment,4,Conservation planning assessment,5450.6
2018,44,Rhode Island,6 Other 1 - planning,6,Other 1 - planning,68568.77
2018,44,Rhode Island,7 Structural,7,Structural,595704.36
2018,44,Rhode Island,8 Land management,8,Land management,844245.67
2018,44,Rhode Island,9 Vegetative,9,Vegetative,31896.99
2018,44,Rhode Island,10 Forest management,10,Forest management,234414.27
2018,44,Rhode Island,13 Other 2 - improvement,13,Other 2 - improvement,6855
2018,45,South Carolina,4 Conservation planning assessment,4,Conservation planning assessment,288080.21
2018,45,South Carolina,6 Other 1 - planning,6,Other 1 - planning,155685.16
2018,45,South Carolina,7 Structural,7,Structural,6983570.24
2018,45,South Carolina,8 Land management,8,Land management,3553298.17
2018,45,South Carolina,9 Vegetative,9,Vegetative,2527759
2018,45,South Carolina,10 Forest management,10,Forest management,3325096.02
2018,45,South Carolina,12 Soil remediation,12,Soil remediation,119566.02
2018,45,South Carolina,13 Other 2 - improvement,13,Other 2 - improvement,1109669.52
2018,46,South Dakota,7 Structural,7,Structural,8015522.7
2018,46,South Dakota,8 Land management,8,Land management,3786914.42
2018,46,South Dakota,9 Vegetative,9,Vegetative,1494923.26
2018,46,South Dakota,10 Forest management,10,Forest management,205070.25
2018,46,South Dakota,12 Soil remediation,12,Soil remediation,108051.68
2018,46,South Dakota,13 Other 2 - improvement,13,Other 2 - improvement,126159.35
2018,47,Tennessee,4 Conservation planning assessment,4,Conservation planning assessment,62742.87
2018,47,Tennessee,6 Other 1 - planning,6,Other 1 - planning,128346.74
2018,47,Tennessee,7 Structural,7,Structural,7887075.26
2018,47,Tennessee,8 Land management,8,Land management,4962781.05
2018,47,Tennessee,9 Vegetative,9,Vegetative,11416233.72
2018,47,Tennessee,10 Forest management,10,Forest management,649123.24
2018,47,Tennessee,12 Soil remediation,12,Soil remediation,406.92
2018,47,Tennessee,13 Other 2 - improvement,13,Other 2 - improvement,132832.98
2018,48,Texas,4 Conservation planning assessment,4,Conservation planning assessment,19376.52
2018,48,Texas,6 Other 1 - planning,6,Other 1 - planning,13548.41
2018,48,Texas,7 Structural,7,Structural,32473354.46
2018,48,Texas,8 Land management,8,Land management,34572638.69
2018,48,Texas,9 Vegetative,9,Vegetative,7714804.73
2018,48,Texas,10 Forest management,10,Forest management,6585003.76
2018,48,Texas,12 Soil remediation,12,Soil remediation,1074194.84
2018,48,Texas,13 Other 2 - improvement,13,Other 2 - improvement,324989.14
2018,49,Utah,4 Conservation planning assessment,4,Conservation planning assessment,9219.6
2018,49,Utah,6 Other 1 - planning,6,Other 1 - planning,17830.01
2018,49,Utah,7 Structural,7,Structural,15089305.63
2018,49,Utah,8 Land management,8,Land management,3916773.13
2018,49,Utah,9 Vegetative,9,Vegetative,297654.18
2018,49,Utah,10 Forest management,10,Forest management,2666212.76
2018,49,Utah,12 Soil remediation,12,Soil remediation,32644.2
2018,49,Utah,13 Other 2 - improvement,13,Other 2 - improvement,416123.79
2018,50,Vermont,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,100991.65
2018,50,Vermont,4 Conservation planning assessment,4,Conservation planning assessment,28356.79
2018,50,Vermont,6 Other 1 - planning,6,Other 1 - planning,233670.73
2018,50,Vermont,7 Structural,7,Structural,4246004.95
2018,50,Vermont,8 Land management,8,Land management,1815961.9
2018,50,Vermont,9 Vegetative,9,Vegetative,2387304.85
2018,50,Vermont,10 Forest management,10,Forest management,138320.17
2018,50,Vermont,12 Soil remediation,12,Soil remediation,187620.53
2018,50,Vermont,13 Other 2 - improvement,13,Other 2 - improvement,16831.45
2018,51,Virginia,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,19362.15
2018,51,Virginia,6 Other 1 - planning,6,Other 1 - planning,173846.19
2018,51,Virginia,7 Structural,7,Structural,9536526.33
2018,51,Virginia,8 Land management,8,Land management,4780218.2
2018,51,Virginia,9 Vegetative,9,Vegetative,3333675.1
2018,51,Virginia,10 Forest management,10,Forest management,545630.74
2018,51,Virginia,12 Soil remediation,12,Soil remediation,690924.9
2018,51,Virginia,13 Other 2 - improvement,13,Other 2 - improvement,76094.72
2018,53,Washington,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,5920
2018,53,Washington,4 Conservation planning assessment,4,Conservation planning assessment,57875.07
2018,53,Washington,6 Other 1 - planning,6,Other 1 - planning,124323.35
2018,53,Washington,7 Structural,7,Structural,7529585.82
2018,53,Washington,8 Land management,8,Land management,1129300.49
2018,53,Washington,9 Vegetative,9,Vegetative,211026.84
2018,53,Washington,10 Forest management,10,Forest management,1851333.52
2018,53,Washington,12 Soil remediation,12,Soil remediation,2410254.64
2018,53,Washington,13 Other 2 - improvement,13,Other 2 - improvement,129276.33
2018,54,West Virginia,4 Conservation planning assessment,4,Conservation planning assessment,147652.82
2018,54,West Virginia,6 Other 1 - planning,6,Other 1 - planning,30204.88
2018,54,West Virginia,7 Structural,7,Structural,3696282.87
2018,54,West Virginia,8 Land management,8,Land management,2244089.76
2018,54,West Virginia,9 Vegetative,9,Vegetative,523649.86
2018,54,West Virginia,10 Forest management,10,Forest management,209254.37
2018,54,West Virginia,12 Soil remediation,12,Soil remediation,9907.41
2018,54,West Virginia,13 Other 2 - improvement,13,Other 2 - improvement,140195.51
2018,55,Wisconsin,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,29150.5
2018,55,Wisconsin,2 Resource-conserving crop rotation,2,Resource-conserving crop rotation,38107.85
2018,55,Wisconsin,4 Conservation planning assessment,4,Conservation planning assessment,443716.81
2018,55,Wisconsin,6 Other 1 - planning,6,Other 1 - planning,270805.55
2018,55,Wisconsin,7 Structural,7,Structural,9988853.18
2018,55,Wisconsin,8 Land management,8,Land management,4686648.42
2018,55,Wisconsin,9 Vegetative,9,Vegetative,4682226.78
2018,55,Wisconsin,10 Forest management,10,Forest management,404582.43
2018,55,Wisconsin,12 Soil remediation,12,Soil remediation,121828.14
2018,55,Wisconsin,13 Other 2 - improvement,13,Other 2 - improvement,1538391.33
2018,56,Wyoming,4 Conservation planning assessment,4,Conservation planning assessment,9415.5
2018,56,Wyoming,7 Structural,7,Structural,7168946.89
2018,56,Wyoming,8 Land management,8,Land management,1974797.21
2018,56,Wyoming,9 Vegetative,9,Vegetative,272006.47
2018,56,Wyoming,10 Forest management,10,Forest management,369239.66
2018,56,Wyoming,12 Soil remediation,12,Soil remediation,34511.07
2018,56,Wyoming,13 Other 2 - improvement,13,Other 2 - improvement,5066.22
2019,1,Alabama,4 Conservation planning assessment,4,Conservation planning assessment,65209.85
