State Code,County Code,State Name,County Name,Crop Code,Crop Name,Crop Type,Crop Type Name,Intended Use,Planted Total,Prevented Total,Failed Total,Volunteer Total,Not Planted Total,Plant and Fail Total,Planted Irrigated,Prevented Irrigated,Failed Irrigated,Volunteer Irrigated,Not Planted Irrigated,Plant and Fail Irrigated,Planted Nonirrigated,Prevented Nonirrigated,Failed Nonirrigated,Volunteer Nonirrigated,Not Planted Nonirrigated,Plant and Fail Nonirrigated
01,001,ALABAMA,AUTAUGA,0081,SOYBEANS,COM,COMMON,GR,1039.7,0,0,0,0,1039.7,0,0,0,0,0,0,1039.7,0,0,0,0,1039.7
01,001,ALABAMA,AUTAUGA,0087,TOMATOES,HYB,HYBRID,FH,1.2,0,0,0,0,1.2,0,0,0,0,0,0,1.2,0,0,0,0,1.2
01,001,ALABAMA,AUTAUGA,0094,RYE,,,GR,108,0,0,0,0,108,0,0,0,0,0,0,108,0,0,0,0,108
01,001,ALABAMA,AUTAUGA,0099,CRP,,,10,11.6,0,0,0,0,11.6,0,0,0,0,0,0,11.6,0,0,0,0,11.6
01,001,ALABAMA,AUTAUGA,0099,CRP,,,11,1616.7,0,0,16,0,1616.7,0,0,0,0,0,0,1616.7,0,0,16,0,1616.7
01,001,ALABAMA,AUTAUGA,0099,CRP,,,12,31.2,0,0,1,0,31.2,0,0,0,0,0,0,31.2,0,0,1,0,31.2
01,001,ALABAMA,AUTAUGA,0099,CRP,,,21,16.7,0,0,0,0,16.7,0,0,0,0,0,0,16.7,0,0,0,0,16.7
01,001,ALABAMA,AUTAUGA,0099,CRP,,,22,12.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,12.5
01,001,ALABAMA,AUTAUGA,0099,CRP,,,3 ,193.8,0,0,0,0,193.8,0,0,0,0,0,0,193.8,0,0,0,0,193.8
01,001,ALABAMA,AUTAUGA,0099,CRP,,,30,1338.8,0,0,72.5,0,1338.8,0,0,0,0,0,0,1338.8,0,0,72.5,0,1338.8
01,001,ALABAMA,AUTAUGA,0099,CRP,,,46,329,0,0,0,0,329,0,0,0,0,0,0,329,0,0,0,0,329
01,001,ALABAMA,AUTAUGA,0099,CRP,,,53,98,0,0,0,0,98,0,0,0,0,0,0,98,0,0,0,0,98
01,001,ALABAMA,AUTAUGA,0099,CRP,,,64,801.2,0,0,0,0,801.2,0,0,0,0,0,0,801.2,0,0,0,0,801.2
01,001,ALABAMA,AUTAUGA,0102,GRASS,BCM,COMMON BERMUDA,FG,178.4,0,0,72.2,0,178.4,0,0,0,0,0,0,178.4,0,0,72.2,0,178.4
01,001,ALABAMA,AUTAUGA,0102,GRASS,BCM,COMMON BERMUDA,GZ,77.6,0,0,0,0,77.6,0,0,0,0,0,0,77.6,0,0,0,0,77.6
01,001,ALABAMA,AUTAUGA,0102,GRASS,BCM,COMMON BERMUDA,LS,24,0,0,0,0,24,0,0,0,0,0,0,24,0,0,0,0,24
01,001,ALABAMA,AUTAUGA,0102,GRASS,BCS,COASTAL BERMUDA,FG,2932.7,0,0,448.9,0,2932.7,0,0,0,0,0,0,2932.7,0,0,448.9,0,2932.7
01,001,ALABAMA,AUTAUGA,0102,GRASS,BCS,COASTAL BERMUDA,GZ,378,0,0,231.5,0,378,0,0,0,0,0,0,378,0,0,231.5,0,378
01,001,ALABAMA,AUTAUGA,0102,GRASS,BGH,HYBRID BERMUDA,GZ,22.9,0,0,0,0,22.9,0,0,0,0,0,0,22.9,0,0,0,0,22.9
01,001,ALABAMA,AUTAUGA,0102,GRASS,BHI,BAHIA,FG,1588.8,0,0,30.6,0,1588.8,0,0,0,0,0,0,1588.8,0,0,30.6,0,1588.8
01,001,ALABAMA,AUTAUGA,0102,GRASS,BHI,BAHIA,GZ,4068,0,0,646.8,0,4068,0,0,0,0,0,0,4068,0,0,646.8,0,4068
01,001,ALABAMA,AUTAUGA,0102,GRASS,BHI,BAHIA,SD,83.6,0,0,0,0,83.6,0,0,0,0,0,0,83.6,0,0,0,0,83.6
01,001,ALABAMA,AUTAUGA,0102,GRASS,FTA,FESCUE TALL,FG,93.4,0,0,0,0,93.4,0,0,0,0,0,0,93.4,0,0,0,0,93.4
01,001,ALABAMA,AUTAUGA,0102,GRASS,FTA,FESCUE TALL,GZ,221.1,0,0,0,0,221.1,0,0,0,0,0,0,221.1,0,0,0,0,221.1
01,001,ALABAMA,AUTAUGA,0102,GRASS,NAG,NATIVE,FG,0,0,0,91.5,0,0,0,0,0,0,0,0,0,0,0,91.5,0,0
01,001,ALABAMA,AUTAUGA,0102,GRASS,NAG,NATIVE,GZ,11,0,0,4287.1,27.3,11,0,0,0,0,0,0,11,0,0,4287.1,27.3,11
01,001,ALABAMA,AUTAUGA,0102,GRASS,NAG,NATIVE,LS,91.4,0,0,6679.7,113,91.4,0,0,0,0,0,0,91.4,0,0,6679.7,113,91.4
01,001,ALABAMA,AUTAUGA,0102,GRASS,RAN,ANNUAL RYEGRASS,SD,15,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,15
01,001,ALABAMA,AUTAUGA,0105,TURN AREAS,,,  ,32.5,0,0,7.5,0,32.5,0,0,0,0,0,0,32.5,0,0,7.5,0,32.5
01,001,ALABAMA,AUTAUGA,0132,CUCUMBERS,COM,COMMON,FH,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5
01,001,ALABAMA,AUTAUGA,0142,ONIONS,SWE,SWEET EARLY,FH,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0.2
01,001,ALABAMA,AUTAUGA,0146,PECANS,IMP,IMPROVED PECANS,  ,197.3,0,0,0,0,197.3,0,0,0,0,0,0,197.3,0,0,0,0,197.3
01,001,ALABAMA,AUTAUGA,0155,SQUASH,CRK,CROOKNECK,FH,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0.2
01,001,ALABAMA,AUTAUGA,0155,SQUASH,SUM,SUMMER SQUASH,FH,54,0,0,0,0,54,0,0,0,0,0,0,54,0,0,0,0,54
01,001,ALABAMA,AUTAUGA,0286,OKRA,,,FH,30.3,0,0,0,0,30.3,0,0,0,0,0,0,30.3,0,0,0,0,30.3
01,001,ALABAMA,AUTAUGA,0757,WATERMELON,COM,COMMON,FH,140.3,0,0,0,0,140.3,0,0,0,0,0,0,140.3,0,0,0,0,140.3
01,001,ALABAMA,AUTAUGA,0757,WATERMELON,CRM,CRIMSON SWEET,FH,20.5,0,0,0,0,20.5,0,0,0,0,0,0,20.5,0,0,0,0,20.5
01,001,ALABAMA,AUTAUGA,0757,WATERMELON,JUB,JUBILEE,FH,97.5,0,0,0,0,97.5,0,0,0,0,0,0,97.5,0,0,0,0,97.5
01,001,ALABAMA,AUTAUGA,0759,CANTALOUPES,,,FH,47.1,0,0.5,0,0,47.6,0,0,0,0,0,0,47.1,0,0.5,0,0,47.6
01,001,ALABAMA,AUTAUGA,0777,WILDLIFE FOOD PLOT,,,  ,95.3,0,0,0,0,95.3,0,0,0,0,0,0,95.3,0,0,0,0,95.3
01,001,ALABAMA,AUTAUGA,1010,NURSERY,FLD,FIELD,  ,127.6,0,0,0,0,127.6,0,0,0,0,0,0,127.6,0,0,0,0,127.6
01,001,ALABAMA,AUTAUGA,2007,WILDLIFE HABITAT INCENTIVE PROGRAM,,,  ,18.7,0,0,0,0,18.7,0,0,0,0,0,0,18.7,0,0,0,0,18.7
01,001,ALABAMA,AUTAUGA,4000,GREENS,COL,COLLARDS,FH,39,0,0,0,0,39,0,0,0,0,0,0,39,0,0,0,0,39
01,001,ALABAMA,AUTAUGA,4000,GREENS,COM,COMMON KALE,FH,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
01,001,ALABAMA,AUTAUGA,4000,GREENS,FLW,FLOWERING KALE,FH,3.2,0,0,0,0,3.2,0,0,0,0,0,0,3.2,0,0,0,0,3.2
01,001,ALABAMA,AUTAUGA,4000,GREENS,HYB,HYBRID MUSTARD,FH,12.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,12.5
01,001,ALABAMA,AUTAUGA,4000,GREENS,TUR,TURNIP,FH,49.7,0,0,0,0,49.7,0,0,0,0,0,0,49.7,0,0,0,0,49.7
01,001,ALABAMA,AUTAUGA,7506,TREES- Timber,,,  ,1977.2,0,0,507.6,0,1977.2,0,0,0,0,0,0,1977.2,0,0,507.6,0,1977.2
01,003,ALABAMA,BALDWIN,0011,WHEAT,SRW,SOFT RED WINTER,GR,9503.2,0,47,0,0,9550.2,217.2,0,0,0,0,217.2,9286,0,47,0,0,9333
01,003,ALABAMA,BALDWIN,0011,WHEAT,SRW,SOFT RED WINTER,GZ,20,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,20
01,003,ALABAMA,BALDWIN,0011,WHEAT,SRW,SOFT RED WINTER,SD,39.3,0,0,0,0,39.3,0,0,0,0,0,0,39.3,0,0,0,0,39.3
01,003,ALABAMA,BALDWIN,0016,OATS,WTR,WINTER,FG,59.5,0,0,0,0,59.5,0,0,0,0,0,0,59.5,0,0,0,0,59.5
01,003,ALABAMA,BALDWIN,0016,OATS,WTR,WINTER,GR,1127.3,0,0,0,0,1127.3,0,0,0,0,0,0,1127.3,0,0,0,0,1127.3
01,003,ALABAMA,BALDWIN,0016,OATS,WTR,WINTER,GZ,282.2,0,0,0,0,282.2,0,0,0,0,0,0,282.2,0,0,0,0,282.2
01,003,ALABAMA,BALDWIN,0016,OATS,WTR,WINTER,SD,251,0,0,0,0,251,0,0,0,0,0,0,251,0,0,0,0,251
01,003,ALABAMA,BALDWIN,0021,"COTTON, Upland",,,  ,18020.69,0,172.7,0,0,18193.39,538.1,0,0,0,0,538.1,17482.59,0,172.7,0,0,17655.29
01,003,ALABAMA,BALDWIN,0023,ORANGES,MND,MANDARINS,FH,3.4,0,0,0,0,3.4,3.4,0,0,0,0,3.4,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0041,CORN,SWT,SWEET,FH,623,0,14.5,0,0,637.5,623,0,0,0,0,623,0,0,14.5,0,0,14.5
01,003,ALABAMA,BALDWIN,0041,CORN,TRO,TROPICAL,GR,52.3,0,0,0,0,52.3,0,0,0,0,0,0,52.3,0,0,0,0,52.3
01,003,ALABAMA,BALDWIN,0041,CORN,YEL,YELLOW,GR,4597.5,0,203,0,0,4800.5,119.7,0,0,0,0,119.7,4477.8,0,203,0,0,4680.8
01,003,ALABAMA,BALDWIN,0047,BEANS,BUT,BUTTER,FH,14.4,0,0,0,0,14.4,0,0,0,0,0,0,14.4,0,0,0,0,14.4
01,003,ALABAMA,BALDWIN,0051,SORGHUM,GRS,GRAIN,GR,1365.5,0,0,0,0,1365.5,118.5,0,0,0,0,118.5,1247,0,0,0,0,1247
01,003,ALABAMA,BALDWIN,0067,PEAS,PHL,PURPLE HULL,FH,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10
01,003,ALABAMA,BALDWIN,0075,PEANUTS,RUN,RUNNER PEANUTS,NP,23418.61,47,0,0,0,23418.61,1128,0,0,0,0,1128,22290.61,47,0,0,0,22290.61
01,003,ALABAMA,BALDWIN,0075,PEANUTS,SPW,SOUTHWEST SPANISH PEANUTS,NP,86.7,0,0,0,0,86.7,0,0,0,0,0,0,86.7,0,0,0,0,86.7
01,003,ALABAMA,BALDWIN,0075,PEANUTS,VIR,VIRGINIA PEANUTS,GP,117.2,0,0,0,0,117.2,0,0,0,0,0,0,117.2,0,0,0,0,117.2
01,003,ALABAMA,BALDWIN,0075,PEANUTS,VIR,VIRGINIA PEANUTS,NP,20,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,20
01,003,ALABAMA,BALDWIN,0080,MILLET,COM,COMMON,FG,95.2,0,0,0,0,95.2,0,0,0,0,0,0,95.2,0,0,0,0,95.2
01,003,ALABAMA,BALDWIN,0080,MILLET,COM,COMMON,GZ,111.7,0,0,0,0,111.7,0,0,0,0,0,0,111.7,0,0,0,0,111.7
01,003,ALABAMA,BALDWIN,0080,MILLET,COM,COMMON,LS,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2
01,003,ALABAMA,BALDWIN,0080,MILLET,COM,COMMON,SD,989.7,0,0,0,0,989.7,0,0,0,0,0,0,989.7,0,0,0,0,989.7
01,003,ALABAMA,BALDWIN,0080,MILLET,DOP,DOVE PROSO,GZ,84.4,0,0,0,0,84.4,0,0,0,0,0,0,84.4,0,0,0,0,84.4
01,003,ALABAMA,BALDWIN,0080,MILLET,DOP,DOVE PROSO,SD,29,0,0,0,0,29,0,0,0,0,0,0,29,0,0,0,0,29
01,003,ALABAMA,BALDWIN,0081,SOYBEANS,COM,COMMON,GR,10824.7,81.8,0,0,0,10824.7,271,0,0,0,0,271,10553.7,81.8,0,0,0,10553.7
01,003,ALABAMA,BALDWIN,0084,POTATOES,IRS,IRISH REDSKINNED POTATOES,FH,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10
01,003,ALABAMA,BALDWIN,0084,POTATOES,RED,REDS,FH,45,0,0,0,0,45,45,0,0,0,0,45,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0087,TOMATOES,HYB,HYBRID,FH,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0094,RYE,,,FG,19,0,0,0,0,19,0,0,0,0,0,0,19,0,0,0,0,19
01,003,ALABAMA,BALDWIN,0094,RYE,,,GS,29.4,0,0,0,0,29.4,0,0,0,0,0,0,29.4,0,0,0,0,29.4
01,003,ALABAMA,BALDWIN,0094,RYE,,,GZ,205.5,0,0,0,0,205.5,0,0,0,0,0,0,205.5,0,0,0,0,205.5
01,003,ALABAMA,BALDWIN,0099,CRP,,,1 ,10.7,0,0,0,0,10.7,0,0,0,0,0,0,10.7,0,0,0,0,10.7
01,003,ALABAMA,BALDWIN,0099,CRP,,,10,109,0,0,0,0,109,0,0,0,0,0,0,109,0,0,0,0,109
01,003,ALABAMA,BALDWIN,0099,CRP,,,11,3188.8,0,0,0,0,3188.8,0,0,0,0,0,0,3188.8,0,0,0,0,3188.8
01,003,ALABAMA,BALDWIN,0099,CRP,,,12,95.3,0,0,0,0,95.3,0,0,0,0,0,0,95.3,0,0,0,0,95.3
01,003,ALABAMA,BALDWIN,0099,CRP,,,21,3.9,0,0,0,0,3.9,0,0,0,0,0,0,3.9,0,0,0,0,3.9
01,003,ALABAMA,BALDWIN,0099,CRP,,,22,57.8,0,0,0,0,57.8,0,0,0,0,0,0,57.8,0,0,0,0,57.8
01,003,ALABAMA,BALDWIN,0099,CRP,,,3 ,939,0,0,0,0,939,0,0,0,0,0,0,939,0,0,0,0,939
01,003,ALABAMA,BALDWIN,0099,CRP,,,30,1042.1,0,0,0,0,1042.1,0,0,0,0,0,0,1042.1,0,0,0,0,1042.1
01,003,ALABAMA,BALDWIN,0099,CRP,,,55,52.7,0,0,0,0,52.7,0,0,0,0,0,0,52.7,0,0,0,0,52.7
01,003,ALABAMA,BALDWIN,0099,CRP,,,59,349.4,0,0,0,0,349.4,0,0,0,0,0,0,349.4,0,0,0,0,349.4
01,003,ALABAMA,BALDWIN,0099,CRP,,,60,304.6,0,0,0,0,304.6,0,0,0,0,0,0,304.6,0,0,0,0,304.6
01,003,ALABAMA,BALDWIN,0099,CRP,,,64,41.1,0,0,0,0,41.1,10.1,0,0,0,0,10.1,31,0,0,0,0,31
01,003,ALABAMA,BALDWIN,0101,FALLOW,,,  ,385.7,0,0,0,5581.1,385.7,0,0,0,0,0,0,385.7,0,0,0,5581.1,385.7
01,003,ALABAMA,BALDWIN,0102,GRASS,ARG,ARGENTINE BAHIA,GZ,31,0,0,0,0,31,0,0,0,0,0,0,31,0,0,0,0,31
01,003,ALABAMA,BALDWIN,0102,GRASS,BCM,COMMON BERMUDA,FG,139.1,0,0,0,0,139.1,0,0,0,0,0,0,139.1,0,0,0,0,139.1
01,003,ALABAMA,BALDWIN,0102,GRASS,BCM,COMMON BERMUDA,GZ,264.9,0,0,0,0,264.9,0,0,0,0,0,0,264.9,0,0,0,0,264.9
01,003,ALABAMA,BALDWIN,0102,GRASS,BCS,COASTAL BERMUDA,FG,717.9,0,0,0,0,717.9,0,0,0,0,0,0,717.9,0,0,0,0,717.9
01,003,ALABAMA,BALDWIN,0102,GRASS,BCS,COASTAL BERMUDA,GZ,45.4,0,0,0,0,45.4,0,0,0,0,0,0,45.4,0,0,0,0,45.4
01,003,ALABAMA,BALDWIN,0102,GRASS,BCS,COASTAL BERMUDA,LS,12.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,12.5
01,003,ALABAMA,BALDWIN,0102,GRASS,BGH,HYBRID BERMUDA,FG,44.9,0,0,0,0,44.9,0,0,0,0,0,0,44.9,0,0,0,0,44.9
01,003,ALABAMA,BALDWIN,0102,GRASS,BGH,HYBRID BERMUDA,GZ,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
01,003,ALABAMA,BALDWIN,0102,GRASS,BGH,HYBRID BERMUDA,SO,211.3,0,0,0,0,211.3,173,0,0,0,0,173,38.3,0,0,0,0,38.3
01,003,ALABAMA,BALDWIN,0102,GRASS,BHI,BAHIA,FG,1221.2,0,0,0,0,1221.2,0,0,0,0,0,0,1221.2,0,0,0,0,1221.2
01,003,ALABAMA,BALDWIN,0102,GRASS,BHI,BAHIA,GZ,6893.8,0,0,27.8,0,6893.8,0,0,0,0,0,0,6893.8,0,0,27.8,0,6893.8
01,003,ALABAMA,BALDWIN,0102,GRASS,BHI,BAHIA,LS,1015.1,0,0,155.4,0,1015.1,0,0,0,0,0,0,1015.1,0,0,155.4,0,1015.1
01,003,ALABAMA,BALDWIN,0102,GRASS,BHI,BAHIA,SO,15.8,0,0,0,0,15.8,7,0,0,0,0,7,8.8,0,0,0,0,8.8
01,003,ALABAMA,BALDWIN,0102,GRASS,BRB,BARBED WIRE,FG,4.4,0,0,0,0,4.4,0,0,0,0,0,0,4.4,0,0,0,0,4.4
01,003,ALABAMA,BALDWIN,0102,GRASS,CEN,CENTIPEDE,SD,109.3,0,0,0,0,109.3,0,0,0,0,0,0,109.3,0,0,0,0,109.3
01,003,ALABAMA,BALDWIN,0102,GRASS,CEN,CENTIPEDE,SO,2636.5,0,0,0,0,2636.5,1622.2,0,0,0,0,1622.2,1014.3,0,0,0,0,1014.3
01,003,ALABAMA,BALDWIN,0102,GRASS,CRG,CRABGRASS,GZ,58.2,0,0,0,0,58.2,0,0,0,0,0,0,58.2,0,0,0,0,58.2
01,003,ALABAMA,BALDWIN,0102,GRASS,CRG,CRABGRASS,LS,0,0,0,31.8,0,0,0,0,0,0,0,0,0,0,0,31.8,0,0
01,003,ALABAMA,BALDWIN,0102,GRASS,NAG,NATIVE,FG,253,0,0,0,0,253,0,0,0,0,0,0,253,0,0,0,0,253
01,003,ALABAMA,BALDWIN,0102,GRASS,NAG,NATIVE,GZ,31.3,0,0,17.9,0,31.3,0,0,0,0,0,0,31.3,0,0,17.9,0,31.3
01,003,ALABAMA,BALDWIN,0102,GRASS,RAN,ANNUAL RYEGRASS,FG,37,0,0,0,0,37,0,0,0,0,0,0,37,0,0,0,0,37
01,003,ALABAMA,BALDWIN,0102,GRASS,RAN,ANNUAL RYEGRASS,GZ,6.3,0,0,0,0,6.3,0,0,0,0,0,0,6.3,0,0,0,0,6.3
01,003,ALABAMA,BALDWIN,0102,GRASS,STA,SAINT AUGUSTINE,SO,575.7,0,0,0,0,575.7,527,0,0,0,0,527,48.7,0,0,0,0,48.7
01,003,ALABAMA,BALDWIN,0102,GRASS,SUD,SUDAN,FG,99.7,0,0,0,0,99.7,0,0,0,0,0,0,99.7,0,0,0,0,99.7
01,003,ALABAMA,BALDWIN,0102,GRASS,ZOY,ZOYSIA,SO,90.5,0,0,0,0,90.5,74,0,0,0,0,74,16.5,0,0,0,0,16.5
01,003,ALABAMA,BALDWIN,0105,TURN AREAS,,,  ,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,2.4,0
01,003,ALABAMA,BALDWIN,0108,BLUEBERRIES,HBS,HIGHBUSH,FH,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5
01,003,ALABAMA,BALDWIN,0108,BLUEBERRIES,RAB,RABBITEYE BLUEBERRIES,FH,3.5,0,0,0,0,3.5,0,0,0,0,0,0,3.5,0,0,0,0,3.5
01,003,ALABAMA,BALDWIN,0132,CUCUMBERS,COM,COMMON,FH,1.1,0,0,0,0,1.1,1.1,0,0,0,0,1.1,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0146,PECANS,IMP,IMPROVED PECANS,  ,1817.6,0,0,0,0,1817.6,0,0,0,0,0,0,1817.6,0,0,0,0,1817.6
01,003,ALABAMA,BALDWIN,0146,PECANS,NAT,NATIVE PECANS,  ,559.2,0,0,0,0,559.2,1.4,0,0,0,0,1.4,557.8,0,0,0,0,557.8
01,003,ALABAMA,BALDWIN,0154,STRAWBERRIES,,,FH,8,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,8
01,003,ALABAMA,BALDWIN,0155,SQUASH,SUM,SUMMER SQUASH,FH,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0156,POTATOES SWEET,BEA,BEAUREGARD,FH,71.5,0,0,0,0,71.5,0,0,0,0,0,0,71.5,0,0,0,0,71.5
01,003,ALABAMA,BALDWIN,0156,POTATOES SWEET,COV,COVINGTON,FH,1405.3,0,0,0,0,1405.3,0,0,0,0,0,0,1405.3,0,0,0,0,1405.3
01,003,ALABAMA,BALDWIN,0286,OKRA,,,FH,9.5,0,0,0,0,9.5,0,0,0,0,0,0,9.5,0,0,0,0,9.5
01,003,ALABAMA,BALDWIN,0757,WATERMELON,COM,COMMON,FH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0757,WATERMELON,JUB,JUBILEE,FH,24.5,0,17.8,0,0,42.3,24.5,0,0,0,0,24.5,0,0,17.8,0,0,17.8
01,003,ALABAMA,BALDWIN,0757,WATERMELON,SED,SEEDLESS,FH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0757,WATERMELON,STR,STRIPED,FH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0757,WATERMELON,SUG,ICE BOX/SUGAR BABIES,FH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,003,ALABAMA,BALDWIN,0759,CANTALOUPES,,,FH,4.5,0,0,0,0,4.5,2,0,0,0,0,2,2.5,0,0,0,0,2.5
01,003,ALABAMA,BALDWIN,0772,HOME GARDEN,,,  ,9.9,0,0,0,0,9.9,5.9,0,0,0,0,5.9,4,0,0,0,0,4
01,003,ALABAMA,BALDWIN,0777,WILDLIFE FOOD PLOT,,,  ,135.7,0,0,0,0,135.7,0,0,0,0,0,0,135.7,0,0,0,0,135.7
01,003,ALABAMA,BALDWIN,1010,NURSERY,CON,CONTAINER,  ,9.9,0,0,0,0,9.9,0,0,0,0,0,0,9.9,0,0,0,0,9.9
