year,state,county,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2014,Alabama,Macon,35,8652,2716419,325887,222549,166802,0.5118399936174195,63464,103338,1813.2571428571428,7.335182616736015
2014,Alabama,Madison,566,110022,38287171,4054203,2813156,104075,0.025670890184827943,-1136972,1241047,-2008.7844522968198,-10.3340422824526
2014,Alabama,Marengo,35,11160,2652941,454490,326004,274951,0.604966005852714,146465,128486,4184.714285714285,13.12410394265233
2014,Alabama,Marion,32,5799,1200121,161642,125432,3022,0.018695636035188874,-33188,36210,-1037.125,-5.7230556992584924
2014,Alabama,Marshall,103,13602,3612162,431197,315255,9680,0.02244913577784632,-106262,115942,-1031.6699029126214,-7.812233495074254
2014,Alabama,Mobile,63,22815,25298182,1287492,976583,351594,0.2730844152818037,40685,310909,645.7936507936508,1.7832566294104755
2014,Alabama,Monroe,125,31053,13471885,1567495,977630,640179,0.40840895824229106,50314,589865,402.512,1.6202621324831739
2014,Alabama,Montgomery,39,11621,2524113,410240,279315,147025,0.35838777301092045,16100,130925,412.8205128205128,1.3854229412270889
2014,Alabama,Morgan,99,16055,4216758,443474,326102,75997,0.17136743078511932,-41375,117372,-417.92929292929296,-2.5770787916536904
2014,Alabama,Perry,61,17959,3967695,842848,567131,394937,0.4685744048749003,119220,275717,1954.4262295081967,6.6384542569185365
2014,Alabama,Pickens,25,8833,3155783,379434,224121,181959,0.47955375638450953,26646,155313,1065.84,3.0166421374391486
2014,Alabama,Pike,114,11989,4111583,943727,598997,520237,0.5512579379417989,175507,344730,1539.5350877192982,14.639002418883978
2014,Alabama,Randolph,15,1200,322003,46393,32731,15951,0.3438234216368849,2289,13662,152.6,1.9075
2014,Alabama,Russell,38,8844,3298784,502014,349866,192047,0.38255307620903,39899,152148,1049.9736842105262,4.511420171867933
2014,Alabama,Shelby,40,6946,2556699,299161,192335,151088,0.5050390926624794,44262,106826,1106.55,6.372300604664555
2014,Alabama,St Clair,7,1024,285165,33303,20128,11618,0.3488574602888629,-1557,13175,-222.42857142857142,-1.5205078125
2014,Alabama,Sumter,14,3582,673800,95469,72663,143356,1.5015973771590778,120550,22806,8610.714285714286,33.65438302624232
2014,Alabama,Talladega,53,22098,8056272,894690,610774,293605,0.328163945053594,9689,283916,182.81132075471697,0.4384559688659607
2014,Alabama,Tallapoosa,8,822,327116,23732,17394,0,0.0,-6338,6338,-792.25,-7.7104622871046224
2014,Alabama,Tuscaloosa,25,7609,1873913,255403,187445,44295,0.17343179210894155,-23663,67958,-946.52,-3.109869890918649
2014,Alabama,Walker,9,1704,352251,54886,37923,4416,0.08045767591006814,-12547,16963,-1394.111111111111,-7.363262910798122
2014,Alabama,Washington,19,3258,1383787,140644,92420,72310,0.5141349790961577,24086,48224,1267.6842105263158,7.392879066912216
2014,Alabama,Wilcox,20,5291,1260669,224776,146884,134032,0.596291419012706,56140,77892,2807.0,10.61047061047061
2014,Alabama,Winston,6,820,130935,22745,15251,868,0.03816223345790284,-6626,7494,-1104.3333333333333,-8.080487804878048
2014,Alaska,All Other Counties,1,165,13932,1387,1387,0,0.0,0,0,0.0,0.0
2014,Alaska,Southeast Fairbanks,15,6377,562651,84868,71920,31944,0.3763962859970778,18996,12948,1266.4,2.978830170926768
2014,Arizona,All Other Counties,9,45253,862594,77746,45289,118763,1.527576981452422,86306,32457,9589.555555555555,1.907188473692352
2014,Arizona,Cochise,109,81208,29007973,1483624,1026155,761363,0.5131778671685009,303894,457469,2788.0183486238534,3.7421682592847993
2014,Arizona,Graham,106,52662,25925268,2174633,1270637,3315448,1.5246011625869744,2411452,903996,22749.54716981132,45.791120732216775
2014,Arizona,La Paz,28,54695,14051262,737286,587886,36100,0.04896336021571005,-113300,149400,-4046.4285714285716,-2.0714873388792396
2014,Arizona,Maricopa,147,66076,50962754,2702280,1769078,575885,0.21311078052607427,-357317,933202,-2430.7278911564626,-5.407666928990859
2014,Arizona,Mohave,5,6220,4025423,263829,205430,0,0.0,-58399,58399,-11679.8,-9.388906752411575
2014,Arizona,Pima,27,55289,15252043,785660,547369,297184,0.3782603161672988,58893,238291,2181.222222222222,1.0651847564615022
2014,Arizona,Pinal,349,194131,110952935,7306215,4532682,12509291,1.7121438391834898,9735758,2773533,27896.154727793695,50.15045510505792
2014,Arizona,Yuma,94,35674,17095822,765146,618343,559497,0.7312290726214343,412694,146803,4390.36170212766,11.568481246846442
2014,Arkansas,All Other Counties,14,5521,1645482,123793,75262,94787,0.7656894977906666,46256,48531,3304.0,8.378192356457163
2014,Arkansas,Arkansas,381,103732,34552751,1577283,1156995,398753,0.25281005374431853,-21535,420288,-56.52230971128609,-0.2076022828056916
2014,Arkansas,Ashley,481,117410,44818660,3342828,2346110,2374894,0.7104445696877015,1378176,996718,2865.230769230769,11.738148368963461
2014,Arkansas,Benton,28,3906,658222,125441,82255,163858,1.306255530488437,120672,43186,4309.714285714285,30.89400921658986
2014,Arkansas,Boone,8,1765,486531,146934,86484,343566,2.3382334925885093,283116,60450,35389.5,160.4056657223796
2014,Arkansas,Bradley,16,554,3474313,1146762,677242,2271233,1.9805617905023012,1801713,469520,112607.0625,3252.1895306859205
2014,Arkansas,Carroll,4,1073,140094,21481,11610,31373,1.4604999767236162,21502,9871,5375.5,20.039142590866728
2014,Arkansas,Chicot,667,230540,74247562,4938505,3449660,2355672,0.4770010357385484,866827,1488845,1299.5907046476761,3.7599852520170036
2014,Arkansas,Clark,29,12123,2085032,550087,364124,479502,0.8716839336323163,293539,185963,10122.034482758621,24.213396024086446
2014,Arkansas,Clay,813,198501,83383981,4541441,3246550,3770160,0.8301682219366056,2475269,1294891,3044.611316113161,12.469806197449888
2014,Arkansas,Cleburne,10,2233,124078,18790,9582,29730,1.5822245875465673,20522,9208,2052.2,9.190326914464846
2014,Arkansas,Conway,98,26887,5070729,607724,389921,175830,0.28932541745924134,-41973,217803,-428.2959183673469,-1.5610890021199837
2014,Arkansas,Craighead,933,225285,82457298,4859844,3427055,4483995,0.9226623323711626,3051206,1432789,3270.3172561629153,13.543760126062542
2014,Arkansas,Crawford,79,16218,2522572,450764,306255,126485,0.2806013789921112,-18024,144509,-228.15189873417722,-1.1113577506474288
2014,Arkansas,Crittenden,644,299945,82683959,7370921,5405602,6127337,0.8312851270553572,4162018,1965319,6462.760869565217,13.875937255163446
2014,Arkansas,Cross,759,259146,93451114,6286991,4513495,6940150,1.103890557501991,5166654,1773496,6807.185770750988,19.937232293764904
2014,Arkansas,Desha,768,240623,65603967,3673851,2604482,2937862,0.7996682500188494,1868493,1069369,2432.93359375,7.765230256459274
2014,Arkansas,Drew,218,58517,15653943,1016527,758334,872091,0.8579122836874967,613898,258193,2816.045871559633,10.49093425842063
2014,Arkansas,Faulkner,53,12527,2889958,432281,285927,164063,0.3795285936693956,17709,146354,334.1320754716981,1.413666480402331
2014,Arkansas,Franklin,26,2335,336947,83729,57094,49766,0.5943699315649297,23131,26635,889.6538461538462,9.906209850107066
2014,Arkansas,Fulton,10,5767,320476,46668,23802,28392,0.608382617639496,5526,22866,552.6,0.9582105080631177
2014,Arkansas,Greene,878,169046,82925349,5425840,3679941,6920498,1.2754703419194078,5174599,1745899,5893.620728929385,30.61059711557801
2014,Arkansas,Hempstead,1,100,3508,592,302,0,0.0,-290,290,-290.0,-2.9
2014,Arkansas,Hot Spring,10,2377,490847,72747,54156,3858,0.05303311476761928,-14733,18591,-1473.3,-6.198148927219184
2014,Arkansas,Independence,303,61162,13857861,1762527,1373072,1358855,0.7709697496832673,969400,389455,3199.3399339933994,15.849710604623786
2014,Arkansas,Izard,5,2962,164556,22633,11543,32673,1.4436000530199267,21583,11090,4316.6,7.286630654962863
2014,Arkansas,Jackson,1024,261820,78173297,9210494,6794144,8506989,0.9236191891553265,6090639,2416350,5947.8896484375,23.262695745168436
2014,Arkansas,Jefferson,516,181619,45148665,3283736,2540989,1422279,0.4331283026406508,679532,742747,1316.922480620155,3.741524840462727
2014,Arkansas,Johnson,27,4492,877177,197816,127153,44712,0.2260282282525175,-25951,70663,-961.1481481481482,-5.777159394479074
2014,Arkansas,Lafayette,135,39024,8613622,1059702,862606,351034,0.3312572779894725,153938,197096,1140.2814814814815,3.94470069700697
2014,Arkansas,Lawrence,657,154872,67466149,4626909,3293337,5718251,1.2358684815283811,4384679,1333572,6673.788432267885,28.311631540885376
2014,Arkansas,Lee,531,223047,52807204,5090651,3933201,2816822,0.553332373403716,1659372,1157450,3124.994350282486,7.439562065394289
2014,Arkansas,Lincoln,247,85730,25821072,1737786,1268912,1426162,0.8206775747991986,957288,468874,3875.65991902834,11.166312842645516
2014,Arkansas,Little River,47,27355,4564238,871585,674696,605535,0.6947515159164052,408646,196889,8694.595744680852,14.938621824163773
2014,Arkansas,Logan,32,9792,2036832,412967,276461,48736,0.11801427232684451,-87770,136506,-2742.8125,-8.96343954248366
2014,Arkansas,Lonoke,523,137931,40826694,2141114,1548747,2555865,1.1937080417016563,1963498,592367,3754.2982791586996,14.235364058841014
2014,Arkansas,Miller,106,88003,15282359,3899975,2951475,2682747,0.6878882556939467,1734247,948500,16360.82075471698,19.70668045407543
2014,Arkansas,Mississippi,1306,471066,140072957,10170345,7524430,4531395,0.44554978223452596,1885480,2645915,1443.7059724349158,4.002581379254711
2014,Arkansas,Monroe,705,179107,51594381,3696122,2651560,4427918,1.197990217855363,3383356,1044562,4799.086524822695,18.890138297218982
2014,Arkansas,Perry,32,5634,1505734,151794,104564,123188,0.8115472284807042,75958,47230,2373.6875,13.48207312744054
2014,Arkansas,Phillips,720,329500,82099855,8649513,6086332,4506948,0.5210637870594564,1943767,2563181,2699.676388888889,5.899141122913505
2014,Arkansas,Poinsett,1342,320828,122622799,7026087,4832035,5074593,0.7222502368672634,2880541,2194052,2146.4538002980626,8.978458862692783
2014,Arkansas,Pope,44,13245,3410778,358267,255586,187061,0.5221273519470115,84380,102681,1917.7272727272727,6.370705926764817
2014,Arkansas,Prairie,299,75853,25431562,1443328,1032858,1810426,1.2543413555338772,1399956,410470,4682.127090301004,18.456171805993172
2014,Arkansas,Pulaski,130,30659,5271738,606523,456635,531173,0.8757672833511673,381285,149888,2932.9615384615386,12.43631560063929
2014,Arkansas,Randolph,248,61713,29220669,1773963,1231316,1410578,0.7951563815028837,867931,542647,3499.7217741935483,14.063989759045906
2014,Arkansas,Sebastian,28,6365,768449,135662,103928,35094,0.25868703100352347,3360,31734,120.0,0.5278868813825609
2014,Arkansas,Sevier,7,1652,296165,57119,35685,21995,0.3850732680894273,561,21434,80.14285714285714,0.33958837772397094
2014,Arkansas,St Francis,596,224022,56811501,4658885,3582965,5019066,1.077310558212963,3943146,1075920,6616.01677852349,17.601601628411494
2014,Arkansas,Stone,19,6314,389146,52859,26956,58674,1.110009648309654,32771,25903,1724.7894736842106,5.190212226797593
2014,Arkansas,Washington,3,678,79035,9136,5052,10482,1.1473292469352014,6398,4084,2132.6666666666665,9.436578171091446
2014,Arkansas,White,171,56258,13441141,1893248,1321456,2841083,1.5006396415049692,2269291,571792,13270.707602339182,40.33721426286039
2014,Arkansas,Woodruff,546,194898,44452508,4667751,3707004,4478591,0.9594751305285993,3517844,960747,6442.937728937729,18.049667005305338
2014,Arkansas,Yell,51,9199,1493196,135552,95322,88254,0.6510711756373938,48024,40230,941.6470588235294,5.22056745298402
2014,California,Alameda,11,8278,3480024,161676,102921,49231,0.30450406986813133,-9524,58755,-865.8181818181819,-1.150519449142305
2014,California,All Other Counties,23,4018,17512151,244690,194745,338361,1.3828149903960112,288416,49945,12539.826086956522,71.78098556495769
2014,California,Amador,33,24561,3589930,255021,140687,194317,0.7619647009461966,79983,114334,2423.7272727272725,3.2565042139978013
2014,California,Butte,797,143351,237789178,10531460,6456184,2152317,0.20437023926407163,-1922959,4075276,-2412.746549560853,-13.414339627906328
2014,California,Calaveras,33,28512,2468613,169918,94160,196764,1.1579938558598855,121006,75758,3666.848484848485,4.244037598204265
2014,California,Colusa,730,274766,341739235,12237290,6375507,20994957,1.7156541194986799,15133174,5861783,20730.375342465755,55.07658880647533
2014,California,Contra Costa,46,16208,11531187,520207,320593,517374,0.994554090967634,317760,199614,6907.826086956522,19.605133267522213
2014,California,El Dorado,50,1145,1681218,143369,82612,301967,2.106222405122446,241210,60757,4824.2,210.66375545851528
2014,California,Fresno,5074,982412,1441472262,78765824,46994430,112633650,1.4299812314538853,80862256,31771394,15936.58967284194,82.30992292439424
2014,California,Glenn,657,182290,206339177,9037921,5066123,12192248,1.349010242510418,8220450,3971798,12512.100456621005,45.095452301278186
2014,California,Humboldt,7,38691,757427,173360,94641,242838,1.4007729580064605,164119,78719,23445.571428571428,4.2417874958000565
2014,California,Imperial,98,40642,28471358,1568670,997851,1960215,1.2496031670140948,1389396,570819,14177.510204081633,34.1862113084986
2014,California,Kern,1449,980828,1059455491,49289109,34583293,62697614,1.2720378856919488,47991798,14705816,33120.63354037267,48.929881691795096
2014,California,Kings,612,324325,290217192,19345585,11549433,44248711,2.287276967845635,36452559,7796152,59563.00490196078,112.3951560934248
2014,California,Lake,129,32623,26527821,1076582,585422,846125,0.7859364172910192,354965,491160,2751.6666666666665,10.880820280170433
2014,California,Lassen,44,413027,6184120,1373531,766184,1120924,0.8160893347146879,513577,607347,11672.204545454546,1.2434465543414837
2014,California,Los Angeles,6,24937,710230,229076,120480,158635,0.6924994325027501,50039,108596,8339.833333333334,2.0066166740185265
2014,California,Madera,1191,280401,467586950,20571315,13047208,14107907,0.6858048209363378,6583800,7524107,5527.9596977329975,23.479944793349524
2014,California,Marin,8,412,417213,18382,9906,2764,0.15036448699815036,-5712,8476,-714.0,-13.864077669902912
2014,California,Mariposa,7,25337,290704,73892,39435,115443,1.5623206842418664,80986,34457,11569.42857142857,3.196353159411138
2014,California,Mendocino,203,32613,48862804,2248508,1262964,1287841,0.5727535770386407,302297,985544,1489.1477832512314,9.269217796584185
2014,California,Merced,1107,258798,385507690,15309811,9368408,14553696,0.950612388356721,8612293,5941403,7779.849141824751,33.278050835014184
2014,California,Modoc,132,305334,28071007,3332501,1961934,4540867,1.362600341305224,3170300,1370567,24017.424242424244,10.383055932192288
2014,California,Mono,4,10593,1242834,78270,57806,24383,0.3115242110642647,3919,20464,979.75,0.36996129519494003
2014,California,Monterey,154,174382,108353507,4109934,2752289,1275293,0.3102952504833411,-82352,1357645,-534.7532467532468,-0.4722505763209506
2014,California,Napa,520,43103,181505914,6615437,3896964,798133,0.12064705627156604,-1920340,2718473,-3692.9615384615386,-44.55235134445398
2014,California,Nevada,4,1449,720502,52708,25946,22104,0.4193670790012901,-4658,26762,-1164.5,-3.214630779848171
2014,California,Orange,9,1606,14703770,313934,300442,0,0.0,-13492,13492,-1499.111111111111,-8.400996264009963
2014,California,Placer,60,15800,16695773,887696,403201,2021315,2.277035156179593,1536820,484495,25613.666666666668,97.26708860759494
2014,California,Plumas,14,69834,787672,220128,121078,239710,1.0889573339148133,140660,99050,10047.142857142857,2.0142051149869693
2014,California,Riverside,365,56100,57292939,3063116,2383410,3266620,1.066436922401894,2586914,679706,7087.435616438356,46.11254901960784
2014,California,Sacramento,261,61483,81804174,3361833,1957860,3251854,0.9672860014164891,1847881,1403973,7080.0038314176245,30.05515345705317
2014,California,San Benito,70,169813,15740537,1563760,897089,2311894,1.4784199621425282,1645223,666671,23503.185714285715,9.688439636541371
2014,California,San Bernardino,63,7535,2674449,312554,173394,332227,1.0629427234973796,193067,139160,3064.5555555555557,25.62269409422694
2014,California,San Diego,412,19595,43428181,2673897,2316784,1801136,0.6735996188334854,1444023,357113,3504.910194174757,73.69344220464404
2014,California,San Joaquin,1873,243489,499938029,29030480,17496747,24097828,0.8300871360032628,12564095,11533733,6708.005872931127,51.600257095803094
2014,California,San Luis Obispo,419,180310,86952903,4082799,2742158,4068152,0.996412510143164,2727511,1340641,6509.572792362768,15.126787199822529
2014,California,Santa Barbara,223,114219,58333024,3047072,2231739,908864,0.29827454027998024,93531,815333,419.42152466367713,0.8188742678538596
2014,California,Santa Clara,40,34521,8918092,975356,542067,1967854,2.017575121289047,1534565,433289,38364.125,44.45308652704151
2014,California,Santa Cruz,20,4508,1624279,96565,64920,19927,0.20635841143271372,-11718,31645,-585.9,-2.599378881987578
2014,California,Shasta,33,25525,5174700,296228,173027,609744,2.0583604520842056,486543,123201,14743.727272727272,19.06142997061704
2014,California,Sierra,5,7546,81641,20431,11237,22565,1.1044491214331162,13371,9194,2674.2,1.77193214948317
2014,California,Siskiyou,106,77501,22137866,2186200,1295878,2631371,1.2036277559235202,1741049,890322,16424.990566037737,22.464858517954607
2014,California,Solano,213,82075,49570888,1851764,1270723,547471,0.2956483655584621,-33570,581041,-157.6056338028169,-0.4090161437709412
2014,California,Sonoma,781,49421,213046018,6815617,3798111,1279725,0.18776363167120452,-1737781,3017506,-2225.0717029449424,-35.162805285202644
2014,California,Stanislaus,1144,201918,349658527,14384953,8923456,9115865,0.6337083617860969,3654368,5461497,3194.377622377622,18.098277518596657
2014,California,Sutter,1010,182248,239116408,16013239,8571661,16226382,1.0133104239560777,8784804,7441578,8697.825742574258,48.20247135771037
2014,California,Tehama,351,183781,66407690,4874321,3141714,3133689,0.6428975440887049,1401082,1732607,3991.6866096866097,7.623649887638004
2014,California,Tulare,4041,477982,611076171,35330535,22934450,43033673,1.218030607235356,30637588,12396085,7581.684731502103,64.09778610910034
2014,California,Ventura,915,71119,104923859,6335248,4754825,4384504,0.6920808782860592,2804081,1580423,3064.5693989071037,39.42801501708404
2014,California,Yolo,493,189545,185710648,9465490,5292947,14679904,1.5508868531898508,10507361,4172543,21313.105476673427,55.43465140204173
2014,California,Yuba,290,52006,63564602,4530392,2679552,417916,0.09224720509836676,-1432924,1850840,-4941.11724137931,-27.55305157097258
2014,Colorado,Adams,502,195569,36165297,5998539,3598509,2480898,0.4135837076328086,80868,2400030,161.09163346613545,0.4135011172527343
2014,Colorado,Alamosa,184,109730,47376939,5425936,3201794,6251398,1.1521326458697634,4027256,2224142,21887.260869565216,36.70150369087761
2014,Colorado,All Other Counties,16,65106,6144543,225325,126815,63898,0.2835814933984245,-34612,98510,-2163.25,-0.53162534943016
2014,Colorado,Arapahoe,137,80783,9060248,2155830,1328312,1392960,0.6461362908949222,565442,827518,4127.313868613139,6.999517225158758
2014,Colorado,Baca,1112,524129,73298265,19716300,11455564,23290005,1.1812563716315942,15029269,8260736,13515.529676258993,28.67475182636336
2014,Colorado,Bent,327,293975,29938483,7615403,4058488,6062155,0.7960386338057224,2505240,3556915,7661.284403669725,8.521949145335487
2014,Colorado,Boulder,32,3819,1309720,160574,93860,64028,0.39874450409157147,-2686,66714,-83.9375,-0.703325477873789
2014,Colorado,Broomfield,3,308,38776,10117,5970,9347,0.9238904813679945,5200,4147,1733.3333333333333,16.883116883116884
2014,Colorado,Cheyenne,665,460101,50330522,11896401,7993563,15970591,1.3424724839050062,12067753,3902838,18146.996992481203,26.22848678877029
2014,Colorado,Conejos,42,20127,5525636,689417,384710,796290,1.155019385944936,491583,304707,11704.357142857143,24.42405723654792
2014,Colorado,Costilla,28,13393,7655229,1007052,637148,1524825,1.5141472337078918,1154921,369904,41247.17857142857,86.23318151273052
2014,Colorado,Crowley,31,101484,1461097,372613,192321,402442,1.0800535676425675,222150,180292,7166.129032258064,2.18901501714556
2014,Colorado,Delta,106,5043,6642713,855225,540269,1346311,1.5742184805168231,1031355,314956,9729.764150943396,204.5121951219512
2014,Colorado,Denver,9,6433,806618,186128,112363,217470,1.1683894954010143,143705,73765,15967.222222222223,22.338722213586195
2014,Colorado,Dolores,98,26776,847004,204773,143670,24388,0.11909773261123292,-36715,61103,-374.64285714285717,-1.3711906184642964
2014,Colorado,El Paso,8,25417,769429,158262,82228,77876,0.49207011158711506,1842,76034,230.25,0.07247118070582681
2014,Colorado,Elbert,180,218993,8295408,2290848,1403403,1005584,0.4389571023481261,118139,887445,656.3277777777778,0.5394647317494167
2014,Colorado,Huerfano,14,121067,2963484,574832,299074,111072,0.1932251510006402,-164686,275758,-11763.285714285714,-1.3602881049336317
2014,Colorado,Kiowa,701,406864,40477691,12729038,8708943,21918314,1.7219144133280142,17898219,4020095,25532.409415121256,43.99066764324197
2014,Colorado,Kit Carson,1438,546711,117462682,20240335,12296309,19553562,0.9660690892714967,11609536,7944026,8073.390820584144,21.23523397187911
2014,Colorado,La Plata,9,1538,85572,29935,17947,42204,1.4098546851511609,30216,11988,3357.3333333333335,19.64629388816645
2014,Colorado,Larimer,186,21845,16089455,1134421,673206,1450656,1.2787633515246986,989441,461215,5319.575268817204,45.29370565346761
2014,Colorado,Las Animas,49,570616,8431398,1757905,935407,2066016,1.1752717012580316,1243518,822498,25377.918367346938,2.1792554011804786
2014,Colorado,Lincoln,601,401315,32369692,8454507,5073222,7523902,0.8899279402098786,4142617,3381285,6892.873544093178,10.32260692971855
2014,Colorado,Logan,1149,241878,59198885,6684885,3966454,3056133,0.4571706169964031,337702,2718431,293.9094865100087,1.396166662532351
2014,Colorado,Mesa,76,2723,6679769,567183,347070,403073,0.7106577594885601,182960,220113,2407.3684210526317,67.19059860448036
2014,Colorado,Moffat,11,16876,705035,104048,77897,38309,0.36818583730585885,12158,26151,1105.2727272727273,0.7204313818440389
2014,Colorado,Montezuma,47,94127,1616622,216029,148976,444469,2.057450620055641,377416,67053,8030.127659574468,4.009646541374951
2014,Colorado,Montrose,91,9382,7782041,737429,438077,212723,0.28846573704044726,-86629,299352,-951.967032967033,-9.23353229588574
2014,Colorado,Morgan,682,147656,50176978,5885408,3410582,3670954,0.6237382353101093,1196128,2474826,1753.8533724340175,8.100774773798559
2014,Colorado,Otero,250,180173,12031924,2363736,1316785,1906972,0.8067618380394427,860021,1046951,3440.084,4.7733067662746365
2014,Colorado,Phillips,1017,237117,70220921,7886121,4412079,1603202,0.20329411633425357,-1870840,3474042,-1839.567354965585,-7.889944626492407
2014,Colorado,Prowers,935,374004,50171527,11689863,7048683,16661036,1.4252550265131423,12019856,4641180,12855.460962566845,32.13830868119057
2014,Colorado,Pueblo,104,253190,8467456,1927902,1111511,1543490,0.8006060474028244,727099,816391,6991.336538461538,2.8717524388798927
2014,Colorado,Rio Grande,142,34923,36637738,2645393,1571952,2211088,0.8358259056404852,1137647,1073441,8011.598591549296,32.57586690719583
2014,Colorado,Routt,7,3234,292331,46741,36941,0,0.0,-9800,9800,-1400.0,-3.0303030303030303
